Model,Metric,Rule,Lower,Upper,Outlier count,Outlier seeds,Mean,Std,Median,IQR,Min,Max
Faithful HANO strain-stress window NO,Eqp increment rel. L2,1.5*IQR,0.951414,0.997382,1,20260520=1.06395,0.990658,0.0372435,0.978563,0.0114921,0.961979,1.06395
Faithful HANO strain-stress window NO,Plastic-work inc. rel. L2,1.5*IQR,0.778834,1.28708,1,20260521=2.83297,1.38967,0.724013,1.09158,0.12706,0.957898,2.83297
Faithful HANO strain-stress window NO,Yield-surface RMS,1.5*IQR,-0.114088,0.228938,1,20260519=0.268179,0.0817829,0.0992209,0.0212774,0.0857564,0.00460855,0.268179
Faithful HANO strain-stress window NO,Plastic-work violation abs.,1.5*IQR,-0.00192462,0.0032077,1,20260520=0.0084824,0.0019531,0.00330226,0,0.00128308,0,0.0084824
Faithful HANO strain-stress window NO,Plastic-work violation target-norm.,1.5*IQR,-0.160182,0.26697,1,20260520=0.705973,0.162552,0.27484,0,0.106788,0,0.705973
Faithful HANO strain-stress window NO,Plastic-work violation pred-norm.,1.5*IQR,-0.190211,0.317018,1,20260520=1.32745,0.290851,0.52062,0,0.126807,0,1.32745
HANO-style window NO,Cyclic history rel. L2,1.5*IQR,0.916412,1.04952,2,20260519=0.800517; 20260520=1.05537,0.961325,0.0857261,0.984811,0.0332773,0.800517,1.05537
HANO-style window NO,History-increment rel. L2,1.5*IQR,0.998673,1.00203,1,20260520=1.00384,1.00095,0.00147806,1.00025,0.000840366,0.999928,1.00384
HANO-style window NO,Eqp increment rel. L2,1.5*IQR,0.937861,0.998987,1,20260520=1.86716,1.14518,0.361119,0.972901,0.0152814,0.948974,1.86716
HANO-style window NO,Plastic-work inc. rel. L2,1.5*IQR,-0.195707,2.90579,1,20260517=2.92424,1.59006,0.727345,1.35884,0.775375,0.957144,2.92424
HANO-style window NO,Reversal hist-inc. rel. L2,1.5*IQR,0.999475,1.00178,1,20260520=1.00422,1.00119,0.00153912,1.00044,0.000575066,1.00004,1.00422
HANO-style window NO,Reversal yield-flag MAE,1.5*IQR,-0.0114782,0.173993,1,20260519=0.505044,0.158802,0.173967,0.0690062,0.0463678,0.0574437,0.505044
HANO-style window NO,Yield-surface RMS,1.5*IQR,-0.0700146,0.146713,1,20260519=0.353929,0.0903424,0.133487,0.0122724,0.054182,0.00881229,0.353929
