Model,Seed,Train final loss,Cyclic disp. rel. L2,Cyclic history rel. L2,History-increment rel. L2,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.
Faithful HANO strain-stress window NO,20260517,1.20646,1.27067,0.95279,1.00063,0.978563,1.09649,1.00156,0.0690209,0.0145467,0,0,0
Faithful HANO strain-stress window NO,20260518,2.63415,1.04643,0.962054,1.00039,0.961979,0.957898,1.00059,0.0637417,0.0212774,0,0,0
Faithful HANO strain-stress window NO,20260519,1.01136,0.884107,0.789824,1.00256,0.980144,1.09158,1.00385,0.4123,0.268179,0.00128308,0.106788,0.126807
Faithful HANO strain-stress window NO,20260520,2.37405,1.95809,0.997575,1.00015,1.06395,0.969425,1.00094,0.0561847,0.00460855,0.0084824,0.705973,1.32745
Faithful HANO strain-stress window NO,20260521,2.78754,1.60092,0.871434,1.0044,0.968652,2.83297,1.00576,0.27806,0.100303,0,0,0
HANO-style window NO,20260517,5.61226,1.63958,0.966328,1.00077,0.948974,2.92424,1.00091,0.104441,0.0654403,0,0,0
HANO-style window NO,20260518,1.65257,1.12574,0.984811,0.999928,0.976065,0.967355,1.00004,0.0580735,0.0112584,0,0,0
HANO-style window NO,20260519,1.78958,1.05695,0.800517,1.00025,0.960784,1.74273,1.00044,0.505044,0.353929,0,0,0
HANO-style window NO,20260520,3.54545,1.15554,1.05537,1.00384,1.86716,1.35884,1.00422,0.0574437,0.0122724,0.0518696,4.317,3.3912
HANO-style window NO,20260521,18.8927,1.61061,0.999605,0.999934,0.972901,0.957144,1.00034,0.0690062,0.00881229,0,0,0
