Protocol,Sparse config,Condition root,Summary JSON,Per-seed CSV,Seed JSONs,Expected seed JSONs,Status,Notes
strict_path_ood,s2_t2,<project-root>\10_results\reports\j2_sparse_dt_posterior_calibration_main\strict_path_ood\s2_t2,yes,yes,5,5,complete,
strict_path_ood,s4_t2,<project-root>\10_results\reports\j2_sparse_dt_posterior_calibration_main\strict_path_ood\s4_t2,yes,yes,5,5,complete,
strict_path_ood,s6_t3,<project-root>\10_results\reports\j2_sparse_dt_posterior_calibration_main\strict_path_ood\s6_t3,yes,yes,5,5,complete,
reversal_curriculum,s2_t2,<project-root>\10_results\reports\j2_sparse_dt_posterior_calibration_main\reversal_curriculum\s2_t2,yes,yes,5,5,complete,
reversal_curriculum,s4_t2,<project-root>\10_results\reports\j2_sparse_dt_posterior_calibration_main\reversal_curriculum\s4_t2,yes,yes,5,5,complete,
reversal_curriculum,s6_t3,<project-root>\10_results\reports\j2_sparse_dt_posterior_calibration_main\reversal_curriculum\s6_t3,yes,yes,5,5,complete,
family_upper_bound,s2_t2,<project-root>\10_results\reports\j2_sparse_dt_posterior_calibration_main\family_upper_bound\s2_t2,yes,yes,5,5,complete,
family_upper_bound,s4_t2,<project-root>\10_results\reports\j2_sparse_dt_posterior_calibration_main\family_upper_bound\s4_t2,yes,yes,5,5,complete,
family_upper_bound,s6_t3,<project-root>\10_results\reports\j2_sparse_dt_posterior_calibration_main\family_upper_bound\s6_t3,yes,yes,5,5,complete,
,,,,,,,,
