Protocol,Train paths,Eval path,Path OOD,Sparse config,Sensors,Observed steps,Target,Metric,Direction,Raw mean,Calibrated mean,Gain,Gain %,Raw,Calibrated,Improved
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",cyclic,no,s2_t2,2,2,material_parameter,coverage_95,higher,0.0416667,0.983333,0.941667,2260,"0.04167 +/- 0.042; med 0.02083, IQR 0.042","0.9833 +/- 0.037; med 1, IQR 0",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",cyclic,no,s2_t2,2,2,material_parameter,ece,lower,0.755208,0.17875,0.576458,76.331,"0.7552 +/- 0.036; med 0.7667, IQR 0.016","0.1788 +/- 0.037; med 0.1813, IQR 0.021",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",cyclic,no,s2_t2,2,2,material_parameter,nll,lower,23889.6,1.70674,23887.9,99.9929,"2.389e+04 +/- 1.8e+04; med 2.154e+04, IQR 3.4e+04","1.707 +/- 0.9; med 1.497, IQR 1",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",cyclic,no,s2_t2,2,2,history,coverage_95,higher,0.0705859,0.867285,0.796699,1128.69,"0.07059 +/- 0.037; med 0.07153, IQR 0.042","0.8673 +/- 0.034; med 0.8734, IQR 0.065",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",cyclic,no,s2_t2,2,2,history,ece,lower,0.718862,0.105229,0.613633,85.3617,"0.7189 +/- 0.036; med 0.7197, IQR 0.042","0.1052 +/- 0.022; med 0.1165, IQR 0.0086",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",cyclic,no,s2_t2,2,2,history,nll,lower,794071,955.676,793115,99.8796,"7.941e+05 +/- 1.2e+06; med 2.866e+05, IQR 4e+05","955.7 +/- 1.5e+03; med 341.9, IQR 8e+02",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",cyclic,no,s2_t2,2,2,field,coverage_95,higher,0.00410156,0.845964,0.841862,20525.4,"0.004102 +/- 0.008; med 0.0003255, IQR 0.0015","0.846 +/- 0.16; med 0.8799, IQR 0.066",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",cyclic,no,s2_t2,2,2,field,ece,lower,0.783976,0.15876,0.625216,79.7494,"0.784 +/- 0.007; med 0.7873, IQR 0.001","0.1588 +/- 0.11; med 0.108, IQR 0.044",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",cyclic,no,s2_t2,2,2,field,nll,lower,249751,1.11536,249750,99.9996,"2.498e+05 +/- 3.3e+05; med 8.788e+04, IQR 6.1e+04","1.115 +/- 2.7; med -0.1883, IQR 3.3",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",cyclic,no,s2_t2,2,2,field,crps,lower,0.0422688,0.324474,-0.282205,-667.644,"0.04227 +/- 0.029; med 0.02606, IQR 0.016","0.3245 +/- 0.57; med 0.0784, IQR 0.015",no
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",monotonic,no,s2_t2,2,2,material_parameter,coverage_95,higher,0.0208333,0.983333,0.9625,4620,"0.02083 +/- 0.029; med 0, IQR 0.042","0.9833 +/- 0.037; med 1, IQR 0",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",monotonic,no,s2_t2,2,2,material_parameter,ece,lower,0.769792,0.16,0.609792,79.2152,"0.7698 +/- 0.025; med 0.7875, IQR 0.036","0.16 +/- 0.054; med 0.1604, IQR 0.052",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",monotonic,no,s2_t2,2,2,material_parameter,nll,lower,581657,1.90976,581655,99.9997,"5.817e+05 +/- 1.3e+06; med 3.274e+04, IQR 2.8e+04","1.91 +/- 1.6; med 1.241, IQR 1.9",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",monotonic,no,s2_t2,2,2,history,coverage_95,higher,0.030332,0.859512,0.82918,2733.68,"0.03033 +/- 0.02; med 0.02305, IQR 0.02","0.8595 +/- 0.078; med 0.8554, IQR 0.1",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",monotonic,no,s2_t2,2,2,history,ece,lower,0.75876,0.129648,0.629111,82.9131,"0.7588 +/- 0.02; med 0.7671, IQR 0.019","0.1296 +/- 0.019; med 0.1195, IQR 0.032",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",monotonic,no,s2_t2,2,2,history,nll,lower,956099,13263.1,942836,98.6128,"9.561e+05 +/- 1.3e+06; med 2.333e+05, IQR 1e+06","1.326e+04 +/- 1.7e+04; med 4336, IQR 2.1e+04",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",monotonic,no,s2_t2,2,2,field,coverage_95,higher,0.000878906,0.902799,0.901921,102619,"0.0008789 +/- 0.00083; med 0.001139, IQR 0.0016","0.9028 +/- 0.12; med 0.9671, IQR 0.17",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",monotonic,no,s2_t2,2,2,field,ece,lower,0.786792,0.160322,0.62647,79.6233,"0.7868 +/- 0.00067; med 0.7866, IQR 0.0012","0.1603 +/- 0.047; med 0.1654, IQR 0.041",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",monotonic,no,s2_t2,2,2,field,nll,lower,200380,-1.2555,200381,100.001,"2.004e+05 +/- 3.5e+05; med 2.521e+04, IQR 7.8e+04","-1.256 +/- 0.54; med -1.368, IQR 0.84",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",monotonic,no,s2_t2,2,2,field,crps,lower,0.0330645,0.0471924,-0.0141279,-42.7283,"0.03306 +/- 0.033; med 0.01461, IQR 0.022","0.04719 +/- 0.024; med 0.04536, IQR 0.035",no
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",nonproportional,no,s2_t2,2,2,material_parameter,coverage_95,higher,0.025,1,0.975,3900,"0.025 +/- 0.045; med 0, IQR 0.021","1 +/- 0; med 1, IQR 0",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",nonproportional,no,s2_t2,2,2,material_parameter,ece,lower,0.766667,0.1875,0.579167,75.5435,"0.7667 +/- 0.036; med 0.7875, IQR 0.021","0.1875 +/- 0.017; med 0.1917, IQR 0.021",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",nonproportional,no,s2_t2,2,2,material_parameter,nll,lower,25923.1,1.64237,25921.4,99.9937,"2.592e+04 +/- 1.3e+04; med 2.715e+04, IQR 4.1e+03","1.642 +/- 0.25; med 1.655, IQR 0.055",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",nonproportional,no,s2_t2,2,2,history,coverage_95,higher,0.055494,0.818347,0.762853,1374.66,"0.05549 +/- 0.041; med 0.05544, IQR 0.061","0.8183 +/- 0.024; med 0.8226, IQR 0.034",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",nonproportional,no,s2_t2,2,2,history,ece,lower,0.733838,0.109189,0.62465,85.1209,"0.7338 +/- 0.04; med 0.7334, IQR 0.063","0.1092 +/- 0.017; med 0.1164, IQR 0.024",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",nonproportional,no,s2_t2,2,2,history,nll,lower,1.15484e+06,3422.59,1.15142e+06,99.7036,"1.155e+06 +/- 1.4e+06; med 5.315e+05, IQR 1.1e+06","3423 +/- 2.2e+03; med 3751, IQR 1.3e+03",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",nonproportional,no,s2_t2,2,2,field,coverage_95,higher,0.00143229,0.855664,0.854232,59640.9,"0.001432 +/- 0.0011; med 0.0009766, IQR 0.00098","0.8557 +/- 0.12; med 0.8037, IQR 0.2",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",nonproportional,no,s2_t2,2,2,field,ece,lower,0.786304,0.14321,0.643094,81.787,"0.7863 +/- 0.00092; med 0.7866, IQR 0.00081","0.1432 +/- 0.044; med 0.1378, IQR 0.03",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",nonproportional,no,s2_t2,2,2,field,nll,lower,246549,0.140839,246549,99.9999,"2.465e+05 +/- 2.4e+05; med 1.146e+05, IQR 1.3e+05","0.1408 +/- 1.8; med -0.3837, IQR 0.53",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",nonproportional,no,s2_t2,2,2,field,crps,lower,0.0445708,0.0824792,-0.0379083,-85.0519,"0.04457 +/- 0.021; med 0.03133, IQR 0.022","0.08248 +/- 0.062; med 0.09092, IQR 0.068",no
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",pre_stress,no,s2_t2,2,2,material_parameter,coverage_95,higher,0.0291667,0.908333,0.879167,3014.29,"0.02917 +/- 0.046; med 0, IQR 0.042","0.9083 +/- 0.099; med 0.9583, IQR 0.083",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",pre_stress,no,s2_t2,2,2,material_parameter,ece,lower,0.761458,0.152083,0.609375,80.0274,"0.7615 +/- 0.043; med 0.7875, IQR 0.031","0.1521 +/- 0.039; med 0.1396, IQR 0.062",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",pre_stress,no,s2_t2,2,2,material_parameter,nll,lower,27800.7,2.95799,27797.7,99.9894,"2.78e+04 +/- 1.8e+04; med 2.135e+04, IQR 1.9e+04","2.958 +/- 4.1; med 1.289, IQR 0.44",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",pre_stress,no,s2_t2,2,2,history,coverage_95,higher,0.0438306,0.855161,0.811331,1851.06,"0.04383 +/- 0.013; med 0.04017, IQR 0.015","0.8552 +/- 0.063; med 0.8368, IQR 0.048",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",pre_stress,no,s2_t2,2,2,history,ece,lower,0.745129,0.12811,0.617019,82.807,"0.7451 +/- 0.013; med 0.7486, IQR 0.014","0.1281 +/- 0.011; med 0.125, IQR 0.012",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",pre_stress,no,s2_t2,2,2,history,nll,lower,814922,5227.47,809695,99.3585,"8.149e+05 +/- 7.4e+05; med 6.536e+05, IQR 9e+05","5227 +/- 8.4e+03; med 1719, IQR 1.5e+03",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",pre_stress,no,s2_t2,2,2,field,coverage_95,higher,0.000813802,0.872721,0.871908,107140,"0.0008138 +/- 0.00073; med 0.000651, IQR 0.00098","0.8727 +/- 0.15; med 0.9342, IQR 0.056",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",pre_stress,no,s2_t2,2,2,field,ece,lower,0.786882,0.150059,0.636823,80.93,"0.7869 +/- 0.00052; med 0.787, IQR 0.00085","0.1501 +/- 0.061; med 0.1368, IQR 0.06",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",pre_stress,no,s2_t2,2,2,field,nll,lower,201813,-1.18174,201815,100.001,"2.018e+05 +/- 3.9e+05; med 1.713e+04, IQR 5.5e+04","-1.182 +/- 0.78; med -1.331, IQR 0.32",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",pre_stress,no,s2_t2,2,2,field,crps,lower,0.0323682,0.0358561,-0.00348796,-10.7759,"0.03237 +/- 0.035; med 0.01448, IQR 0.018","0.03586 +/- 0.018; med 0.03469, IQR 0.022",no
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",random_amplitude,no,s2_t2,2,2,material_parameter,coverage_95,higher,0.0291667,0.908333,0.879167,3014.29,"0.02917 +/- 0.019; med 0.02083, IQR 0","0.9083 +/- 0.075; med 0.9167, IQR 0.12",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",random_amplitude,no,s2_t2,2,2,material_parameter,ece,lower,0.765625,0.111667,0.653958,85.415,"0.7656 +/- 0.02; med 0.7719, IQR 0","0.1117 +/- 0.059; med 0.09792, IQR 0.033",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",random_amplitude,no,s2_t2,2,2,material_parameter,nll,lower,14181.2,1.17434,14180,99.9917,"1.418e+04 +/- 6.7e+03; med 1.248e+04, IQR 9.2e+03","1.174 +/- 0.54; med 1.462, IQR 0.65",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",random_amplitude,no,s2_t2,2,2,history,coverage_95,higher,0.0542262,0.834067,0.779841,1438.13,"0.05423 +/- 0.026; med 0.06672, IQR 0.026","0.8341 +/- 0.037; med 0.828, IQR 0.019",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",random_amplitude,no,s2_t2,2,2,history,ece,lower,0.734886,0.108368,0.626518,85.2538,"0.7349 +/- 0.026; med 0.7216, IQR 0.026","0.1084 +/- 0.015; med 0.1012, IQR 0.013",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",random_amplitude,no,s2_t2,2,2,history,nll,lower,602154,2808.91,599345,99.5335,"6.022e+05 +/- 7.9e+05; med 2.538e+05, IQR 1.2e+05","2809 +/- 1.4e+03; med 2959, IQR 2e+03",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",random_amplitude,no,s2_t2,2,2,field,coverage_95,higher,0.00276693,0.83457,0.831803,30062.4,"0.002767 +/- 0.0054; med 0.0004883, IQR 0.00065","0.8346 +/- 0.084; med 0.8138, IQR 0.076",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",random_amplitude,no,s2_t2,2,2,field,ece,lower,0.784823,0.117744,0.667078,84.9974,"0.7848 +/- 0.0053; med 0.787, IQR 0.00049","0.1177 +/- 0.02; med 0.1145, IQR 0.017",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",random_amplitude,no,s2_t2,2,2,field,nll,lower,226022,0.583485,226021,99.9997,"2.26e+05 +/- 2.8e+05; med 7.924e+04, IQR 1.1e+05","0.5835 +/- 2.5; med -0.501, IQR 0.16",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",random_amplitude,no,s2_t2,2,2,field,crps,lower,0.0425968,0.0609438,-0.018347,-43.0712,"0.0426 +/- 0.025; med 0.02774, IQR 0.024","0.06094 +/- 0.034; med 0.05305, IQR 0.048",no
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",unload_reload,no,s2_t2,2,2,material_parameter,coverage_95,higher,0.00416667,0.991667,0.9875,23700,"0.004167 +/- 0.0093; med 0, IQR 0","0.9917 +/- 0.019; med 1, IQR 0",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",unload_reload,no,s2_t2,2,2,material_parameter,ece,lower,0.783333,0.16875,0.614583,78.4574,"0.7833 +/- 0.0093; med 0.7875, IQR 0","0.1688 +/- 0.039; med 0.1604, IQR 0.052",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",unload_reload,no,s2_t2,2,2,material_parameter,nll,lower,64231,1.80134,64229.2,99.9972,"6.423e+04 +/- 1e+05; med 1.889e+04, IQR 1.9e+04","1.801 +/- 0.81; med 2.007, IQR 1",yes
family_upper_bound,"monotonic,unload_reload,cyclic,nonproportional,random_amplitude,pre_stress",unload_reload,no,s2_t2,2,2,history,coverage_95,higher,0.062207,0.82543,0.763223,1226.91,"0.06221 +/- 0.033; med 0.07866, IQR 0.024","0.8254 +/- 0.023; med 0.8243, IQR 0.033",yes
