Protocol,Sparse config,Target,Metric,Direction,Gain mean,Gain std,Gain median,Gain IQR,Improved paths,Paths,Eval paths
family_upper_bound,s4_t2,field,coverage_95,higher,0.894499,0.011708,0.89764,0.0143063,6,6,"cyclic,monotonic,nonproportional,pre_stress,random_amplitude,unload_reload"
family_upper_bound,s4_t2,field,crps,lower,-0.0339114,0.0441807,-0.0182971,0.0157413,0,6,"cyclic,monotonic,nonproportional,pre_stress,random_amplitude,unload_reload"
family_upper_bound,s4_t2,field,ece,lower,0.662442,0.00928572,0.663118,0.0150515,6,6,"cyclic,monotonic,nonproportional,pre_stress,random_amplitude,unload_reload"
family_upper_bound,s4_t2,field,nll,lower,239936,18348.7,237651,31945.8,6,6,"cyclic,monotonic,nonproportional,pre_stress,random_amplitude,unload_reload"
family_upper_bound,s4_t2,history,coverage_95,higher,0.800296,0.0265687,0.800742,0.0440622,6,6,"cyclic,monotonic,nonproportional,pre_stress,random_amplitude,unload_reload"
family_upper_bound,s4_t2,history,ece,lower,0.622498,0.0141024,0.617952,0.0179675,6,6,"cyclic,monotonic,nonproportional,pre_stress,random_amplitude,unload_reload"
family_upper_bound,s4_t2,history,nll,lower,920232,399626,920052,511446,6,6,"cyclic,monotonic,nonproportional,pre_stress,random_amplitude,unload_reload"
family_upper_bound,s4_t2,material_parameter,coverage_95,higher,0.960417,0.019852,0.96875,0.0291665,6,6,"cyclic,monotonic,nonproportional,pre_stress,random_amplitude,unload_reload"
family_upper_bound,s4_t2,material_parameter,ece,lower,0.635451,0.0236412,0.632396,0.0354167,6,6,"cyclic,monotonic,nonproportional,pre_stress,random_amplitude,unload_reload"
family_upper_bound,s4_t2,material_parameter,nll,lower,22668.9,4595.12,22343,6494.95,6,6,"cyclic,monotonic,nonproportional,pre_stress,random_amplitude,unload_reload"
