Protocol,Train paths,Eval path,Path OOD,Sparse config,Sensors,Observed steps,Target,Metric,Direction,Raw mean,Calibrated mean,Gain,Gain %,Raw,Calibrated,Improved
reversal_curriculum,"monotonic,unload_reload,cyclic",cyclic,no,s2_t2,2,2,material_parameter,coverage_95,higher,0.0291667,0.891667,0.8625,2957.14,"0.02917 +/- 0.035; med 0.02083, IQR 0.042","0.8917 +/- 0.081; med 0.9167, IQR 0.083",yes
reversal_curriculum,"monotonic,unload_reload,cyclic",cyclic,no,s2_t2,2,2,material_parameter,ece,lower,0.765625,0.104167,0.661458,86.3946,"0.7656 +/- 0.025; med 0.7719, IQR 0.036","0.1042 +/- 0.078; med 0.07292, IQR 0.083",yes
reversal_curriculum,"monotonic,unload_reload,cyclic",cyclic,no,s2_t2,2,2,material_parameter,nll,lower,1.52635e+06,8.89273,1.52634e+06,99.9994,"1.526e+06 +/- 3.3e+06; med 1.377e+04, IQR 1.3e+05","8.893 +/- 16; med 2.666, IQR 3.4",yes
reversal_curriculum,"monotonic,unload_reload,cyclic",cyclic,no,s2_t2,2,2,history,coverage_95,higher,0.0468555,0.894824,0.847969,1809.75,"0.04686 +/- 0.042; med 0.04121, IQR 0.067","0.8948 +/- 0.04; med 0.9092, IQR 0.03",yes
reversal_curriculum,"monotonic,unload_reload,cyclic",cyclic,no,s2_t2,2,2,history,ece,lower,0.742,0.11396,0.62804,84.6415,"0.742 +/- 0.042; med 0.7481, IQR 0.067","0.114 +/- 0.021; med 0.1199, IQR 0.011",yes
reversal_curriculum,"monotonic,unload_reload,cyclic",cyclic,no,s2_t2,2,2,history,nll,lower,188304,1127.23,187177,99.4014,"1.883e+05 +/- 9e+04; med 1.427e+05, IQR 8.1e+04","1127 +/- 1.7e+03; med 349.1, IQR 9.2e+02",yes
reversal_curriculum,"monotonic,unload_reload,cyclic",cyclic,no,s2_t2,2,2,field,coverage_95,higher,0.000716146,0.862826,0.862109,120382,"0.0007161 +/- 0.00086; med 0.0001628, IQR 0.00081","0.8628 +/- 0.18; med 0.9528, IQR 0.076",yes
reversal_curriculum,"monotonic,unload_reload,cyclic",cyclic,no,s2_t2,2,2,field,ece,lower,0.78693,0.157357,0.629574,80.0037,"0.7869 +/- 0.00064; med 0.7873, IQR 0.00065","0.1574 +/- 0.078; med 0.1387, IQR 0.049",yes
reversal_curriculum,"monotonic,unload_reload,cyclic",cyclic,no,s2_t2,2,2,field,nll,lower,97114.5,5.33097,97109.1,99.9945,"9.711e+04 +/- 2.4e+04; med 1.013e+05, IQR 2.7e+04","5.331 +/- 14; med -0.5774, IQR 0.35",yes
reversal_curriculum,"monotonic,unload_reload,cyclic",cyclic,no,s2_t2,2,2,field,crps,lower,0.031509,0.0480089,-0.0164998,-52.3653,"0.03151 +/- 0.0057; med 0.02996, IQR 0.0092","0.04801 +/- 0.018; med 0.03938, IQR 0.028",no
reversal_curriculum,"monotonic,unload_reload,cyclic",nonproportional,yes,s2_t2,2,2,material_parameter,coverage_95,higher,0.0875,0.891667,0.804167,919.048,"0.0875 +/- 0.13; med 0.04167, IQR 0.042","0.8917 +/- 0.15; med 0.9167, IQR 0.083",yes
reversal_curriculum,"monotonic,unload_reload,cyclic",nonproportional,yes,s2_t2,2,2,material_parameter,ece,lower,0.711458,0.13,0.581458,81.7277,"0.7115 +/- 0.12; med 0.7563, IQR 0.036","0.13 +/- 0.075; med 0.1188, IQR 0.098",yes
reversal_curriculum,"monotonic,unload_reload,cyclic",nonproportional,yes,s2_t2,2,2,material_parameter,nll,lower,5737.15,0.883639,5736.26,99.9846,"5737 +/- 7.9e+03; med 2679, IQR 1.7e+03","0.8836 +/- 0.86; med 0.5747, IQR 0.061",yes
reversal_curriculum,"monotonic,unload_reload,cyclic",nonproportional,yes,s2_t2,2,2,history,coverage_95,higher,0.0420161,0.860302,0.818286,1947.55,"0.04202 +/- 0.047; med 0.01371, IQR 0.086","0.8603 +/- 0.046; med 0.842, IQR 0.056",yes
reversal_curriculum,"monotonic,unload_reload,cyclic",nonproportional,yes,s2_t2,2,2,history,ece,lower,0.74691,0.103256,0.643654,86.1756,"0.7469 +/- 0.046; med 0.7745, IQR 0.084","0.1033 +/- 0.012; med 0.1065, IQR 0.02",yes
reversal_curriculum,"monotonic,unload_reload,cyclic",nonproportional,yes,s2_t2,2,2,history,nll,lower,226713,2951.33,223762,98.6982,"2.267e+05 +/- 1.3e+05; med 2.238e+05, IQR 6e+04","2951 +/- 4e+03; med 137, IQR 6.1e+03",yes
reversal_curriculum,"monotonic,unload_reload,cyclic",nonproportional,yes,s2_t2,2,2,field,coverage_95,higher,0.00218099,0.897786,0.895605,41064.2,"0.002181 +/- 0.0028; med 0.001139, IQR 0.00033","0.8978 +/- 0.089; med 0.8929, IQR 0.083",yes
reversal_curriculum,"monotonic,unload_reload,cyclic",nonproportional,yes,s2_t2,2,2,field,ece,lower,0.78562,0.120986,0.664634,84.5999,"0.7856 +/- 0.0025; med 0.7866, IQR 0.00033","0.121 +/- 0.032; med 0.1202, IQR 0.012",yes
reversal_curriculum,"monotonic,unload_reload,cyclic",nonproportional,yes,s2_t2,2,2,field,nll,lower,111761,-0.206699,111761,100,"1.118e+05 +/- 3.4e+04; med 1.205e+05, IQR 1.4e+04","-0.2067 +/- 0.7; med -0.5193, IQR 0.48",yes
reversal_curriculum,"monotonic,unload_reload,cyclic",nonproportional,yes,s2_t2,2,2,field,crps,lower,0.0362839,0.778276,-0.741992,-2044.96,"0.03628 +/- 0.0023; med 0.03521, IQR 0.0013","0.7783 +/- 1.6; med 0.05857, IQR 0.064",no
reversal_curriculum,"monotonic,unload_reload,cyclic",pre_stress,yes,s2_t2,2,2,material_parameter,coverage_95,higher,0.0166667,0.991667,0.975,5850,"0.01667 +/- 0.027; med 0, IQR 0.021","0.9917 +/- 0.019; med 1, IQR 0",yes
reversal_curriculum,"monotonic,unload_reload,cyclic",pre_stress,yes,s2_t2,2,2,material_parameter,ece,lower,0.776042,0.175,0.601042,77.4497,"0.776 +/- 0.02; med 0.7875, IQR 0.01","0.175 +/- 0.033; med 0.1708, IQR 0.042",yes
reversal_curriculum,"monotonic,unload_reload,cyclic",pre_stress,yes,s2_t2,2,2,material_parameter,nll,lower,66587.1,1.65748,66585.4,99.9975,"6.659e+04 +/- 8.9e+04; med 3998, IQR 1.4e+05","1.657 +/- 1.3; med 1.047, IQR 1",yes
reversal_curriculum,"monotonic,unload_reload,cyclic",pre_stress,yes,s2_t2,2,2,history,coverage_95,higher,0.0271169,0.886452,0.859335,3169,"0.02712 +/- 0.018; med 0.02399, IQR 0.0099","0.8865 +/- 0.027; med 0.8949, IQR 0.041",yes
