Protocol,Train paths,Eval path,Path OOD,Sparse config,Sensors,Observed steps,Target,Metric,Direction,Raw mean,Calibrated mean,Gain,Gain %,Raw,Calibrated,Improved
strict_path_ood,monotonic,cyclic,yes,s2_t2,2,2,material_parameter,coverage_95,higher,0.1375,0.941667,0.804167,584.848,"0.1375 +/- 0.21; med 0.08333, IQR 0.063","0.9417 +/- 0.091; med 1, IQR 0.083",yes
strict_path_ood,monotonic,cyclic,yes,s2_t2,2,2,material_parameter,ece,lower,0.684375,0.125,0.559375,81.7352,"0.6844 +/- 0.17; med 0.7458, IQR 0.026","0.125 +/- 0.035; med 0.1167, IQR 0.05",yes
strict_path_ood,monotonic,cyclic,yes,s2_t2,2,2,material_parameter,nll,lower,29939.6,5.88547,29933.7,99.9803,"2.994e+04 +/- 3.4e+04; med 1.336e+04, IQR 3.9e+04","5.885 +/- 6.9; med 2.064, IQR 4.6",yes
strict_path_ood,monotonic,cyclic,yes,s2_t2,2,2,history,coverage_95,higher,0.0489063,0.876992,0.828086,1693.21,"0.04891 +/- 0.032; med 0.04873, IQR 0.021","0.877 +/- 0.072; med 0.8687, IQR 0.087",yes
strict_path_ood,monotonic,cyclic,yes,s2_t2,2,2,history,ece,lower,0.742446,0.100073,0.642373,86.5211,"0.7424 +/- 0.028; med 0.7418, IQR 0.02","0.1001 +/- 0.025; med 0.1068, IQR 0.0096",yes
strict_path_ood,monotonic,cyclic,yes,s2_t2,2,2,history,nll,lower,3.22157e+06,964556,2.25701e+06,70.0594,"3.222e+06 +/- 1.8e+06; med 3.46e+06, IQR 1.9e+06","9.646e+05 +/- 2e+06; med 8.009e+04, IQR 2.4e+05",yes
strict_path_ood,monotonic,cyclic,yes,s2_t2,2,2,field,coverage_95,higher,0.0463542,0.948958,0.902604,1947.19,"0.04635 +/- 0.073; med 0.006836, IQR 0.043","0.949 +/- 0.066; med 0.9811, IQR 0.085",yes
strict_path_ood,monotonic,cyclic,yes,s2_t2,2,2,field,ece,lower,0.750822,0.128669,0.622153,82.863,"0.7508 +/- 0.059; med 0.7823, IQR 0.031","0.1287 +/- 0.031; med 0.1439, IQR 0.037",yes
strict_path_ood,monotonic,cyclic,yes,s2_t2,2,2,field,nll,lower,67527.7,0.609118,67527.1,99.9991,"6.753e+04 +/- 2.3e+04; med 7.21e+04, IQR 3.4e+04","0.6091 +/- 1.9; med -0.2027, IQR 3",yes
strict_path_ood,monotonic,cyclic,yes,s2_t2,2,2,field,crps,lower,0.0255281,1.39305,-1.36753,-5356.94,"0.02553 +/- 0.00089; med 0.02533, IQR 0.00094","1.393 +/- 2.2; med 0.04338, IQR 1.8",no
strict_path_ood,monotonic,nonproportional,yes,s2_t2,2,2,material_parameter,coverage_95,higher,0.15,0.983333,0.833333,555.556,"0.15 +/- 0.13; med 0.1667, IQR 0.23","0.9833 +/- 0.023; med 1, IQR 0.042",yes
strict_path_ood,monotonic,nonproportional,yes,s2_t2,2,2,material_parameter,ece,lower,0.648958,0.175,0.473958,73.0337,"0.649 +/- 0.11; med 0.626, IQR 0.22","0.175 +/- 0.035; med 0.1604, IQR 0.062",yes
strict_path_ood,monotonic,nonproportional,yes,s2_t2,2,2,material_parameter,nll,lower,51709.4,2.81354,51706.5,99.9946,"5.171e+04 +/- 6.6e+04; med 1.099e+04, IQR 8.3e+04","2.814 +/- 1.3; med 2.049, IQR 1.5",yes
strict_path_ood,monotonic,nonproportional,yes,s2_t2,2,2,history,coverage_95,higher,0.0356552,0.825605,0.78995,2215.52,"0.03566 +/- 0.022; med 0.03518, IQR 0.012","0.8256 +/- 0.071; med 0.8175, IQR 0.036",yes
strict_path_ood,monotonic,nonproportional,yes,s2_t2,2,2,history,ece,lower,0.753511,0.124204,0.629307,83.5167,"0.7535 +/- 0.02; med 0.7536, IQR 0.011","0.1242 +/- 0.031; med 0.1208, IQR 0.026",yes
strict_path_ood,monotonic,nonproportional,yes,s2_t2,2,2,history,nll,lower,3.67873e+06,485159,3.19357e+06,86.8118,"3.679e+06 +/- 9.8e+05; med 3.392e+06, IQR 9.2e+05","4.852e+05 +/- 8e+05; med 2.976e+04, IQR 4.7e+05",yes
strict_path_ood,monotonic,nonproportional,yes,s2_t2,2,2,field,coverage_95,higher,0.052832,0.970313,0.91748,1736.6,"0.05283 +/- 0.058; med 0.05501, IQR 0.062","0.9703 +/- 0.035; med 0.9854, IQR 0.058",yes
strict_path_ood,monotonic,nonproportional,yes,s2_t2,2,2,field,ece,lower,0.73877,0.139479,0.59929,81.1201,"0.7388 +/- 0.051; med 0.7329, IQR 0.062","0.1395 +/- 0.03; med 0.1325, IQR 0.047",yes
strict_path_ood,monotonic,nonproportional,yes,s2_t2,2,2,field,nll,lower,80201,0.531243,80200.4,99.9993,"8.02e+04 +/- 3.8e+04; med 8.253e+04, IQR 5.6e+04","0.5312 +/- 2.2; med -0.8916, IQR 3.8",yes
strict_path_ood,monotonic,nonproportional,yes,s2_t2,2,2,field,crps,lower,0.0303713,3.06406,-3.03369,-9988.67,"0.03037 +/- 0.0012; med 0.03014, IQR 0.0013","3.064 +/- 4.6; med 0.05885, IQR 4.8",no
strict_path_ood,monotonic,pre_stress,yes,s2_t2,2,2,material_parameter,coverage_95,higher,0.129167,0.975,0.845833,654.839,"0.1292 +/- 0.1; med 0.08333, IQR 0.021","0.975 +/- 0.037; med 1, IQR 0.042",yes
strict_path_ood,monotonic,pre_stress,yes,s2_t2,2,2,material_parameter,ece,lower,0.669792,0.16375,0.506042,75.5521,"0.6698 +/- 0.096; med 0.7146, IQR 0.036","0.1638 +/- 0.018; med 0.1604, IQR 0.021",yes
strict_path_ood,monotonic,pre_stress,yes,s2_t2,2,2,material_parameter,nll,lower,14646.2,2.23021,14644,99.9848,"1.465e+04 +/- 1.9e+04; med 8544, IQR 5.2e+03","2.23 +/- 1.7; med 1.608, IQR 0.61",yes
strict_path_ood,monotonic,pre_stress,yes,s2_t2,2,2,history,coverage_95,higher,0.088256,0.930242,0.841986,954.026,"0.08826 +/- 0.046; med 0.08614, IQR 0.047","0.9302 +/- 0.034; med 0.9252, IQR 0.023",yes
strict_path_ood,monotonic,pre_stress,yes,s2_t2,2,2,history,ece,lower,0.702341,0.126321,0.576021,82.0144,"0.7023 +/- 0.046; med 0.706, IQR 0.044","0.1263 +/- 0.017; med 0.1249, IQR 0.0046",yes
strict_path_ood,monotonic,pre_stress,yes,s2_t2,2,2,history,nll,lower,1.23698e+06,143596,1.09338e+06,88.3914,"1.237e+06 +/- 4e+05; med 1.417e+06, IQR 5.5e+05","1.436e+05 +/- 2.5e+05; med 5.928e+04, IQR 6.4e+04",yes
strict_path_ood,monotonic,pre_stress,yes,s2_t2,2,2,field,coverage_95,higher,0.0437175,0.954427,0.91071,2083.17,"0.04372 +/- 0.048; med 0.02816, IQR 0.0024","0.9544 +/- 0.034; med 0.9515, IQR 0.024",yes
strict_path_ood,monotonic,pre_stress,yes,s2_t2,2,2,field,ece,lower,0.748901,0.129414,0.619487,82.7195,"0.7489 +/- 0.04; med 0.7609, IQR 0.0061","0.1294 +/- 0.025; med 0.1392, IQR 0.012",yes
strict_path_ood,monotonic,pre_stress,yes,s2_t2,2,2,field,nll,lower,12172.4,-0.345161,12172.8,100.003,"1.217e+04 +/- 2e+03; med 1.228e+04, IQR 8.7e+02","-0.3452 +/- 2.4; med -1.315, IQR 2",yes
strict_path_ood,monotonic,pre_stress,yes,s2_t2,2,2,field,crps,lower,0.0121625,1.98864,-1.97647,-16250.6,"0.01216 +/- 0.00085; med 0.01239, IQR 0.00023","1.989 +/- 3.7; med 0.06788, IQR 1.2",no
strict_path_ood,monotonic,random_amplitude,yes,s2_t2,2,2,material_parameter,coverage_95,higher,0.108333,0.991667,0.883333,815.385,"0.1083 +/- 0.17; med 0, IQR 0.17","0.9917 +/- 0.019; med 1, IQR 0",yes
strict_path_ood,monotonic,random_amplitude,yes,s2_t2,2,2,material_parameter,ece,lower,0.689583,0.1625,0.527083,76.435,"0.6896 +/- 0.15; med 0.7875, IQR 0.14","0.1625 +/- 0.041; med 0.1708, IQR 0.042",yes
strict_path_ood,monotonic,random_amplitude,yes,s2_t2,2,2,material_parameter,nll,lower,145109,2.76704,145107,99.9981,"1.451e+05 +/- 2.2e+05; med 2.007e+04, IQR 1.8e+05","2.767 +/- 2.3; med 2.383, IQR 1.5",yes
strict_path_ood,monotonic,random_amplitude,yes,s2_t2,2,2,history,coverage_95,higher,0.0486409,0.846508,0.797867,1640.32,"0.04864 +/- 0.032; med 0.03512, IQR 0.019","0.8465 +/- 0.067; med 0.8203, IQR 0.086",yes
strict_path_ood,monotonic,random_amplitude,yes,s2_t2,2,2,history,ece,lower,0.741312,0.120972,0.62034,83.6813,"0.7413 +/- 0.031; med 0.7538, IQR 0.015","0.121 +/- 0.016; med 0.1192, IQR 0.013",yes
strict_path_ood,monotonic,random_amplitude,yes,s2_t2,2,2,history,nll,lower,3.25012e+06,714483,2.53563e+06,78.0167,"3.25e+06 +/- 1.4e+06; med 3.778e+06, IQR 2.6e+06","7.145e+05 +/- 1.1e+06; med 2.794e+05, IQR 7.3e+05",yes
strict_path_ood,monotonic,random_amplitude,yes,s2_t2,2,2,field,coverage_95,higher,0.0410156,0.96875,0.927734,2261.9,"0.04102 +/- 0.062; med 0.001302, IQR 0.059","0.9688 +/- 0.034; med 0.984, IQR 0.04",yes
strict_path_ood,monotonic,random_amplitude,yes,s2_t2,2,2,field,ece,lower,0.751717,0.167705,0.584012,77.6904,"0.7517 +/- 0.056; med 0.7864, IQR 0.047","0.1677 +/- 0.044; med 0.1873, IQR 0.058",yes
strict_path_ood,monotonic,random_amplitude,yes,s2_t2,2,2,field,nll,lower,57602,0.427317,57601.6,99.9993,"5.76e+04 +/- 2.1e+04; med 6.148e+04, IQR 2.7e+04","0.4273 +/- 1.8; med -0.4438, IQR 2.6",yes
strict_path_ood,monotonic,random_amplitude,yes,s2_t2,2,2,field,crps,lower,0.0259315,1.90607,-1.88014,-7250.41,"0.02593 +/- 0.00094; med 0.02613, IQR 0.0013","1.906 +/- 2.5; med 0.1222, IQR 4.5",no
strict_path_ood,monotonic,unload_reload,yes,s2_t2,2,2,material_parameter,coverage_95,higher,0.125,0.916667,0.791667,633.333,"0.125 +/- 0.1; med 0.1042, IQR 0.15","0.9167 +/- 0.083; med 0.9583, IQR 0.083",yes
strict_path_ood,monotonic,unload_reload,yes,s2_t2,2,2,material_parameter,ece,lower,0.688542,0.15625,0.532292,77.3071,"0.6885 +/- 0.078; med 0.6938, IQR 0.13","0.1563 +/- 0.019; med 0.15, IQR 0.029",yes
strict_path_ood,monotonic,unload_reload,yes,s2_t2,2,2,material_parameter,nll,lower,97956.4,2.23008,97954.2,99.9977,"9.796e+04 +/- 1.8e+05; med 1.782e+04, IQR 2.2e+04","2.23 +/- 1; med 2.227, IQR 0.95",yes
strict_path_ood,monotonic,unload_reload,yes,s2_t2,2,2,history,coverage_95,higher,0.0492969,0.822344,0.773047,1568.15,"0.0493 +/- 0.023; med 0.05005, IQR 0.037","0.8223 +/- 0.038; med 0.8252, IQR 0.042",yes
strict_path_ood,monotonic,unload_reload,yes,s2_t2,2,2,history,ece,lower,0.742361,0.121362,0.620999,83.6518,"0.7424 +/- 0.021; med 0.7405, IQR 0.028","0.1214 +/- 0.011; med 0.1184, IQR 0.00063",yes
strict_path_ood,monotonic,unload_reload,yes,s2_t2,2,2,history,nll,lower,3.34329e+06,778000,2.56529e+06,76.7295,"3.343e+06 +/- 1.1e+06; med 3.613e+06, IQR 1.7e+06","7.78e+05 +/- 1.3e+06; med 1.869e+05, IQR 4.6e+05",yes
strict_path_ood,monotonic,unload_reload,yes,s2_t2,2,2,field,coverage_95,higher,0.0470052,0.899219,0.852214,1813.02,"0.04701 +/- 0.045; med 0.05371, IQR 0.062","0.8992 +/- 0.11; med 0.9398, IQR 0.026",yes
strict_path_ood,monotonic,unload_reload,yes,s2_t2,2,2,field,ece,lower,0.748633,0.127673,0.62096,82.9459,"0.7486 +/- 0.034; med 0.7339, IQR 0.057","0.1277 +/- 0.034; med 0.1159, IQR 0.048",yes
strict_path_ood,monotonic,unload_reload,yes,s2_t2,2,2,field,nll,lower,36775.8,-0.440362,36776.3,100.001,"3.678e+04 +/- 1.2e+04; med 4.05e+04, IQR 1.6e+04","-0.4404 +/- 0.34; med -0.3107, IQR 0.19",yes
strict_path_ood,monotonic,unload_reload,yes,s2_t2,2,2,field,crps,lower,0.0196693,0.603535,-0.583866,-2968.41,"0.01967 +/- 0.00061; med 0.01984, IQR 0.00091","0.6035 +/- 0.76; med 0.08907, IQR 1.3",no
