seed,load_path,sparse_observation_relative_l2,rollout_displacement_relative_l2,material_parameter_relative_l2,material_parameter_mae,material_parameter_coverage_95,material_parameter_ece,material_parameter_nll,material_parameter_posterior_std,calibrated_material_parameter_coverage_95,calibrated_material_parameter_ece,calibrated_material_parameter_nll,calibrated_material_parameter_spread_scale,calibrated_material_parameter_posterior_std,history_relative_l2,history_final_relative_l2,history_coverage_95,history_ece,history_nll,history_posterior_std,calibrated_history_coverage_95,calibrated_history_ece,calibrated_history_nll,calibrated_history_spread_scale,calibrated_history_posterior_std,field_coverage_95,field_ece,field_nll,field_crps,field_sharpness,field_interval_width_95,calibrated_field_coverage_95,calibrated_field_ece,calibrated_field_nll,calibrated_field_crps,calibrated_field_sharpness,calibrated_field_interval_width_95,calibrated_field_spread_scale,posterior_calibration_num_calibration,posterior_calibration_num_test,inversion_final_loss
20260517,cyclic,1.122138977,0.9240460396,0.2318950891,4.0200243,0.02083333395,0.7718750238,4312.394531,0.1043324098,1,0.2020833492,1.496968627,274.6557922,41.69284058,0.8326097131,2.3688097,0.058300782,0.7302001715,543861.5,0.0007170466706,0.8312500119,0.1165038943,3492.930908,10000,6.336884975,0.001627604244,0.7863199711,86758.76562,0.02605560049,1.778480146e-05,5.090433842e-05,0.8798828125,0.1080403477,4.972685814,0.07840424031,0.2059698105,0.5554438829,10000,4,4,955.9705811
20260518,cyclic,7.800602436,2.879847288,0.07974132895,1.439694762,0,0.7874999642,21542.23242,0.007865811698,0.9166666865,0.1166666597,0.5714070201,276.0124207,2.030258179,0.6397488117,1.443487883,0.100195311,0.6881713867,125576.9375,0.0006805223529,0.8734375238,0.1169921756,55.1714592,10000,6.539214611,0,0.7874999642,842756.875,0.09304010123,7.043840924e-06,2.088433939e-05,0.5716146231,0.3505696654,2.746690512,0.07290647924,0.06524133682,0.2024217695,10000,4,4,22472.8457
20260519,cyclic,0.9021515846,0.9300190806,0.2501924634,3.967346668,0.0625,0.7562500238,42233.65625,0.01809595525,1,0.1812500209,2.306483269,1069.796631,20.6679306,0.8728888035,3.091172934,0.07153320312,0.7197143435,142702.75,0.005935292225,0.8331055045,0.06667478383,857.0756226,10000,100.7635727,0.000325520843,0.7872558832,87884.125,0.02543857694,6.949291674e-06,2.046193549e-05,0.8681640625,0.0898925662,-1.448533297,0.03108706139,0.08562766761,0.2484666556,10000,4,4,699.795166
20260520,cyclic,0.8942379951,0.9115142822,0.1674695015,2.783412695,0.1041666716,0.6937500238,8118.413574,0.6793686748,1,0.212500006,2.86934948,541.0552368,680.1715088,0.6681782007,1.851083517,0.107421875,0.6831909418,286606.25,0.005043354817,0.900488317,0.1083495915,31.34668541,10000,90.85314178,0.0183919277,0.7714680433,83283.57812,0.02505233511,0.0001608362509,0.0003766156733,0.9339193106,0.1005045623,-0.1882889718,1.351606846,3.132536411,7.279490471,10000,4,4,415.4307861
20260521,cyclic,2.25220418,1.226091266,0.3803962171,7.426063538,0.02083333395,0.7666666508,43241.375,0.01537346374,1,0.181250006,1.289474487,744.3272095,13.24424934,1.069287896,4.947659969,0.015478516,0.7730346322,2871605.25,0.0006546803634,0.8981445432,0.1176269352,341.8558655,10000,3.289278746,0.0001627604215,0.7873372436,148072.3438,0.04175713658,3.212495722e-05,9.227162082e-05,0.976236999,0.1447916925,-0.5057426691,0.08836376667,0.3146452308,0.9293704033,8325.753906,4,4,1432.163208
20260517,monotonic,1.062452912,0.8009229302,0.3286637962,6.081337929,0,0.7874999642,7392.251465,0.06757368147,0.9166666865,0.07499998808,0.6621332169,179.4709778,6.081656933,0.7403437495,0.6466408372,0.0400390625,0.7490844727,1161572.25,0.001351995743,0.916113317,0.1114257872,21679.6543,10000,21.98290825,0.001627604244,0.7863199711,22713.57422,0.01461128518,2.687201413e-05,7.803001063e-05,1,0.212500006,-0.6407832503,0.07921725512,0.2859277129,0.8239097595,8116.030273,4,4,612.0385132
20260518,monotonic,5.650537014,4.739514351,0.1126994267,2.175410271,0,0.7874999642,10887.71387,0.01654497907,1,0.1604166776,0.6140281558,291.0475159,6.862962246,0.7609327435,0.7400057316,0.008447266184,0.7800658941,101381.6641,0.0006545302458,0.814453125,0.1194824129,4336.062988,10000,6.758555889,0,0.7874999642,831116.5,0.08909593523,8.389764844e-06,2.480196054e-05,0.7307943106,0.1654296517,-0.7686011791,0.06161253899,0.09176145494,0.2637016475,10000,4,4,19883.95312
20260519,monotonic,0.8130787611,0.8352941871,0.3339835405,6.22241354,0.0625,0.7354166508,38723.44922,0.02423056215,1,0.2020833492,2.519307613,1104.320435,29.3674984,0.6062188745,0.2550775409,0.05971679837,0.7292846441,233294.2812,0.01529900264,0.9530273676,0.1527099758,592.5932007,10000,299.2945251,0.001139322994,0.7865641117,21859.90234,0.01315846108,4.034255471e-05,0.0001176980149,0.9671224356,0.1467448175,-1.893169761,0.02316806838,0.06714236736,0.1976733655,1322.22168,4,4,896.2983398
20260520,monotonic,0.8307799697,0.8256109357,0.3211351633,5.721834183,0.04166666791,0.7510416508,2818540,0.01893718168,1,0.212500006,4.512645245,10000,148.9847565,1.002011538,0.9356006384,0.02304687537,0.767126441,3144478.25,0.00196159631,0.7585937381,0.1482909918,39510.23047,10000,6.431181431,0.001627604244,0.7860758305,25211.96484,0.01321822405,1.591938963e-05,4.605237336e-05,0.993815124,0.1878418177,-1.367708445,0.04536105692,0.1624754369,0.4790138006,8258.84668,4,4,798.1549683
20260521,monotonic,2.090951681,1.73064363,0.3971502781,7.696112633,0,0.7874999642,32739.34375,0.02020917833,1,0.1500000209,1.240695,735.4828491,12.4519558,0.4996529818,0.1960139871,0.02041015588,0.7682372928,139768.1094,0.0005084117292,0.8553711176,0.1163329929,196.8057098,4616.084961,2.573945761,0,0.7874999642,100998.8672,0.0352386497,4.127091961e-05,0.0001264548628,0.822265625,0.08909504116,-1.607257247,0.02660308592,0.06838087738,0.2039252967,1873.716309,4,4,3373.35791
