Model,Metric,Rule,Lower,Upper,Outlier count,Outlier seeds,Mean,Std,Median,IQR,Min,Max
Thermo-hard HistoryGNO,Cyclic disp. rel. L2,1.5*IQR,21.3726,150.883,1,20260518=190.676,101.089,47.3775,86.1838,32.3776,56.3311,190.676
Thermo-hard HistoryGNO,Cyclic history rel. L2,1.5*IQR,1.12161,1.13278,1,20260521=1.1165,1.12587,0.0052013,1.12628,0.0027926,1.1165,1.13219
Thermo-hard HistoryGNO,History-increment rel. L2,1.5*IQR,0.943412,1.13109,1,20260518=1.27891,1.07906,0.102102,1.04142,0.0469189,1.0005,1.27891
Thermo-hard HistoryGNO,Reversal hist-inc. rel. L2,1.5*IQR,0.788854,1.35245,1,20260518=1.57588,1.14676,0.220968,1.01684,0.140899,0.999798,1.57588
HistoryGNO data-only,Cyclic disp. rel. L2,1.5*IQR,43.7299,159.782,2,20260518=227.698; 20260519=37.8276,115.819,62.3685,110.057,29.013,37.8276,227.698
HistoryGNO data-only,Cyclic history rel. L2,1.5*IQR,5.60074,7.88271,1,20260519=8.9028,7.05657,0.961961,6.69048,0.570491,6.20611,8.9028
HistoryGNO data-only,History-increment rel. L2,1.5*IQR,2.09379,2.78098,1,20260519=3.153,2.52905,0.324153,2.36965,0.171798,2.24782,3.153
HistoryGNO data-only,Plastic-work inc. rel. L2,1.5*IQR,16665.5,39871.5,1,20260517=8961.48,24651.4,8191.56,26578.5,5801.48,8961.48,31180.2
HistoryGNO data-only,Reversal hist-inc. rel. L2,1.5*IQR,2.81905,3.86085,1,20260519=4.40438,3.47205,0.485827,3.23517,0.26045,3.0408,4.40438
HistoryGNO data-only,Plastic-work violation pred-norm.,1.5*IQR,-6.72986,17.2033,1,20260517=27.9183,8.46475,10.0225,2.51412,5.98329,1.41787,27.9183
HANO-window recent-history NO,Cyclic disp. rel. L2,1.5*IQR,322.915,371.202,2,20260517=542.456; 20260519=193.274,354.316,111.056,341.735,12.0718,193.274,542.456
HANO-window recent-history NO,History-increment rel. L2,1.5*IQR,0.999172,1.01647,1,20260521=1.02067,1.00858,0.00684535,1.00657,0.0043242,1.00001,1.02067
HANO-window recent-history NO,Yield-surface RMS,1.5*IQR,-0.363674,0.801897,1,20260517=1.16207,0.361657,0.41856,0.202581,0.291393,0.00541377,1.16207
INCDE Euler neural CDE,Cyclic disp. rel. L2,1.5*IQR,14.872,421.92,1,20260517=504.6,261.445,132.096,241.671,101.762,124.161,504.6
INCDE Euler neural CDE,Cyclic history rel. L2,1.5*IQR,0.80794,0.822579,2,20260517=0.803017; 20260518=0.850568,0.819908,0.016095,0.815437,0.00365996,0.803017,0.850568
INCDE Euler neural CDE,History-increment rel. L2,1.5*IQR,0.995924,1.00826,1,20260520=1.01211,1.00334,0.00458977,1.00085,0.0030843,0.999556,1.01211
INCDE Euler neural CDE,Reversal hist-inc. rel. L2,1.5*IQR,0.990069,1.00544,1,20260520=0.975397,0.994999,0.0102761,0.998736,0.00384229,0.975397,1.00535
INCDE Euler neural CDE,Reversal yield-flag MAE,1.5*IQR,0.53273,0.538653,1,20260520=0.530241,0.534903,0.00247783,0.535481,0.00148076,0.530241,0.537411
INCDE Euler neural CDE,Yield-surface RMS,1.5*IQR,0.189476,0.207166,1,20260517=0.158318,0.19204,0.0170877,0.20036,0.00442234,0.158318,0.20488
Thermo-projected neural CDE,Cyclic disp. rel. L2,1.5*IQR,14.9992,421.747,1,20260517=504.644,261.631,132.082,242.603,101.687,124.161,504.644
Thermo-projected neural CDE,Cyclic history rel. L2,1.5*IQR,0.989477,1.00038,1,20260519=0.974544,0.99129,0.00848036,0.994583,0.00272584,0.974544,0.997464
Thermo-projected neural CDE,History-increment rel. L2,1.5*IQR,0.999926,1.00004,2,20260519=1.01397; 20260521=0.999901,1.00276,0.00560165,0.999986,2.89083e-05,0.999901,1.01397
Thermo-projected neural CDE,Reversal hist-inc. rel. L2,1.5*IQR,0.99959,1.00072,1,20260519=1.01511,1.0031,0.00600498,1.0001,0.000282884,0.999985,1.01511
Thermo-projected neural CDE,Reversal yield-flag MAE,1.5*IQR,0.569208,0.56921,1,20260519=0.568689,0.569105,0.000207937,0.569209,5.36442e-07,0.568689,0.569209
Thermo-projected neural CDE,Yield-surface RMS,1.5*IQR,-9.84982e-06,1.65989e-05,1,20260519=0.00458957,0.000919407,0.00183508,6.94303e-07,6.61219e-06,1.97319e-08,0.00458957
Non-recurrent GNO sequence,History-increment rel. L2,1.5*IQR,1.00005,1.00019,2,20260518=1.00022; 20260521=0.999873,1.00009,0.000115273,1.00011,3.56436e-05,0.999873,1.00022
Non-recurrent GNO sequence,Plastic-work inc. rel. L2,1.5*IQR,-4.26803,10.2861,1,20260521=12.9466,4.97986,4.30113,4.77564,3.63853,1.15896,12.9466
Non-recurrent GNO sequence,Reversal hist-inc. rel. L2,1.5*IQR,0.999451,0.999853,2,20260518=0.999325; 20260521=1.00043,0.99974,0.000368482,0.999644,0.000100553,0.999325,1.00043
Non-recurrent GNO sequence,Plastic-work violation pred-norm.,1.5*IQR,0.443328,1.92779,2,20260517=1.9895; 20260518=0,1.07212,0.646656,1,0.371115,0,1.9895
Static DeepONet sequence,Cyclic disp. rel. L2,1.5*IQR,5.60185,7.60094,1,20260518=4.9353,6.41681,0.825544,6.52519,0.499774,4.9353,7.42079
Static DeepONet sequence,History-increment rel. L2,1.5*IQR,0.999826,1.00018,1,20260518=1.00021,1.00003,9.60821e-05,0.999982,8.95262e-05,0.999952,1.00021
Static DeepONet sequence,Eqp increment rel. L2,1.5*IQR,0.754172,1.38095,1,20260517=2.94663,1.41347,0.76926,1.02963,0.156695,0.955961,2.94663
Static DeepONet sequence,Reversal hist-inc. rel. L2,1.5*IQR,0.999384,1.0006,1,20260518=0.999322,0.999914,0.000318118,1.00012,0.000303388,0.999322,1.00015
Static DeepONet sequence,Reversal yield-flag MAE,1.5*IQR,0.536356,0.538065,2,20260517=0.538209; 20260519=0.535668,0.537059,0.000824382,0.537,0.000427186,0.535668,0.538209
Static DeepONet sequence,Plastic-work violation pred-norm.,1.5*IQR,0.995152,1.00808,2,20260519=0; 20260521=1.33683,0.868012,0.45307,1,0.00323212,0,1.33683
