Model,Seed,Train final loss,Cyclic disp. rel. L2,Cyclic history rel. L2,History-increment rel. L2,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.
Thermo-hard HistoryGNO,20260517,14487.8,219.56,1.12757,1.00064,17.2563,20.995,0.999821,0.430791,1.64537e-07,0,0,0
Thermo-hard HistoryGNO,20260518,8270.08,265.451,1.1095,1.13661,24.3669,31.5781,1.28691,0.414733,0.00110463,5.13539e-13,2.0034e-08,6.30178e-10
Thermo-hard HistoryGNO,20260519,1749.14,34.3408,1.1295,1.02797,27.9547,40.3188,1.0515,0.431457,0.000624091,0,0,0
Thermo-hard HistoryGNO,20260520,2265.17,106.465,1.12875,1.0009,21.4808,28.7498,0.999955,0.430791,1.87204e-07,0,0,0
Thermo-hard HistoryGNO,20260521,5269.67,139.71,1.11124,1.06673,25.171,33.7704,1.0434,0.432992,0.000575151,0,0,0
HistoryGNO data-only,20260517,14246.4,236.693,6.0324,2.22024,3830.71,10238.5,3.00541,0.503282,0.449572,5.20639,203110,19.8371
HistoryGNO data-only,20260518,4683.12,269.077,6.46017,2.3413,2438.57,26557.2,3.18425,0.494414,0.4914,1.67999,65539,2.46781
HistoryGNO data-only,20260519,854.083,47.9836,9.10593,3.22298,4566.78,31908,4.50838,0.491766,0.50117,6.92912,270316,8.47165
HistoryGNO data-only,20260520,5283.12,165.835,6.6377,2.36868,2136.68,28467.1,3.23128,0.498976,0.43401,1.1149,43494.2,1.52785
HistoryGNO data-only,20260521,5517.16,152.416,6.73115,2.36275,2434.68,26988.5,3.22609,0.497128,0.478495,1.63568,63810.4,2.36432
HANO-window recent-history NO,20260517,1.21195e+06,1280.43,3.27853,1.00107,98.8486,189.733,1.00116,0.528701,0.752191,0.00160445,62.5924,0.32925
HANO-window recent-history NO,20260518,7.96295e+06,668.759,1.99951,1.01894,384.104,793.737,1.03795,0.552513,0.0989307,0.0447044,1743.99,2.19616
HANO-window recent-history NO,20260519,1.09946e+06,301.818,3.92067,1.01184,297.385,164.634,1.02202,0.505954,0.177018,0.0358232,1397.52,8.46948
HANO-window recent-history NO,20260520,3.91948e+06,807.818,1.05871,1.02572,470.893,381.895,1.05332,0.521517,0.329787,0.0832046,3245.95,8.4913
HANO-window recent-history NO,20260521,1.40998e+07,355.993,3.63276,1.12732,1051.63,925.09,1.24693,0.565696,0.0201319,0.41051,16014.7,17.3044
INCDE Euler neural CDE,20260517,48473.9,344.745,0.835993,1.00037,22.2091,355.083,0.997845,0.54014,0.0874501,0,0,0
INCDE Euler neural CDE,20260518,7252.27,335.872,1.03567,1.00433,133.911,677.58,1.00493,0.5521,0.104496,0,0,0
INCDE Euler neural CDE,20260519,37528,308.812,0.914018,1.00106,103.621,483.563,1.00743,0.549088,0.114847,0,0,0
INCDE Euler neural CDE,20260520,1.08412e+06,860.651,0.8355,1.01026,14.6952,67.4626,0.9869,0.538467,0.196007,0,0,0
INCDE Euler neural CDE,20260521,11267.6,259.594,0.889415,1.00101,89.3673,699.28,1.00872,0.54959,0.128679,0,0,0
Thermo-projected neural CDE,20260517,48465.2,344.816,0.994578,0.999989,1,1,1.00014,0.569209,7.62647e-07,0,0,0
Thermo-projected neural CDE,20260518,7259.68,335.786,0.996291,0.999998,1,1,1.00001,0.569209,6.84824e-08,0,0,0
Thermo-projected neural CDE,20260519,37321,307.893,0.931047,1.11739,1,1,1.24677,0.563476,0.0057195,0,0,0
Thermo-projected neural CDE,20260520,1.08412e+06,860.651,0.995121,0.99996,1,1,0.999863,0.569209,3.97074e-07,0,0,0
Thermo-projected neural CDE,20260521,11258.3,259.621,0.993588,0.999904,1,1,1.0003,0.569209,6.41176e-06,0,0,0
Non-recurrent GNO sequence,20260517,16115.4,54.4284,0.85903,1.0001,0.933095,5.49906,0.999718,0.54261,0.0696069,0.000148339,5.78693,1.14732
Non-recurrent GNO sequence,20260518,15932.7,126.862,0.909106,1.00019,1.48118,9.00323,0.999407,0.543629,0.119117,0,0,0
Non-recurrent GNO sequence,20260519,4679.91,86.0214,0.964403,1.00013,2.03592,10.3319,0.999613,0.467944,0.512201,0.000498389,19.443,1.96133
Non-recurrent GNO sequence,20260520,7655.96,82.626,0.833291,1.00003,1.02626,1.13074,0.999881,0.542182,0.144461,6.9843e-06,0.272469,1
Non-recurrent GNO sequence,20260521,11988.8,225.734,0.928386,0.999874,0.965427,20.8668,1.00044,0.535192,0.171076,0.000535805,20.9027,1.02115
Static DeepONet sequence,20260517,206.788,16.1467,0.991673,0.999972,5.41479,4.71539,1.00008,0.548306,0.0925601,0.000108832,4.24572,1
Static DeepONet sequence,20260518,121.263,10.8438,0.927629,1.00025,0.980883,16.8752,0.999208,0.528521,0.110667,0.000423903,16.5372,1.00392
Static DeepONet sequence,20260519,113.841,11.314,0.845249,0.999973,1.03614,0.943506,1.00015,0.543992,0.145213,0,0,0
Static DeepONet sequence,20260520,120.069,9.86365,0.854958,1.00003,1.21985,0.9514,0.99992,0.544823,0.169016,0,0,0
Static DeepONet sequence,20260521,102.508,9.60195,0.907178,0.999976,0.935306,1.06427,1.00009,0.55635,0.063271,1.07476e-05,0.41928,2.83931
