Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
Thermo-hard HistoryGNO,Cyclic disp. rel. L2,153.105,81.8506,139.71,106.465,219.56,113.095,34.3408,265.451,5
Thermo-hard HistoryGNO,Cyclic history rel. L2,1.12131,0.00897314,1.12757,1.11124,1.12875,0.0175104,1.1095,1.1295,5
Thermo-hard HistoryGNO,History-increment rel. L2,1.04657,0.0510984,1.02797,1.0009,1.06673,0.0658252,1.00064,1.13661,5
Thermo-hard HistoryGNO,Eqp increment rel. L2,23.2459,3.63667,24.3669,21.4808,25.171,3.69024,17.2563,27.9547,5
Thermo-hard HistoryGNO,Plastic-work inc. rel. L2,31.0824,6.32421,31.5781,28.7498,33.7704,5.02062,20.995,40.3188,5
Thermo-hard HistoryGNO,Reversal hist-inc. rel. L2,1.07632,0.107452,1.0434,0.999955,1.0515,0.0515494,0.999821,1.28691,5
Thermo-hard HistoryGNO,Reversal yield-flag MAE,0.428153,0.00675793,0.430791,0.430791,0.431457,0.000665754,0.414733,0.432992,5
Thermo-hard HistoryGNO,Yield-surface RMS,0.000460845,0.000419191,0.000575151,1.87204e-07,0.000624091,0.000623904,1.64537e-07,0.00110463,5
Thermo-hard HistoryGNO,Plastic-work violation abs.,1.02708e-13,2.05416e-13,0,0,0,0,0,5.13539e-13,5
Thermo-hard HistoryGNO,Plastic-work violation target-norm.,4.0068e-09,8.0136e-09,0,0,0,0,0,2.0034e-08,5
Thermo-hard HistoryGNO,Plastic-work violation pred-norm.,1.26036e-10,2.52071e-10,0,0,0,0,0,6.30178e-10,5
HistoryGNO data-only,Cyclic disp. rel. L2,174.401,76.6575,165.835,152.416,236.693,84.2774,47.9836,269.077,5
HistoryGNO data-only,Cyclic history rel. L2,6.99347,1.08314,6.6377,6.46017,6.73115,0.270984,6.0324,9.10593,5
HistoryGNO data-only,History-increment rel. L2,2.50319,0.363916,2.36275,2.3413,2.36868,0.0273802,2.22024,3.22298,5
HistoryGNO data-only,Eqp increment rel. L2,3081.48,947.818,2438.57,2434.68,3830.71,1396.03,2136.68,4566.78,5
HistoryGNO data-only,Plastic-work inc. rel. L2,24831.9,7535,26988.5,26557.2,28467.1,1909.85,10238.5,31908,5
HistoryGNO data-only,Reversal hist-inc. rel. L2,3.43108,0.544912,3.22609,3.18425,3.23128,0.0470309,3.00541,4.50838,5
HistoryGNO data-only,Reversal yield-flag MAE,0.497113,0.00393468,0.497128,0.494414,0.498976,0.00456217,0.491766,0.503282,5
HistoryGNO data-only,Yield-surface RMS,0.470929,0.0253375,0.478495,0.449572,0.4914,0.0418283,0.43401,0.50117,5
HistoryGNO data-only,Plastic-work violation abs.,3.31321,2.32263,1.67999,1.63568,5.20639,3.57071,1.1149,6.92912,5
HistoryGNO data-only,Plastic-work violation target-norm.,129254,90609.6,65539,63810.4,203110,139299,43494.2,270316,5
HistoryGNO data-only,Plastic-work violation pred-norm.,6.93375,6.91246,2.46781,2.36432,8.47165,6.10732,1.52785,19.8371,5
HANO-window recent-history NO,Cyclic disp. rel. L2,682.964,353.536,668.759,355.993,807.818,451.825,301.818,1280.43,5
HANO-window recent-history NO,Cyclic history rel. L2,2.77803,1.08156,3.27853,1.99951,3.63276,1.63325,1.05871,3.92067,5
HANO-window recent-history NO,History-increment rel. L2,1.03698,0.0459015,1.01894,1.01184,1.02572,0.013883,1.00107,1.12732,5
HANO-window recent-history NO,Eqp increment rel. L2,460.572,320.242,384.104,297.385,470.893,173.508,98.8486,1051.63,5
HANO-window recent-history NO,Plastic-work inc. rel. L2,491.018,312.814,381.895,189.733,793.737,604.004,164.634,925.09,5
HANO-window recent-history NO,Reversal hist-inc. rel. L2,1.07228,0.0890204,1.03795,1.02202,1.05332,0.0312958,1.00116,1.24693,5
HANO-window recent-history NO,Reversal yield-flag MAE,0.534876,0.0215129,0.528701,0.521517,0.552513,0.0309962,0.505954,0.565696,5
HANO-window recent-history NO,Yield-surface RMS,0.275612,0.259334,0.177018,0.0989307,0.329787,0.230856,0.0201319,0.752191,5
HANO-window recent-history NO,Plastic-work violation abs.,0.115169,0.149937,0.0447044,0.0358232,0.0832046,0.0473814,0.00160445,0.41051,5
HANO-window recent-history NO,Plastic-work violation target-norm.,4492.95,5849.3,1743.99,1397.52,3245.95,1848.43,62.5924,16014.7,5
HANO-window recent-history NO,Plastic-work violation pred-norm.,7.35812,5.95817,8.46948,2.19616,8.4913,6.29514,0.32925,17.3044,5
INCDE Euler neural CDE,Cyclic disp. rel. L2,421.935,221.354,335.872,308.812,344.745,35.9323,259.594,860.651,5
INCDE Euler neural CDE,Cyclic history rel. L2,0.90212,0.073417,0.889415,0.835993,0.914018,0.078025,0.8355,1.03567,5
INCDE Euler neural CDE,History-increment rel. L2,1.00341,0.00369594,1.00106,1.00101,1.00433,0.00331652,1.00037,1.01026,5
INCDE Euler neural CDE,Eqp increment rel. L2,72.7606,46.6787,89.3673,22.2091,103.621,81.4115,14.6952,133.911,5
INCDE Euler neural CDE,Plastic-work inc. rel. L2,456.594,232.459,483.563,355.083,677.58,322.497,67.4626,699.28,5
INCDE Euler neural CDE,Reversal hist-inc. rel. L2,1.00116,0.0080624,1.00493,0.997845,1.00743,0.00958788,0.9869,1.00872,5
INCDE Euler neural CDE,Reversal yield-flag MAE,0.545877,0.0054893,0.549088,0.54014,0.54959,0.00945061,0.538467,0.5521,5
INCDE Euler neural CDE,Yield-surface RMS,0.126296,0.0373647,0.114847,0.104496,0.128679,0.0241828,0.0874501,0.196007,5
INCDE Euler neural CDE,Plastic-work violation abs.,0,0,0,0,0,0,0,0,5
INCDE Euler neural CDE,Plastic-work violation target-norm.,0,0,0,0,0,0,0,0,5
INCDE Euler neural CDE,Plastic-work violation pred-norm.,0,0,0,0,0,0,0,0,5
Thermo-projected neural CDE,Cyclic disp. rel. L2,421.754,221.446,335.786,307.893,344.816,36.9232,259.621,860.651,5
Thermo-projected neural CDE,Cyclic history rel. L2,0.982125,0.0255537,0.994578,0.993588,0.995121,0.00153244,0.931047,0.996291,5
Thermo-projected neural CDE,History-increment rel. L2,1.02345,0.0469695,0.999989,0.99996,0.999998,3.85046e-05,0.999904,1.11739,5
Thermo-projected neural CDE,Eqp increment rel. L2,1,2.38419e-08,1,1,1,0,1,1,5
Thermo-projected neural CDE,Plastic-work inc. rel. L2,1,0,1,1,1,0,1,1,5
Thermo-projected neural CDE,Reversal hist-inc. rel. L2,1.04942,0.0986774,1.00014,1.00001,1.0003,0.000283122,0.999863,1.24677,5
Thermo-projected neural CDE,Reversal yield-flag MAE,0.568062,0.00229297,0.569209,0.569209,0.569209,4.76837e-07,0.563476,0.569209,5
Thermo-projected neural CDE,Yield-surface RMS,0.00114543,0.00228704,7.62647e-07,3.97074e-07,6.41176e-06,6.01469e-06,6.84824e-08,0.0057195,5
Thermo-projected neural CDE,Plastic-work violation abs.,0,0,0,0,0,0,0,0,5
Thermo-projected neural CDE,Plastic-work violation target-norm.,0,0,0,0,0,0,0,0,5
Thermo-projected neural CDE,Plastic-work violation pred-norm.,0,0,0,0,0,0,0,0,5
Non-recurrent GNO sequence,Cyclic disp. rel. L2,115.134,59.9322,86.0214,82.626,126.862,44.236,54.4284,225.734,5
Non-recurrent GNO sequence,Cyclic history rel. L2,0.898843,0.0472406,0.909106,0.85903,0.928386,0.0693557,0.833291,0.964403,5
Non-recurrent GNO sequence,History-increment rel. L2,1.00007,0.000109327,1.0001,1.00003,1.00013,0.000100136,0.999874,1.00019,5
Non-recurrent GNO sequence,Eqp increment rel. L2,1.28838,0.423137,1.02626,0.965427,1.48118,0.515758,0.933095,2.03592,5
Non-recurrent GNO sequence,Plastic-work inc. rel. L2,9.36634,6.57428,9.00323,5.49906,10.3319,4.83282,1.13074,20.8668,5
Non-recurrent GNO sequence,Reversal hist-inc. rel. L2,0.999811,0.000348842,0.999718,0.999613,0.999881,0.000268519,0.999407,1.00044,5
