Model,Seed,Train final loss,Cyclic disp. rel. L2,Cyclic history rel. L2,History-increment rel. L2,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.
Thermo-hard HistoryGNO,20260517,359.438,72.2498,1.12587,1.00045,12.4958,14.3564,0.99979,0.430791,1.49081e-07,0,0,0
Thermo-hard HistoryGNO,20260518,539.199,176.802,1.12086,1.0546,14.9179,18.0194,1.13603,0.4249,0.000691082,0,0,0
Thermo-hard HistoryGNO,20260519,211.721,83.7824,1.12546,1.16592,24.3047,32.2479,1.31408,0.437357,0.00121906,0,0,0
Thermo-hard HistoryGNO,20260520,239.29,74.6646,1.12183,1.00652,10.953,12.3974,1,0.430895,0.000155847,0,0,0
Thermo-hard HistoryGNO,20260521,246.11,39.5997,1.12651,1.00037,13.3761,15.5545,0.999761,0.430791,1.48468e-07,0,0,0
HistoryGNO data-only,20260517,310.557,80.7775,6.76167,2.47947,4519.67,8424.51,3.40298,0.506492,0.434349,7.28181,284075,33.7186
HistoryGNO data-only,20260518,310.607,218.087,6.2007,2.24513,2299.46,25284.5,3.03652,0.495527,0.48442,1.47072,57375,2.26915
HistoryGNO data-only,20260519,126.333,36.1633,8.64314,3.05754,4362.43,29653.5,4.2614,0.490495,0.509209,6.33212,247027,8.33034
HistoryGNO data-only,20260520,308.819,85.4643,7.36321,2.65887,2249.7,33425.1,3.67772,0.501439,0.412385,1.18091,46069.4,1.37827
HistoryGNO data-only,20260521,215.489,59.7011,6.5859,2.31838,2473.1,25909.9,3.16048,0.497283,0.476709,1.73011,67494.4,2.60492
HANO-window recent-history NO,20260517,103539,586.927,2.89344,0.999662,33.2645,99.5653,0.999048,0.528804,1.56314,0,0,0
HANO-window recent-history NO,20260518,1.25027e+06,413.066,2.33779,1.00342,142.234,464.956,1.00609,0.556811,0.0616602,0.00142814,55.714,0.11973
HANO-window recent-history NO,20260519,146726,223.36,4.55945,1.00459,115.489,77.3831,1.00373,0.529932,0.388721,0.00583486,227.628,2.92756
HANO-window recent-history NO,20260520,820810,297.574,0.881279,1.00359,182.642,273.762,1.01016,0.499836,0.456973,0.010135,395.385,1.4423
HANO-window recent-history NO,20260521,928620,340.158,4.11811,1.00716,196.245,344.605,1.01555,0.568318,0.00509755,0.0109216,426.071,1.23506
INCDE Euler neural CDE,20260517,1432.38,501.368,0.785626,1.00147,5.7092,66.8324,0.993128,0.529599,0.187851,0,0,0
INCDE Euler neural CDE,20260518,3005.67,253.33,0.796212,1.00245,32.0381,155.958,0.994733,0.53193,0.218434,0,0,0
INCDE Euler neural CDE,20260519,4626.5,167.082,0.790514,1.00061,20.111,133.957,0.993786,0.52978,0.233757,0,0,0
INCDE Euler neural CDE,20260520,9944.23,96.9961,0.790085,0.981276,8.90389,37.3642,0.972552,0.526323,0.201656,0,0,0
INCDE Euler neural CDE,20260521,1508.91,174.488,0.792817,0.999357,30.0527,236.456,1.0031,0.533085,0.205843,0,0,0
Thermo-projected neural CDE,20260517,1432.93,501.424,0.992123,1.0002,1,1,0.999924,0.569115,0.000236659,0,0,0
Thermo-projected neural CDE,20260518,3006.35,253.302,0.995442,1,1,1,1.00002,0.569209,1.90936e-07,0,0,0
Thermo-projected neural CDE,20260519,4637.1,166.72,0.98329,1.00588,1,1,1.00626,0.568886,0.00312287,0,0,0
Thermo-projected neural CDE,20260520,9945.16,96.9963,0.996929,0.999969,1,1,1.00003,0.569209,3.40097e-08,0,0,0
Thermo-projected neural CDE,20260521,1509.62,174.54,0.992688,0.999917,1,1,1.0004,0.569204,7.20807e-05,0,0,0
Non-recurrent GNO sequence,20260517,419.016,75.7501,0.78864,1.00011,0.953343,0.933709,0.999683,0.532585,0.174323,0,0,0
Non-recurrent GNO sequence,20260518,497.207,55.0847,0.796984,1.00023,0.93106,1.17189,0.999256,0.533243,0.196263,0,0,0
Non-recurrent GNO sequence,20260519,469.469,35.1671,0.792553,1.00017,0.947276,2.77736,0.999535,0.532223,0.201656,6.42883e-05,2.50799,1.11938
Non-recurrent GNO sequence,20260520,323.796,133.294,0.787704,1.0002,1.00466,1.19752,0.999332,0.530834,0.183743,9.80004e-06,0.382316,1
Non-recurrent GNO sequence,20260521,508.389,119.408,0.798996,0.99985,1.34067,9.43398,1.0005,0.533866,0.196089,0.000230994,9.01144,1
Static DeepONet sequence,20260517,23.0555,5.78266,0.798659,0.999969,1.82677,4.17561,1.0001,0.53412,0.179309,9.47574e-05,3.69664,1
Static DeepONet sequence,20260518,8.63219,3.27176,0.801688,1.00025,0.99517,6.25136,0.999201,0.533603,0.173172,0.00014914,5.81819,1.00223
Static DeepONet sequence,20260519,15.312,4.53472,0.788596,1.00005,1.09532,0.980487,0.999904,0.531952,0.198784,0,0,0
Static DeepONet sequence,20260520,15.848,4.14009,0.794755,1.00006,1.10313,1.18617,0.999805,0.532343,0.248009,9.30002e-06,0.362809,1
Static DeepONet sequence,20260521,14.8651,4.39186,0.785342,1.00005,0.97373,1.07573,0.999818,0.531116,0.191707,6.30643e-06,0.246024,1.44753
