Case,Protocol,Model,Seeds,Cyclic disp rel L2,Cyclic history rel L2,Reversal hist-inc rel L2,Yield-surface RMS,Plastic-work violation target-norm,FEM residual rel RMS,FEM energy rel err
multi_hole_14x11,strict,hgo_thermo_hard,5,151.9 +/- 78.8,1.177 +/- 0.00531,1.022 +/- 0.0401,0.000267 +/- 0.0003979,4.192e-09 +/- 8.385e-09,,
multi_hole_14x11,strict,hgo_data,5,169.3 +/- 73.73,7.186 +/- 1.111,4.543 +/- 0.7468,0.4708 +/- 0.02533,1.241e+05 +/- 8.72e+04,,
multi_hole_14x11,strict,hano,5,549.1 +/- 405.8,2.84 +/- 1.114,1.121 +/- 0.1465,0.3058 +/- 0.2849,4168 +/- 5451,,
multi_hole_14x11,strict,incde,5,407.6 +/- 211.9,0.8941 +/- 0.07466,1.005 +/- 0.007071,0.1425 +/- 0.04065,0 +/- 0,,
multi_hole_14x11,strict,tinn,5,407.5 +/- 212,0.9868 +/- 0.015,1.074 +/- 0.1487,0.001173 +/- 0.002271,7.986e-11 +/- 1.597e-10,,
multi_hole_14x11,strict,static_gno_sequence,5,111.5 +/- 57.49,0.9065 +/- 0.06152,0.9999 +/- 0.0002325,0.2091 +/- 0.1552,8.943 +/- 8.733,,
multi_hole_14x11,strict,static_deeponet_sequence,5,11.35 +/- 2.283,0.8981 +/- 0.05887,1 +/- 0.0002514,0.1304 +/- 0.03774,4.251 +/- 5.977,,
multi_hole_14x11,curriculum,hgo_thermo_hard,5,99.62 +/- 45.09,1.172 +/- 0.00926,1.244 +/- 0.3533,0.0005072 +/- 0.0003075,3.736e-09 +/- 7.472e-09,,
multi_hole_14x11,curriculum,hgo_data,5,112 +/- 60.75,7.245 +/- 0.9846,4.595 +/- 0.665,0.4665 +/- 0.03003,1.296e+05 +/- 9.349e+04,,
multi_hole_14x11,curriculum,hano,5,346.3 +/- 112.6,2.844 +/- 1.189,1.03 +/- 0.02488,0.3704 +/- 0.4267,774.8 +/- 637,,
multi_hole_14x11,curriculum,incde,5,253.6 +/- 128.1,0.8162 +/- 0.01681,1.001 +/- 0.002913,0.2082 +/- 0.01901,0 +/- 0,,
multi_hole_14x11,curriculum,tinn,5,253.7 +/- 128.1,0.9925 +/- 0.005474,1.004 +/- 0.007002,0.0008224 +/- 0.001641,0 +/- 0,,
multi_hole_14x11,curriculum,static_gno_sequence,5,79.5 +/- 38.03,0.818 +/- 0.01656,0.9998 +/- 0.0002476,0.1743 +/- 0.01288,3.731 +/- 4.622,,
multi_hole_14x11,curriculum,static_deeponet_sequence,5,6.127 +/- 0.8067,0.8134 +/- 0.014,1 +/- 0.0002415,0.1857 +/- 0.03232,3.352 +/- 3.809,,
multi_hole_14x11,upper_bound,hgo_thermo_hard,5,86.96 +/- 43.06,1.172 +/- 0.01094,1.226 +/- 0.2256,0.000802 +/- 0.0004941,0 +/- 0,,
multi_hole_14x11,upper_bound,hgo_data,5,93.3 +/- 60.75,7.284 +/- 0.8614,4.632 +/- 0.5873,0.4639 +/- 0.03449,1.342e+05 +/- 9.78e+04,,
multi_hole_14x11,upper_bound,hano,5,377.2 +/- 126.8,3.027 +/- 1.349,1.015 +/- 0.01202,0.5333 +/- 0.5752,270.1 +/- 219.9,,
multi_hole_14x11,upper_bound,incde,5,226.3 +/- 137.4,0.7822 +/- 0.003224,0.9961 +/- 0.004527,0.2368 +/- 0.01968,0 +/- 0,,
multi_hole_14x11,upper_bound,tinn,5,226.3 +/- 137.4,0.9911 +/- 0.004628,1.003 +/- 0.006255,0.0008999 +/- 0.001582,0 +/- 0,,
multi_hole_14x11,upper_bound,static_gno_sequence,5,80.93 +/- 35.95,0.7836 +/- 0.004254,0.9998 +/- 0.000303,0.2152 +/- 0.01195,2.239 +/- 3.263,,
multi_hole_14x11,upper_bound,static_deeponet_sequence,5,4.293 +/- 0.8008,0.7838 +/- 0.005507,0.9999 +/- 0.00022,0.2255 +/- 0.03149,1.954 +/- 2.217,,
notch_14x11,strict,hgo_thermo_hard,5,216.9 +/- 111.2,1.335 +/- 0.01372,1.045 +/- 0.08574,0.0004201 +/- 0.0005498,3.197e-09 +/- 6.393e-09,,
notch_14x11,strict,hgo_data,5,239.2 +/- 104.4,7.778 +/- 1.205,2.097 +/- 0.2835,0.4709 +/- 0.0252,1.389e+05 +/- 9.76e+04,,
notch_14x11,strict,hano,5,778 +/- 569.8,3.061 +/- 1.212,1.024 +/- 0.02988,0.3048 +/- 0.2841,4767 +/- 6253,,
notch_14x11,strict,incde,5,575.4 +/- 299.7,0.9615 +/- 0.07702,1.002 +/- 0.004383,0.07848 +/- 0.03167,0 +/- 0,,
notch_14x11,strict,tinn,5,575.3 +/- 299.8,0.9753 +/- 0.03919,0.9701 +/- 0.05985,0.001143 +/- 0.002282,0 +/- 0,,
notch_14x11,strict,static_gno_sequence,5,157.3 +/- 81.33,0.9706 +/- 0.08407,1 +/- 0.0002962,0.1806 +/- 0.1697,9.752 +/- 9.877,,
notch_14x11,strict,static_deeponet_sequence,5,15.94 +/- 3.566,0.9556 +/- 0.06244,1 +/- 0.0002846,0.08488 +/- 0.02156,4.475 +/- 6.882,,
notch_14x11,curriculum,hgo_thermo_hard,5,139.8 +/- 68.77,1.34 +/- 0.002913,1.007 +/- 0.01287,0.0002702 +/- 0.000157,0 +/- 0,,
notch_14x11,curriculum,hgo_data,5,160.3 +/- 87.05,7.85 +/- 1.079,2.117 +/- 0.2549,0.4669 +/- 0.02994,1.447e+05 +/- 1.041e+05,,
notch_14x11,curriculum,hano,5,495.3 +/- 165,3.064 +/- 1.288,1.005 +/- 0.004101,0.3762 +/- 0.4335,875.1 +/- 733.6,,
notch_14x11,curriculum,incde,5,352.6 +/- 183,0.8584 +/- 0.01972,1.005 +/- 0.009125,0.1619 +/- 0.01492,0 +/- 0,,
notch_14x11,curriculum,tinn,5,352.8 +/- 183,0.9902 +/- 0.01007,0.9972 +/- 0.005606,0.0008056 +/- 0.001608,0 +/- 0,,
notch_14x11,curriculum,static_gno_sequence,5,112 +/- 53.6,0.8591 +/- 0.01859,1 +/- 0.000305,0.1388 +/- 0.01086,4.189 +/- 5.174,,
notch_14x11,curriculum,static_deeponet_sequence,5,8.512 +/- 1.026,0.8576 +/- 0.01588,1 +/- 0.0002469,0.144 +/- 0.02651,3.742 +/- 4.501,,
notch_14x11,upper_bound,hgo_thermo_hard,5,120.2 +/- 61.16,1.34 +/- 0.006942,1.056 +/- 0.0814,0.0006683 +/- 0.0005134,9.092e-10 +/- 1.818e-09,,
notch_14x11,upper_bound,hgo_data,5,132.2 +/- 86.92,7.918 +/- 0.9628,2.136 +/- 0.2296,0.4631 +/- 0.03421,1.513e+05 +/- 1.118e+05,,
notch_14x11,upper_bound,hano,5,540.9 +/- 189,3.28 +/- 1.498,1.002 +/- 0.002466,0.6022 +/- 0.6065,305.4 +/- 344.9,,
notch_14x11,upper_bound,incde,5,327.8 +/- 190.1,0.8369 +/- 0.006517,1.008 +/- 0.009728,0.1737 +/- 0.008972,0 +/- 0,,
notch_14x11,upper_bound,tinn,5,327.7 +/- 190.1,0.9918 +/- 0.00232,0.9996 +/- 0.0007961,0.0002974 +/- 0.0004599,0 +/- 0,,
notch_14x11,upper_bound,static_gno_sequence,5,114.3 +/- 50.15,0.8374 +/- 0.004389,1 +/- 0.0003691,0.1562 +/- 0.006693,2.535 +/- 3.626,,
notch_14x11,upper_bound,static_deeponet_sequence,5,5.845 +/- 1.115,0.8356 +/- 0.005723,1 +/- 0.0002396,0.1658 +/- 0.0207,2.178 +/- 2.49,,
curved_hole_14x11,strict,hgo_thermo_hard,5,153.1 +/- 81.85,1.121 +/- 0.008973,1.076 +/- 0.1075,0.0004608 +/- 0.0004192,4.007e-09 +/- 8.014e-09,,
