Model,Metric,Rule,Lower,Upper,Outlier count,Outlier seeds,Mean,Std,Median,IQR,Min,Max
Thermo-hard HistoryGNO,Cyclic disp. rel. L2,1.5*IQR,26.6278,144.844,1,20260518=184.881,99.6183,45.0916,85.3847,29.5541,56.354,184.881
Thermo-hard HistoryGNO,History-increment rel. L2,1.5*IQR,0.938016,1.11735,1,20260518=1.26738,1.07375,0.0988998,1.0455,0.0448325,1.00051,1.26738
Thermo-hard HistoryGNO,Reversal hist-inc. rel. L2,1.5*IQR,0.783607,1.36099,1,20260518=1.93962,1.24421,0.353343,1.13677,0.144346,1.00008,1.93962
Thermo-hard HistoryGNO,Reversal yield-flag MAE,1.5*IQR,0.448395,0.460573,1,20260518=0.417351,0.448113,0.0154726,0.455988,0.00304446,0.417351,0.458257
HistoryGNO data-only,Cyclic disp. rel. L2,1.5*IQR,42.4003,155.162,2,20260518=220.54; 20260519=35.2181,111.958,60.7516,106.468,28.1905,35.2181,220.54
HistoryGNO data-only,Cyclic history rel. L2,1.5*IQR,5.85691,7.99187,1,20260519=9.13908,7.24492,0.984585,6.86954,0.533741,6.36721,9.13908
HistoryGNO data-only,History-increment rel. L2,1.5*IQR,2.09388,2.73424,1,20260519=3.12635,2.50931,0.319801,2.36202,0.160092,2.23008,3.12635
HistoryGNO data-only,Plastic-work inc. rel. L2,1.5*IQR,16078.5,37859,1,20260517=8586.01,23562.2,7815.23,25435.9,5445.14,8586.01,29851.7
HistoryGNO data-only,Reversal hist-inc. rel. L2,1.5*IQR,3.72654,5.0819,1,20260519=5.87343,4.59477,0.665038,4.29359,0.33884,3.99839,5.87343
HistoryGNO data-only,Plastic-work violation pred-norm.,1.5*IQR,-6.7127,17.1748,1,20260517=28.2102,8.52047,10.1362,2.51592,5.97186,1.41419,28.2102
HANO-window recent-history NO,Cyclic disp. rel. L2,1.5*IQR,185.883,518.27,2,20260517=525.906; 20260519=182.353,346.326,112.596,319.217,83.0966,182.353,525.906
HANO-window recent-history NO,History-increment rel. L2,1.5*IQR,1.00182,1.01464,2,20260517=0.999182; 20260521=1.01973,1.0085,0.00663518,1.00712,0.00320613,0.999182,1.01973
HANO-window recent-history NO,Yield-surface RMS,1.5*IQR,-0.366707,0.809768,1,20260517=1.18648,0.37041,0.426705,0.217324,0.294119,0.005181,1.18648
INCDE Euler neural CDE,Cyclic disp. rel. L2,1.5*IQR,13.1202,410.443,1,20260517=489.141,253.615,128.141,235.404,99.3308,119.963,489.141
INCDE Euler neural CDE,Cyclic history rel. L2,1.5*IQR,0.797107,0.827596,1,20260518=0.847723,0.816236,0.0168061,0.81071,0.00762218,0.798042,0.847723
INCDE Euler neural CDE,History-increment rel. L2,1.5*IQR,0.995742,1.00735,1,20260520=1.0128,1.00346,0.00481055,1.00161,0.00290263,0.999794,1.0128
INCDE Euler neural CDE,Yield-surface RMS,1.5*IQR,0.20764,0.227042,1,20260517=0.170382,0.208186,0.0190113,0.215864,0.00485052,0.170382,0.220003
Thermo-projected neural CDE,Cyclic disp. rel. L2,1.5*IQR,13.2139,410.314,1,20260517=489.175,253.749,128.132,236.079,99.275,119.963,489.175
Thermo-projected neural CDE,Cyclic history rel. L2,1.5*IQR,0.989358,1.0006,1,20260519=0.981761,0.99246,0.00547437,0.994123,0.00281149,0.981761,0.996455
Thermo-projected neural CDE,History-increment rel. L2,1.5*IQR,0.99999,1.00001,2,20260519=1.0227; 20260521=0.999927,1.00453,0.00908465,1,5.84126e-06,0.999927,1.0227
Thermo-projected neural CDE,Reversal hist-inc. rel. L2,1.5*IQR,0.999547,1.0008,1,20260519=1.0176,1.0036,0.00700192,1.00008,0.000312567,0.999963,1.0176
Thermo-projected neural CDE,Reversal yield-flag MAE,1.5*IQR,0.54401,0.544012,1,20260519=0.543348,0.543879,0.000265384,0.544011,5.36442e-07,0.543348,0.544012
Thermo-projected neural CDE,Yield-surface RMS,1.5*IQR,-9.58284e-06,1.61384e-05,1,20260519=0.00410385,0.000822369,0.00164074,1.38446e-06,6.43031e-06,5.48226e-08,0.00410385
Non-recurrent GNO sequence,History-increment rel. L2,1.5*IQR,1.00001,1.00013,1,20260521=0.99994,1.00005,5.86308e-05,1.00006,3.016e-05,0.99994,1.00011
Non-recurrent GNO sequence,Plastic-work inc. rel. L2,1.5*IQR,-3.88248,9.68747,1,20260521=12.4378,4.78924,4.1112,4.5292,3.39249,1.17423,12.4378
Non-recurrent GNO sequence,Reversal hist-inc. rel. L2,1.5*IQR,0.999596,0.999937,2,20260518=0.999554; 20260521=1.00029,0.999827,0.000247551,0.999754,8.52346e-05,0.999554,1.00029
Non-recurrent GNO sequence,Plastic-work violation pred-norm.,1.5*IQR,0.449842,1.91693,1,20260518=0,1.05003,0.616826,1,0.366772,0,1.88338
Static DeepONet sequence,Cyclic disp. rel. L2,1.5*IQR,5.54523,6.85174,2,20260517=7.27779; 20260518=4.76302,6.12725,0.806653,6.19848,0.326625,4.76302,7.27779
Static DeepONet sequence,Eqp increment rel. L2,1.5*IQR,0.768747,1.35818,1,20260517=2.87248,1.39746,0.739936,1.02738,0.147358,0.960535,2.87248
Static DeepONet sequence,Plastic-work violation pred-norm.,1.5*IQR,0.995108,1.00815,2,20260519=0; 20260521=1.17982,0.836615,0.423998,1,0.00326121,0,1.17982
