Model,Seed,Train final loss,Cyclic disp. rel. L2,Cyclic history rel. L2,History-increment rel. L2,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.
Thermo-hard HistoryGNO,20260517,1722.46,100.513,1.17962,1.00051,14.033,16.362,1.00013,0.455988,1.53539e-07,0,0,0
Thermo-hard HistoryGNO,20260518,736.354,184.881,1.16469,1.26738,25.1075,31.4284,1.93962,0.417351,0.000873619,5.00413e-13,1.868e-08,5.89246e-10
Thermo-hard HistoryGNO,20260519,430.906,56.354,1.17977,1.0501,23.4559,31.9638,1.13677,0.458257,0.000520897,0,0,0
Thermo-hard HistoryGNO,20260520,353.498,85.3847,1.17685,1.00526,13.1986,15.2736,1.00008,0.456006,0.000379513,0,0,0
Thermo-hard HistoryGNO,20260521,1393.77,70.9589,1.15668,1.0455,19.9538,25.9895,1.14447,0.452962,0.000762008,0,0,0
HistoryGNO data-only,20260517,1531.67,112.877,6.65752,2.36202,4142.52,8586.01,4.29359,0.50396,0.441423,6.48885,242223,28.2102
HistoryGNO data-only,20260518,451.308,220.54,6.36721,2.23008,2225.19,24246.2,3.99839,0.497146,0.488123,1.45827,54435.8,2.2451
HistoryGNO data-only,20260519,183.788,35.2181,9.13908,3.12635,4318.77,29851.7,5.87343,0.49505,0.503689,6.57111,245294,8.21696
HistoryGNO data-only,20260520,738.022,106.468,7.19126,2.49411,2115.61,29691.3,4.57364,0.500096,0.42263,1.12485,41989.8,1.41419
HistoryGNO data-only,20260521,1059.3,84.6861,6.86954,2.33401,2400.57,25435.9,4.2348,0.498407,0.476784,1.71436,63995.5,2.51592
HANO-window recent-history NO,20260517,197187,525.906,3.18714,0.999182,47.9647,114.303,0.999373,0.51921,1.18648,0,0,0
HANO-window recent-history NO,20260518,2.46231e+06,393.625,2.12182,1.00712,215.683,519.613,1.0242,0.535237,0.0744711,0.0111993,418.059,0.803998
HANO-window recent-history NO,20260519,355881,182.353,4.28353,1.00663,175.268,111.155,1.01531,0.516973,0.217324,0.0135572,506.08,4.53824
HANO-window recent-history NO,20260520,1.35494e+06,319.217,0.934812,1.00983,280.148,290.126,1.0388,0.50906,0.36859,0.0300792,1122.83,3.8653
HANO-window recent-history NO,20260521,2.90022e+06,310.528,3.69124,1.01973,367.422,526.816,1.07279,0.543005,0.005181,0.0489494,1827.24,3.46607
INCDE Euler neural CDE,20260517,1377.14,489.141,0.798042,0.999794,9.6052,115.216,0.996802,0.520851,0.170382,0,0,0
INCDE Euler neural CDE,20260518,2737.1,261.447,0.847723,1.003,91.1164,475.263,1.00335,0.522023,0.220003,0,0,0
INCDE Euler neural CDE,20260519,6648.9,235.404,0.80854,1.00161,43.1054,260.487,1.00169,0.521061,0.219766,0,0,0
INCDE Euler neural CDE,20260520,21927.7,119.963,0.816162,1.0128,11.9385,51.5475,0.999613,0.520618,0.214915,0,0,0
INCDE Euler neural CDE,20260521,2538.3,162.116,0.81071,1.0001,50.0006,396.959,1.00517,0.521649,0.215864,0,0,0
Thermo-projected neural CDE,20260517,1377.79,489.175,0.994123,1,1,1,1.00008,0.544011,1.38446e-06,0,0,0
Thermo-projected neural CDE,20260518,2737.82,261.401,0.996455,0.999999,1,1,1.00002,0.544012,5.48226e-08,0,0,0
Thermo-projected neural CDE,20260519,6671.21,236.079,0.981761,1.0227,1,1,1.0176,0.543348,0.00410385,0,0,0
Thermo-projected neural CDE,20260520,21928.7,119.963,0.996386,1,1,1,0.999963,0.544012,6.26214e-08,0,0,0
Thermo-projected neural CDE,20260521,2539.02,162.126,0.993575,0.999927,1,1,1.00033,0.544011,6.49293e-06,0,0,0
Non-recurrent GNO sequence,20260517,471.44,61.7686,0.800214,1.00006,0.935537,1.17423,0.99981,0.521328,0.152752,1.75867e-05,0.656494,1.88338
Non-recurrent GNO sequence,20260518,481.677,54.0884,0.823311,1.00011,1.06667,4.59874,0.999554,0.521566,0.182021,0,0,0
Non-recurrent GNO sequence,20260519,531.965,32.6053,0.834135,1.00008,0.983079,4.5292,0.999724,0.524119,0.166437,0.00014891,5.55869,1.36677
Non-recurrent GNO sequence,20260520,301.508,127.371,0.796716,1.00005,1.00797,1.20625,0.999754,0.520928,0.187522,1.07555e-05,0.401494,1
Non-recurrent GNO sequence,20260521,468.756,121.681,0.835717,0.99994,1.0831,12.4378,1.00029,0.522922,0.182616,0.000322507,12.0389,1
Static DeepONet sequence,20260517,35.3112,7.27779,0.827898,0.999969,2.87248,6.94105,1.00011,0.522543,0.1611,0.000174405,6.51039,1
Static DeepONet sequence,20260518,16.1728,4.76302,0.832023,1.0001,0.989784,9.63116,0.999551,0.522466,0.148728,0.000247788,9.24971,1.00326
Static DeepONet sequence,20260519,28.4801,6.3618,0.798854,1.00001,1.02738,0.967714,1.00007,0.520975,0.198688,0,0,0
Static DeepONet sequence,20260520,26.867,6.03517,0.808742,1.00003,1.13714,1.0597,0.999876,0.521673,0.240847,3.66491e-06,0.136808,1
Static DeepONet sequence,20260521,26.0661,6.19848,0.799629,0.99996,0.960535,1.43893,1.00025,0.521448,0.179358,2.30971e-05,0.862195,1.17982
