Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
Thermo-hard HistoryGNO,Cyclic disp. rel. L2,99.6183,45.0916,85.3847,70.9589,100.513,29.5541,56.354,184.881,5
Thermo-hard HistoryGNO,Cyclic history rel. L2,1.17152,0.00926,1.17685,1.16469,1.17962,0.0149254,1.15668,1.17977,5
Thermo-hard HistoryGNO,History-increment rel. L2,1.07375,0.0988998,1.0455,1.00526,1.0501,0.0448325,1.00051,1.26738,5
Thermo-hard HistoryGNO,Eqp increment rel. L2,19.1498,4.82248,19.9538,14.033,23.4559,9.42289,13.1986,25.1075,5
Thermo-hard HistoryGNO,Plastic-work inc. rel. L2,24.2034,7.1672,25.9895,16.362,31.4284,15.0664,15.2736,31.9638,5
Thermo-hard HistoryGNO,Reversal hist-inc. rel. L2,1.24421,0.353343,1.13677,1.00013,1.14447,0.144346,1.00008,1.93962,5
Thermo-hard HistoryGNO,Reversal yield-flag MAE,0.448113,0.0154726,0.455988,0.452962,0.456006,0.00304446,0.417351,0.458257,5
Thermo-hard HistoryGNO,Yield-surface RMS,0.000507238,0.000307499,0.000520897,0.000379513,0.000762008,0.000382495,1.53539e-07,0.000873619,5
Thermo-hard HistoryGNO,Plastic-work violation abs.,1.00083e-13,2.00165e-13,0,0,0,0,0,5.00413e-13,5
Thermo-hard HistoryGNO,Plastic-work violation target-norm.,3.73599e-09,7.47198e-09,0,0,0,0,0,1.868e-08,5
Thermo-hard HistoryGNO,Plastic-work violation pred-norm.,1.17849e-10,2.35698e-10,0,0,0,0,0,5.89246e-10,5
HistoryGNO data-only,Cyclic disp. rel. L2,111.958,60.7516,106.468,84.6861,112.877,28.1905,35.2181,220.54,5
HistoryGNO data-only,Cyclic history rel. L2,7.24492,0.984585,6.86954,6.65752,7.19126,0.533741,6.36721,9.13908,5
HistoryGNO data-only,History-increment rel. L2,2.50931,0.319801,2.36202,2.33401,2.49411,0.160092,2.23008,3.12635,5
HistoryGNO data-only,Eqp increment rel. L2,3040.53,977.557,2400.57,2225.19,4142.52,1917.33,2115.61,4318.77,5
