Model,Seed,Train final loss,Cyclic disp. rel. L2,Cyclic history rel. L2,History-increment rel. L2,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.
Thermo-hard HistoryGNO,20260517,12108.4,217.85,1.1812,1.00067,18.1957,22.3748,1.00038,0.455988,1.72901e-07,0,0,0
Thermo-hard HistoryGNO,20260518,6466.9,255.972,1.17204,1.02685,11.765,13.3554,1.10226,0.459614,0.00102615,5.61551e-13,2.09622e-08,1.54645e-09
Thermo-hard HistoryGNO,20260519,1134.83,31.2169,1.18126,1.00131,24.7111,34.7577,1.00116,0.455988,2.22616e-07,0,0,0
Thermo-hard HistoryGNO,20260520,2043.25,120.758,1.18173,1.00082,20.1071,25.6148,1.00055,0.455988,1.87819e-07,0,0,0
Thermo-hard HistoryGNO,20260521,4459.99,133.576,1.16937,1.0369,26.5378,35.9354,1.00662,0.455988,0.00030817,0,0,0
HistoryGNO data-only,20260517,11678,229.087,6.21016,2.20908,3733.22,9768.66,3.96667,0.502803,0.449487,5.25212,196057,20.0692
HistoryGNO data-only,20260518,3859.6,260.712,6.62965,2.32293,2365.3,25393.5,4.19776,0.496997,0.490665,1.67843,62654.2,2.4673
HistoryGNO data-only,20260519,690.898,47.9695,9.35515,3.19806,4436.96,30548.6,6.02014,0.495259,0.501524,6.9466,259310,8.48837
HistoryGNO data-only,20260520,4286.01,161.04,6.82589,2.35372,2073.74,27307.5,4.27217,0.499467,0.433975,1.11393,41582,1.52271
HistoryGNO data-only,20260521,4544.61,147.873,6.91059,2.34474,2363.04,25825.6,4.25695,0.498274,0.478461,1.63642,61086.3,2.36531
HANO-window recent-history NO,20260517,826592,1257.17,3.39839,1.00042,96.0843,180.209,1.0027,0.518026,0.830013,0.00165055,61.6135,0.341217
HANO-window recent-history NO,20260518,4.39179e+06,270.432,2.03488,1.01859,368.707,758.848,1.06675,0.53324,0.0995353,0.0434665,1622.56,2.13717
HANO-window recent-history NO,20260519,635089,312.114,3.99028,1.01162,287.94,158.02,1.03897,0.492687,0.233974,0.0356445,1330.58,8.40114
HANO-window recent-history NO,20260520,2.28886e+06,743.942,1.06302,1.02388,442.592,366.163,1.08972,0.511815,0.34593,0.0778175,2904.86,7.92533
HANO-window recent-history NO,20260521,7.95235e+06,161.649,3.71166,1.12253,1007.3,887.516,1.40863,0.541773,0.0197354,0.399673,14919.4,16.8035
INCDE Euler neural CDE,20260517,39956.1,332.745,0.833273,0.999778,21.5108,339.397,0.999032,0.524632,0.092757,0,0,0
INCDE Euler neural CDE,20260518,5636.39,328.165,1.03271,1.00411,130.051,648.923,1.01135,0.531713,0.119436,0,0,0
INCDE Euler neural CDE,20260519,30210.1,298.009,0.904741,1.00225,100.566,463.944,1.01049,0.529203,0.131977,0,0,0
INCDE Euler neural CDE,20260520,884054,827.479,0.828157,1.00812,14.2274,65.1885,0.994536,0.52415,0.213078,0,0,0
INCDE Euler neural CDE,20260521,9322.28,251.489,0.871848,1.00164,86.669,669.779,1.01089,0.528324,0.155267,0,0,0
Thermo-projected neural CDE,20260517,39952.3,332.794,0.994535,1.00001,1,1,1.00015,0.544011,7.76308e-07,0,0,0
Thermo-projected neural CDE,20260518,5640.32,328.111,0.996263,1,1,1,1.00001,0.544012,6.80166e-08,0,0,0
Thermo-projected neural CDE,20260519,30100,297.408,0.956903,1.16234,1,1,1.37185,0.532905,0.00571454,1.06966e-14,3.99295e-10,2.7975e-06
Thermo-projected neural CDE,20260520,884055,827.478,0.992703,1.00008,1,1,0.999841,0.543983,0.000144935,0,0,0
Thermo-projected neural CDE,20260521,9317.21,251.509,0.993609,0.99993,1,1,1.00033,0.544011,6.07297e-06,0,0,0
Non-recurrent GNO sequence,20260517,13398.3,52.9359,0.854987,1.00006,0.937335,5.46339,0.999814,0.525526,0.0763687,0.00015423,5.75725,1.14698
Non-recurrent GNO sequence,20260518,13025.4,122.347,0.906975,1.00011,1.45763,8.60778,0.999586,0.52628,0.128971,0,0,0
Non-recurrent GNO sequence,20260519,3765.38,83.3899,1.00339,1.00007,1.98871,9.89577,0.99976,0.47918,0.512535,0.000498537,18.6099,1.96165
Non-recurrent GNO sequence,20260520,5933.15,81.1853,0.829605,1.00002,1.02351,1.14978,0.999911,0.526213,0.153327,8.26474e-06,0.308515,1
Non-recurrent GNO sequence,20260521,9735.02,217.657,0.937634,0.999946,0.969981,20.0014,1.00029,0.52177,0.174311,0.000536892,20.0417,1.02171
Static DeepONet sequence,20260517,162.186,15.8332,0.991434,0.999978,5.25969,4.56289,1.00007,0.529263,0.101936,0.000109889,4.10207,1
Static DeepONet sequence,20260518,105.691,10.0425,0.937039,1.00012,0.982004,16.1544,0.999492,0.517262,0.115621,0.000423887,15.8233,1.00393
Static DeepONet sequence,20260519,90.2726,11.0219,0.833441,1,1.03487,0.947737,1.0001,0.525919,0.163573,0,0,0
Static DeepONet sequence,20260520,84.9017,9.81183,0.846437,1.00001,1.20742,0.958231,0.999933,0.526877,0.185206,0,0,0
Static DeepONet sequence,20260521,70.9177,10.0156,0.882257,0.999968,0.939814,1.71311,1.00021,0.532939,0.0858122,3.56689e-05,1.33149,1.24325
