Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
Thermo-hard HistoryGNO,Cyclic disp. rel. L2,151.875,78.804,133.576,120.758,217.85,97.0917,31.2169,255.972,5
Thermo-hard HistoryGNO,Cyclic history rel. L2,1.17712,0.00531028,1.1812,1.17204,1.18126,0.00922883,1.16937,1.18173,5
Thermo-hard HistoryGNO,History-increment rel. L2,1.01331,0.0154872,1.00131,1.00082,1.02685,0.0260311,1.00067,1.0369,5
Thermo-hard HistoryGNO,Eqp increment rel. L2,20.2633,5.2091,20.1071,18.1957,24.7111,6.5154,11.765,26.5378,5
Thermo-hard HistoryGNO,Plastic-work inc. rel. L2,26.4076,8.33973,25.6148,22.3748,34.7577,12.383,13.3554,35.9354,5
Thermo-hard HistoryGNO,Reversal hist-inc. rel. L2,1.02219,0.040099,1.00116,1.00055,1.00662,0.00607073,1.00038,1.10226,5
Thermo-hard HistoryGNO,Reversal yield-flag MAE,0.456714,0.00145032,0.455988,0.455988,0.455988,0,0.455988,0.459614,5
Thermo-hard HistoryGNO,Yield-surface RMS,0.00026698,0.000397883,2.22616e-07,1.87819e-07,0.00030817,0.000307982,1.72901e-07,0.00102615,5
Thermo-hard HistoryGNO,Plastic-work violation abs.,1.1231e-13,2.2462e-13,0,0,0,0,0,5.61551e-13,5
Thermo-hard HistoryGNO,Plastic-work violation target-norm.,4.19244e-09,8.38488e-09,0,0,0,0,0,2.09622e-08,5
Thermo-hard HistoryGNO,Plastic-work violation pred-norm.,3.0929e-10,6.18581e-10,0,0,0,0,0,1.54645e-09,5
HistoryGNO data-only,Cyclic disp. rel. L2,169.336,73.7279,161.04,147.873,229.087,81.2141,47.9695,260.712,5
HistoryGNO data-only,Cyclic history rel. L2,7.18629,1.11109,6.82589,6.62965,6.91059,0.280939,6.21016,9.35515,5
HistoryGNO data-only,History-increment rel. L2,2.4857,0.359933,2.34474,2.32293,2.35372,0.0307825,2.20908,3.19806,5
HistoryGNO data-only,Eqp increment rel. L2,2994.45,923.994,2365.3,2363.04,3733.22,1370.19,2073.74,4436.96,5
HistoryGNO data-only,Plastic-work inc. rel. L2,23768.8,7229.96,25825.6,25393.5,27307.5,1914.03,9768.66,30548.6,5
HistoryGNO data-only,Reversal hist-inc. rel. L2,4.54274,0.74679,4.25695,4.19776,4.27217,0.0744066,3.96667,6.02014,5
HistoryGNO data-only,Reversal yield-flag MAE,0.49856,0.00253969,0.498274,0.496997,0.499467,0.00247034,0.495259,0.502803,5
HistoryGNO data-only,Yield-surface RMS,0.470822,0.0253282,0.478461,0.449487,0.490665,0.0411786,0.433975,0.501524,5
HistoryGNO data-only,Plastic-work violation abs.,3.3255,2.33585,1.67843,1.63642,5.25212,3.61569,1.11393,6.9466,5
HistoryGNO data-only,Plastic-work violation target-norm.,124138,87195.4,62654.2,61086.3,196057,134970,41582,259310,5
HistoryGNO data-only,Plastic-work violation pred-norm.,6.98258,7.00064,2.4673,2.36531,8.48837,6.12306,1.52271,20.0692,5
HANO-window recent-history NO,Cyclic disp. rel. L2,549.062,405.776,312.114,270.432,743.942,473.51,161.649,1257.17,5
HANO-window recent-history NO,Cyclic history rel. L2,2.83964,1.11361,3.39839,2.03488,3.71166,1.67678,1.06302,3.99028,5
HANO-window recent-history NO,History-increment rel. L2,1.03541,0.0442615,1.01859,1.01162,1.02388,0.012254,1.00042,1.12253,5
HANO-window recent-history NO,Eqp increment rel. L2,440.525,306.046,368.707,287.94,442.592,154.652,96.0843,1007.3,5
HANO-window recent-history NO,Plastic-work inc. rel. L2,470.151,299.948,366.163,180.209,758.848,578.639,158.02,887.516,5
