Model,Metric,Rule,Lower,Upper,Outlier count,Outlier seeds,Mean,Std,Median,IQR,Min,Max
Thermo-hard HistoryGNO,Cyclic disp. rel. L2,1.5*IQR,53.8357,101.774,2,20260518=167.846; 20260521=39.3699,86.9566,43.0624,71.9576,11.9845,39.3699,167.846
Thermo-hard HistoryGNO,Cyclic history rel. L2,1.5*IQR,1.15427,1.19608,1,20260521=1.15212,1.1725,0.0109434,1.17912,0.0104532,1.15212,1.1809
Thermo-hard HistoryGNO,Reversal yield-flag MAE,1.5*IQR,0.453199,0.457662,1,20260518=0.470667,0.458176,0.00627965,0.455371,0.00111565,0.453982,0.470667
HistoryGNO data-only,Cyclic disp. rel. L2,1.5*IQR,17.8447,125.029,1,20260518=209.436,93.303,60.7496,79.7919,26.796,34.414,209.436
HistoryGNO data-only,Cyclic history rel. L2,1.5*IQR,5.64794,8.62171,1,20260519=8.84532,7.2841,0.86141,6.93088,0.743443,6.37467,8.84532
HistoryGNO data-only,Plastic-work inc. rel. L2,1.5*IQR,18254.1,34195.1,1,20260517=8170.3,23401,8070.46,24737.5,3985.26,8170.3,31648.1
HistoryGNO data-only,Plastic-work violation pred-norm.,1.5*IQR,-6.84457,17.465,1,20260517=33.0694,9.549,12.0129,2.65748,6.0774,1.3977,33.0694
HANO-window recent-history NO,History-increment rel. L2,1.5*IQR,0.999222,1.01226,1,20260517=0.998719,1.00475,0.00346743,1.00473,0.00325882,0.998719,1.00881
HANO-window recent-history NO,Yield-surface RMS,1.5*IQR,-0.648226,1.25101,1,20260517=1.60481,0.533263,0.575205,0.454207,0.47481,0.00450689,1.60481
INCDE Euler neural CDE,Cyclic disp. rel. L2,1.5*IQR,31.2444,365.415,1,20260517=484.512,226.342,137.416,158.977,83.5427,91.5589,484.512
INCDE Euler neural CDE,Cyclic history rel. L2,1.5*IQR,0.779858,0.784226,2,20260517=0.777472; 20260518=0.787578,0.78223,0.0032235,0.782013,0.00109184,0.777472,0.787578
INCDE Euler neural CDE,History-increment rel. L2,1.5*IQR,0.998719,1.0013,2,20260518=1.00181; 20260520=0.988328,0.998038,0.00490837,1.00003,0.000645697,0.988328,1.00181
INCDE Euler neural CDE,Reversal hist-inc. rel. L2,1.5*IQR,0.992417,1.00058,2,20260520=0.988356; 20260521=1.00237,0.99614,0.00452744,0.996971,0.00204027,0.988356,1.00237
Thermo-projected neural CDE,Cyclic disp. rel. L2,1.5*IQR,30.807,365.646,1,20260517=484.559,226.323,137.445,159.044,83.7098,91.5587,484.559
Thermo-projected neural CDE,Cyclic history rel. L2,1.5*IQR,0.991062,0.99409,2,20260518=0.995449; 20260519=0.982082,0.991057,0.00462846,0.992601,0.000756919,0.982082,0.995449
Thermo-projected neural CDE,History-increment rel. L2,1.5*IQR,0.999631,1.00062,1,20260519=1.02334,1.00472,0.0093079,1.00003,0.000248075,0.999986,1.02334
Thermo-projected neural CDE,Reversal hist-inc. rel. L2,1.5*IQR,0.999157,1.00136,1,20260519=1.01574,1.00323,0.00625527,1.00002,0.00055021,0.999901,1.01574
Thermo-projected neural CDE,Reversal yield-flag MAE,1.5*IQR,0.543851,0.544098,1,20260519=0.543361,0.543864,0.000252595,0.543998,6.18696e-05,0.543361,0.544012
Thermo-projected neural CDE,Yield-surface RMS,1.5*IQR,-0.000340739,0.000659309,1,20260519=0.00405781,0.000899856,0.00158204,0.000122716,0.000250012,1.8198e-07,0.00405781
Non-recurrent GNO sequence,History-increment rel. L2,1.5*IQR,0.999945,1.00023,1,20260521=0.999928,1.00006,7.31753e-05,1.00008,7.15256e-05,0.999928,1.00013
Non-recurrent GNO sequence,Eqp increment rel. L2,1.5*IQR,0.875752,1.08417,1,20260521=1.32709,1.0371,0.146765,0.961092,0.0521039,0.937401,1.32709
Non-recurrent GNO sequence,Plastic-work inc. rel. L2,1.5*IQR,-0.843888,4.62349,1,20260521=8.96696,3.03626,3.0167,1.49075,1.36685,0.943986,8.96696
Non-recurrent GNO sequence,Reversal hist-inc. rel. L2,1.5*IQR,0.999346,1.00008,1,20260521=1.00034,0.999776,0.000303002,0.99964,0.000183284,0.99947,1.00034
Non-recurrent GNO sequence,Plastic-work violation abs.,1.5*IQR,-9.00775e-05,0.000150129,1,20260521=0.000229069,5.99761e-05,8.74174e-05,1.07598e-05,6.00517e-05,0,0.000229069
Non-recurrent GNO sequence,Plastic-work violation target-norm.,1.5*IQR,-3.36251,5.60419,1,20260521=8.55095,2.23886,3.26321,0.401652,2.24168,0,8.55095
Static DeepONet sequence,Cyclic disp. rel. L2,1.5*IQR,3.69743,4.75786,2,20260517=5.65645; 20260518=3.1552,4.29307,0.800775,4.19842,0.265105,3.1552,5.65645
Static DeepONet sequence,History-increment rel. L2,1.5*IQR,0.999981,1.00007,2,20260517=0.999976; 20260518=1.00012,1.00004,4.83874e-05,1.00003,2.14577e-05,0.999976,1.00012
Static DeepONet sequence,Eqp increment rel. L2,1.5*IQR,0.843135,1.24923,1,20260517=1.80644,1.19229,0.310768,1.08618,0.101523,0.976447,1.80644
Static DeepONet sequence,Reversal hist-inc. rel. L2,1.5*IQR,0.999599,1.00022,1,20260518=0.999458,0.999863,0.000220043,0.999936,0.000155866,0.999458,1.0001
Static DeepONet sequence,Yield-surface RMS,1.5*IQR,0.167032,0.268134,1,20260520=0.284368,0.225503,0.0314869,0.211781,0.0252756,0.196197,0.284368
Static DeepONet sequence,Plastic-work violation pred-norm.,1.5*IQR,0.996585,1.00569,2,20260519=0; 20260521=1.25044,0.850543,0.436128,1,0.00227666,0,1.25044
