Model,Seed,Train final loss,Cyclic disp. rel. L2,Cyclic history rel. L2,History-increment rel. L2,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.
Thermo-hard HistoryGNO,20260517,2869.7,143.153,1.34295,1.00032,16.929,19.0713,1.00022,0.717007,1.53719e-07,0,0,0
Thermo-hard HistoryGNO,20260518,1321.09,268.583,1.33495,1.00294,16.0882,18.1867,0.997227,0.702501,0.00019254,0,0,0
Thermo-hard HistoryGNO,20260519,691.056,71.4574,1.34282,1.01449,26.2617,34.1679,1.03228,0.716312,0.00043718,0,0,0
Thermo-hard HistoryGNO,20260520,586.272,120.812,1.34052,1.00228,15.9674,17.8737,1.0002,0.717007,0.000355623,0,0,0
Thermo-hard HistoryGNO,20260521,2075.03,94.8776,1.34098,1.00532,16.5515,18.9307,1.0057,0.713405,0.00036556,0,0,0
HistoryGNO data-only,20260517,2558.44,159.959,7.17441,1.82369,4784.37,9598.29,1.99607,0.478886,0.443007,6.40817,267801,27.9003
HistoryGNO data-only,20260518,849.069,317.098,6.90573,1.74495,2590.15,27204.7,1.89647,0.512688,0.489389,1.46277,61129.9,2.24702
HistoryGNO data-only,20260519,313.272,52.3905,9.92399,2.35152,5029.68,33538.8,2.60866,0.522065,0.503201,6.59799,275734,8.22128
HistoryGNO data-only,20260520,1310.35,151.727,7.80501,1.92227,2461.48,33350.6,2.10823,0.499486,0.42228,1.12628,47068,1.4113
HistoryGNO data-only,20260521,1750.88,120.495,7.43961,1.81113,2790.44,28475,1.9765,0.507343,0.476803,1.71509,71674.6,2.51709
HANO-window recent-history NO,20260517,298993,745.512,3.44226,1.00051,54.141,124.245,1.00212,0.403214,1.2056,0,0,0
HANO-window recent-history NO,20260518,3.91878e+06,592.511,2.27499,1.00321,246.066,581.824,1.00382,0.326291,0.0739186,0.0104557,436.949,0.750713
HANO-window recent-history NO,20260519,541563,253.932,4.61709,1.00235,202.185,122.269,1.00156,0.418435,0.225678,0.0133706,558.765,4.56173
HANO-window recent-history NO,20260520,2.18055e+06,449.417,0.997615,1.00494,331.337,332.457,1.00503,0.455922,0.370608,0.0310842,1299.03,3.90476
HANO-window recent-history NO,20260521,4.6795e+06,434.99,3.98664,1.01006,430.863,596.482,1.01291,0.288013,0.00531942,0.0497888,2080.7,3.48701
INCDE Euler neural CDE,20260517,2196.29,689.688,0.839297,1.00041,11.8851,138.876,1.00257,0.371328,0.134168,0,0,0
INCDE Euler neural CDE,20260518,4060.2,361.128,0.896564,1.00208,115.292,609.05,1.00502,0.367113,0.176478,0,0,0
INCDE Euler neural CDE,20260519,11156.3,324.059,0.853486,0.999738,50.2481,283.01,0.99962,0.366841,0.159464,0,0,0
INCDE Euler neural CDE,20260520,34528.7,156.802,0.850769,1.00739,13.2427,52.3214,1.02271,0.358609,0.171319,0,0,0
INCDE Euler neural CDE,20260521,4128.03,231.492,0.851964,0.99944,57.2885,439.688,0.996734,0.37045,0.167909,0,0,0
Thermo-projected neural CDE,20260517,2196.79,689.735,0.993684,0.999981,1,1,0.999973,0.282994,7.10238e-07,0,0,0
Thermo-projected neural CDE,20260518,4060.57,361.068,0.995738,0.999998,1,1,0.999996,0.282993,6.42113e-08,0,0,0
Thermo-projected neural CDE,20260519,11193.6,325.043,0.970495,0.999218,1,1,0.985965,0.287029,0.0040206,0,0,0
Thermo-projected neural CDE,20260520,34529.7,156.802,0.998575,1,1,1,1,0.282993,5.78672e-09,0,0,0
Thermo-projected neural CDE,20260521,4128.71,231.503,0.992541,0.999926,1,1,0.999951,0.282997,6.61947e-06,0,0,0
Non-recurrent GNO sequence,20260517,751.241,87.1507,0.840198,1.00008,0.974017,1.19457,1.00027,0.37186,0.120733,1.84801e-05,0.772296,1.69876
Non-recurrent GNO sequence,20260518,821.352,76.1469,0.871126,1.00014,1.24789,5.58892,1.00055,0.368015,0.140732,0,0,0
Non-recurrent GNO sequence,20260519,885.223,45.8583,0.870877,1.00008,1.15923,5.01532,1.00033,0.362984,0.13724,0.000155517,6.49913,1.3843
Non-recurrent GNO sequence,20260520,523.304,178.939,0.83346,1.00005,1.00812,1.10928,1.00022,0.374206,0.154741,7.3658e-06,0.307821,1
Non-recurrent GNO sequence,20260521,770.574,172.032,0.879843,0.99991,1.06728,13.6246,0.999635,0.362442,0.140417,0.000319825,13.3657,1
Static DeepONet sequence,20260517,56.4647,9.93298,0.874104,0.999972,3.21583,7.58194,0.999914,0.366237,0.124973,0.000174589,7.29619,1
Static DeepONet sequence,20260518,26.8149,6.77047,0.878902,1.00014,0.993938,11.099,1.00056,0.364132,0.11019,0.000259866,10.8599,1.00258
Static DeepONet sequence,20260519,48.5543,8.95793,0.846516,0.999982,1.02243,0.981145,0.999884,0.366774,0.147363,0,0,0
Static DeepONet sequence,20260520,44.4445,8.41762,0.849396,1.00003,1.12929,1.07385,1.00011,0.368818,0.188409,5.15191e-06,0.215301,1
Static DeepONet sequence,20260521,42.652,8.48144,0.839031,0.999994,0.973707,1.05089,0.999974,0.371299,0.149108,8.13552e-06,0.339988,2.00253
