Model,Seed,Train final loss,Cyclic disp. rel. L2,Cyclic history rel. L2,History-increment rel. L2,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.
Thermo-hard HistoryGNO,20260517,22311.7,309.898,1.34459,1.00042,21.6688,25.674,1.00033,0.717007,1.7823e-07,0,0,0
Thermo-hard HistoryGNO,20260518,10262.7,359.919,1.30933,1.16503,33.9102,41.5293,1.2165,0.706667,0.00135732,3.82444e-13,1.59826e-08,3.83996e-10
Thermo-hard HistoryGNO,20260519,1761.33,41.492,1.34417,1.0007,28.0891,37.6719,1.0004,0.717007,2.18631e-07,0,0,0
Thermo-hard HistoryGNO,20260520,4500.5,180.257,1.34528,1.00051,24.1452,29.8864,1.00037,0.717007,1.89052e-07,0,0,0
Thermo-hard HistoryGNO,20260521,7470.75,193.105,1.3336,1.03653,31.9279,41.595,1.00798,0.716,0.000742562,0,0,0
HistoryGNO data-only,20260517,21424.5,323.514,6.72269,1.73101,4336.96,10938.7,1.88657,0.484067,0.449747,5.24762,219301,20.0478
HistoryGNO data-only,20260518,7060.57,368.638,7.17747,1.80337,2747.45,28416.5,1.96632,0.512781,0.49039,1.67623,70050.4,2.46511
HistoryGNO data-only,20260519,1253.76,67.1286,10.1323,2.3953,5156.43,34206.6,2.65943,0.521319,0.501597,6.94593,290275,8.48587
HistoryGNO data-only,20260520,7826.23,228.496,7.37561,1.82195,2408.99,30467.8,1.98879,0.502414,0.434182,1.11432,46568.2,1.52843
HistoryGNO data-only,20260521,8342.99,208.434,7.48322,1.81836,2745.43,28913.3,1.98509,0.507816,0.478442,1.63489,68322.9,2.36301
HANO-window recent-history NO,20260517,1.52729e+06,1772.78,3.66983,1.00117,111.967,201.91,1.00299,0.411068,0.827781,0.00165852,69.3106,0.3429
HANO-window recent-history NO,20260518,8.18148e+06,391.499,2.17379,1.00941,431.046,849.906,1.01187,0.336225,0.0997826,0.0440837,1842.28,2.16706
HANO-window recent-history NO,20260519,1.17871e+06,438.217,4.31837,1.00556,336.322,176.639,1.00603,0.536169,0.231953,0.0359781,1503.55,8.50132
HANO-window recent-history NO,20260520,4.26525e+06,1051.65,1.13519,1.01257,519.537,410.21,1.01584,0.440783,0.344558,0.0794005,3318.19,8.08466
HANO-window recent-history NO,20260521,1.4829e+07,235.947,4.00716,1.06573,1184.34,991.644,1.08303,0.294181,0.0200218,0.409212,17101.2,17.2415
INCDE Euler neural CDE,20260517,73360,469.926,0.892656,1.00041,25.0982,384.28,1.002,0.342755,0.0581532,0,0,0
INCDE Euler neural CDE,20260518,10228,463.385,1.09941,1.00204,150.248,721.485,1.0033,0.316599,0.0673501,0,0,0
INCDE Euler neural CDE,20260519,55440.9,420.315,0.969485,0.999987,115.943,512.117,0.998183,0.323675,0.0690763,0,0,0
INCDE Euler neural CDE,20260520,1.62757e+06,1169.1,0.885077,1.00464,16.7618,71.5828,1.01018,0.337357,0.141061,0,0,0
INCDE Euler neural CDE,20260521,17096.2,354.461,0.960832,1.00037,100.986,746.229,0.998306,0.313279,0.0567392,0,0,0
Thermo-projected neural CDE,20260517,73352.3,469.994,0.993696,0.999978,1,1,0.999965,0.282994,7.44764e-07,0,0,0
Thermo-projected neural CDE,20260518,10235.6,463.308,0.995691,0.999998,1,1,0.999997,0.282993,6.73033e-08,0,0,0
Thermo-projected neural CDE,20260519,55233.7,419.451,0.896949,1.0081,1,1,0.850358,0.356026,0.00570732,0,0,0
Thermo-projected neural CDE,20260520,1.62757e+06,1169.1,0.997314,1,1,1,1,0.282993,1.58724e-08,0,0,0
Thermo-projected neural CDE,20260521,17086.3,354.486,0.992614,0.999927,1,1,0.999952,0.282997,5.74956e-06,0,0,0
Non-recurrent GNO sequence,20260517,24537.4,74.3043,0.902222,1.00007,1.0112,4.96696,1.00024,0.350045,0.0492522,0.000127803,5.34096,1.14998
Non-recurrent GNO sequence,20260518,23891.2,172.634,0.970595,1.00011,1.78011,9.79847,1.00042,0.337136,0.0807348,0,0,0
Non-recurrent GNO sequence,20260519,6855.26,117.381,1.12075,1.0001,2.43995,10.9385,1.00037,0.600801,0.51199,0.000499869,20.8898,1.95774
Non-recurrent GNO sequence,20260520,10905.5,114.544,0.880834,1.00001,1.02127,1.06404,1.00005,0.34034,0.0999557,4.92747e-06,0.205922,1
Non-recurrent GNO sequence,20260521,17869,307.399,0.978409,0.999905,0.978253,22.0979,0.999603,0.383376,0.161013,0.000534174,22.3234,1.02154
Static DeepONet sequence,20260517,328.223,22.8092,1.05883,0.999992,5.91041,4.92975,1,0.326728,0.0609224,0.000110257,4.60772,1
Static DeepONet sequence,20260518,185.15,14.6575,0.994907,1.00017,0.988184,17.9529,1.00067,0.38608,0.0944906,0.0004252,17.7694,1.00376
Static DeepONet sequence,20260519,165.885,15.7791,0.892832,0.999982,1.02816,0.974654,0.999884,0.338144,0.10109,0,0,0
Static DeepONet sequence,20260520,151.915,12.9962,0.906269,1,1.20101,1.03497,1.00001,0.333105,0.110351,0,0,0
Static DeepONet sequence,20260521,140.407,13.4809,0.925279,0.999998,0.974363,1.05388,0.999989,0.316244,0.0575694,0,0,0
