Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
Thermo-hard HistoryGNO,Cyclic disp. rel. L2,216.934,111.157,193.105,180.257,309.898,129.641,41.492,359.919,5
Thermo-hard HistoryGNO,Cyclic history rel. L2,1.3354,0.0137238,1.34417,1.3336,1.34459,0.0109909,1.30933,1.34528,5
Thermo-hard HistoryGNO,History-increment rel. L2,1.04064,0.0637399,1.0007,1.00051,1.03653,0.0360287,1.00042,1.16503,5
Thermo-hard HistoryGNO,Eqp increment rel. L2,27.9482,4.58905,28.0891,24.1452,31.9279,7.78271,21.6688,33.9102,5
Thermo-hard HistoryGNO,Plastic-work inc. rel. L2,35.2713,6.41904,37.6719,29.8864,41.5293,11.6429,25.674,41.595,5
Thermo-hard HistoryGNO,Reversal hist-inc. rel. L2,1.04512,0.0857419,1.0004,1.00037,1.00798,0.00760603,1.00033,1.2165,5
Thermo-hard HistoryGNO,Reversal yield-flag MAE,0.714738,0.00405388,0.717007,0.716,0.717007,0.00100654,0.706667,0.717007,5
Thermo-hard HistoryGNO,Yield-surface RMS,0.000420093,0.000549785,2.18631e-07,1.89052e-07,0.000742562,0.000742373,1.7823e-07,0.00135732,5
Thermo-hard HistoryGNO,Plastic-work violation abs.,7.64889e-14,1.52978e-13,0,0,0,0,0,3.82444e-13,5
Thermo-hard HistoryGNO,Plastic-work violation target-norm.,3.19651e-09,6.39303e-09,0,0,0,0,0,1.59826e-08,5
Thermo-hard HistoryGNO,Plastic-work violation pred-norm.,7.67992e-11,1.53598e-10,0,0,0,0,0,3.83996e-10,5
HistoryGNO data-only,Cyclic disp. rel. L2,239.242,104.434,228.496,208.434,323.514,115.08,67.1286,368.638,5
HistoryGNO data-only,Cyclic history rel. L2,7.77827,1.20549,7.37561,7.17747,7.48322,0.305754,6.72269,10.1323,5
HistoryGNO data-only,History-increment rel. L2,1.914,0.242898,1.81836,1.80337,1.82195,0.0185729,1.73101,2.3953,5
HistoryGNO data-only,Eqp increment rel. L2,3479.05,1074.07,2747.45,2745.43,4336.96,1591.53,2408.99,5156.43,5
HistoryGNO data-only,Plastic-work inc. rel. L2,26588.6,8083.89,28913.3,28416.5,30467.8,2051.23,10938.7,34206.6,5
HistoryGNO data-only,Reversal hist-inc. rel. L2,2.09724,0.28352,1.98509,1.96632,1.98879,0.022464,1.88657,2.65943,5
HistoryGNO data-only,Reversal yield-flag MAE,0.505679,0.0124687,0.507816,0.502414,0.512781,0.0103672,0.484067,0.521319,5
HistoryGNO data-only,Yield-surface RMS,0.470872,0.025198,0.478442,0.449747,0.49039,0.0406426,0.434182,0.501597,5
HistoryGNO data-only,Plastic-work violation abs.,3.3238,2.33537,1.67623,1.63489,5.24762,3.61274,1.11432,6.94593,5
HistoryGNO data-only,Plastic-work violation target-norm.,138903,97596.3,70050.4,68322.9,219301,150978,46568.2,290275,5
HistoryGNO data-only,Plastic-work violation pred-norm.,6.97804,6.9922,2.46511,2.36301,8.48587,6.12287,1.52843,20.0478,5
