Model,Seed,Train final loss,Cyclic disp. rel. L2,Cyclic history rel. L2,History-increment rel. L2,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.
Thermo-hard HistoryGNO,20260517,245.463,87.0524,2.88345,1.00127,120.12,125.368,0,0,1.34369e-07,0,0,0
Thermo-hard HistoryGNO,20260518,245.85,127.891,2.55793,2.13009,187.33,198.653,0,0,0.00329267,0,0,0
Thermo-hard HistoryGNO,20260519,58.5327,53.4328,2.85567,1.30037,206.999,222.642,0,0,0.00137214,0,0,0
Thermo-hard HistoryGNO,20260520,29.2348,58.1509,2.73546,1.48964,234.491,256.95,0,0,0.00163491,0,0,0
Thermo-hard HistoryGNO,20260521,97.2284,34.2626,2.8236,1.20965,125.132,132.264,0,0,0.000952697,0,0,0
HistoryGNO data-only,20260517,279.612,123.554,5.45681,2.47585,40704.7,148018,0,0,0.401384,1.28364,624153,4.21672
HistoryGNO data-only,20260518,182.035,149.293,6.34312,2.76306,29532.4,318431,0,0,0.449404,0.291109,141548,0.444515
HistoryGNO data-only,20260519,28.6053,49.043,6.57202,3.02729,46131.2,253693,0,0,0.55548,1.47463,717020,2.82633
HistoryGNO data-only,20260520,72.4356,59.0593,6.34302,2.65072,24863.7,319200,0,0,0.342368,0.0892684,43405.5,0.135982
HistoryGNO data-only,20260521,83.6757,45.3867,7.15334,2.84106,28481.3,339701,0,0,0.422782,0.191324,93028.5,0.273853
HANO-window recent-history NO,20260517,155917,374.373,6.64594,1.00202,651.646,1822.09,0,0,2.09523,0,0,0
HANO-window recent-history NO,20260518,2.08638e+06,273.78,3.98455,1.01322,2908.14,8739.3,0,0,0.0616633,0,0,0
HANO-window recent-history NO,20260519,247916,164.888,8.9526,1.01437,2140.97,1474.76,0,0,0.587128,0.00549248,2670.64,1.81062
HANO-window recent-history NO,20260520,1.02586e+06,267.759,1.39516,1.01242,3443.27,4017.38,0,0,0.21486,0.0092917,4517.96,1.12454
HANO-window recent-history NO,20260521,1.54605e+06,251.711,8.88011,1.02508,4118.51,6708.36,0,0,0.0146137,0.0106603,5183.43,0.772656
INCDE Euler neural CDE,20260517,282.636,341.606,1.11996,1.03936,386.797,4710.88,0,0,0.203835,0,0,0
INCDE Euler neural CDE,20260518,404.243,175.192,1.11104,1.02394,869.656,5996.55,0,0,0.238022,0,0,0
INCDE Euler neural CDE,20260519,918.167,150.055,1.12899,1.00921,616.513,2942.01,0,0,0.217933,0,0,0
INCDE Euler neural CDE,20260520,18141,294.348,1.15615,1.10871,152.483,513.931,0,0,0.211726,0,0,0
INCDE Euler neural CDE,20260521,380.409,121.874,1.10737,1.03017,678.445,5803.16,0,0,0.235073,0,0,0
Thermo-projected neural CDE,20260517,281.678,341.413,0.994759,0.999848,1,1,0,0,0.000159946,0,0,0
Thermo-projected neural CDE,20260518,404.781,171.676,0.992148,0.99977,1,1,0,0,8.01713e-08,0,0,0
Thermo-projected neural CDE,20260519,921.313,149.595,0.975043,1.02457,1,1,0,0,0.00531969,0,0,0
Thermo-projected neural CDE,20260520,18142.1,294.348,0.997268,0.999867,1,1,0,0,5.58093e-09,0,0,0
Thermo-projected neural CDE,20260521,381.296,121.902,0.989204,0.998062,1,1,0,0,6.27253e-06,0,0,0
Non-recurrent GNO sequence,20260517,446.669,102.051,1.10999,1.00064,9.02178,4.859,0,0,0.173047,3.24467e-05,15.7767,3.48729
Non-recurrent GNO sequence,20260518,439.652,89.1041,1.16785,1.00157,29.6769,166.598,0,0,0.206294,0,0,0
Non-recurrent GNO sequence,20260519,504.75,53.8882,1.1143,1.00101,22.6756,139.885,0,0,0.194367,0.000392208,190.706,1.36557
Non-recurrent GNO sequence,20260520,282.992,209.943,1.10954,1.00056,1.34919,9.09907,0,0,0.209337,1.81346e-05,8.81772,1
Non-recurrent GNO sequence,20260521,446.028,200.268,1.17352,0.999039,6.855,424.845,0,0,0.216755,0.000873271,424.616,1
Static DeepONet sequence,20260517,35.9355,12.1496,1.16344,0.99945,77.5157,220.711,0,0,0.185559,0.000453435,220.477,1
Static DeepONet sequence,20260518,15.3174,7.59438,1.16633,1.00158,1.25563,315.948,0,0,0.174086,0.000651576,316.82,1.00349
Static DeepONet sequence,20260519,27.1039,10.5323,1.12344,0.999923,2.83579,3.37043,0,0,0.226623,0,0,0
Static DeepONet sequence,20260520,25.0736,9.84528,1.10313,1.0004,9.852,6.05992,0,0,0.275067,1.18147e-05,5.74476,1
Static DeepONet sequence,20260521,24.8105,10.1478,1.11289,0.999036,4.20633,31.8309,0,0,0.20901,7.45436e-05,36.2458,1.14752
