Model,Seed,Train final loss,Cyclic disp. rel. L2,Cyclic history rel. L2,History-increment rel. L2,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.
Thermo-hard HistoryGNO,20260517,1550.2,159.907,2.88793,1.00356,270.166,301.748,0,0,1.94292e-07,0,0,0
Thermo-hard HistoryGNO,20260518,1282.52,133.235,2.88488,1.00148,128.885,134.13,0,0,1.27181e-07,0,0,0
Thermo-hard HistoryGNO,20260519,645.248,66.5295,2.88624,1.0028,216.217,236.687,0,0,1.60313e-07,0,0,0
Thermo-hard HistoryGNO,20260520,182.682,62.8816,2.88621,1.0023,185.345,199.126,0,0,1.63206e-07,0,0,0
Thermo-hard HistoryGNO,20260521,656.302,75.6262,2.85789,1.10239,285.687,319.173,0,0,0.000693423,0,0,0
HistoryGNO data-only,20260517,1358.73,173.738,5.62569,2.60693,43922.1,147632,0,0,0.388344,1.50944,733946,4.97146
HistoryGNO data-only,20260518,1118.38,134.515,6.38275,2.80361,32156.2,312907,0,0,0.43781,0.424239,206280,0.659237
HistoryGNO data-only,20260519,542.989,74.5549,7.25855,3.31395,51944.8,271451,0,0,0.539895,1.90695,927227,3.41581
HistoryGNO data-only,20260520,319.301,47.8566,6.39701,2.71307,25527.4,328524,0,0,0.352151,0.101241,49227.3,0.149844
HistoryGNO data-only,20260521,500.601,79.8325,7.21292,2.85251,28101.2,343312,0,0,0.422633,0.169014,82180.7,0.239376
HANO-window recent-history NO,20260517,237126,947.428,6.87063,1.00476,1067.43,2402.11,0,0,1.5969,0,0,0
HANO-window recent-history NO,20260518,1.72612e+06,670.363,3.77104,1.03026,4687.85,10164.5,0,0,0.0842286,0.00919542,4471.15,0.43987
HANO-window recent-history NO,20260519,203045,121.316,8.45586,1.02049,3287.45,1976,0,0,0.484616,0.0123851,6022.1,3.04728
HANO-window recent-history NO,20260520,893789,672.623,1.36604,1.03758,5628.45,5331.93,0,0,0.205787,0.0283914,13805,2.589
HANO-window recent-history NO,20260521,2.5232e+06,267.667,7.27048,1.13066,10230.7,11301.7,0,0,0.005087,0.0926716,45060.3,3.98698
INCDE Euler neural CDE,20260517,6841.37,226.882,1.08339,1.00043,718.926,10137.2,0,0,0.143603,0,0,0
INCDE Euler neural CDE,20260518,394.418,254.666,1.14917,1.021,1655.1,13972.3,0,0,0.227255,0,0,0
INCDE Euler neural CDE,20260519,6696.63,188.769,1.14767,1.00477,1703.72,6576.82,0,0,0.197406,0,0,0
INCDE Euler neural CDE,20260520,125175,608.595,1.08231,1.0762,170.386,651.197,0,0,0.184412,0,0,0
INCDE Euler neural CDE,20260521,729.196,154.395,1.04791,0.994024,1072.89,7606.42,0,0,0.210417,0,0,0
Thermo-projected neural CDE,20260517,6832.63,226.734,0.989753,0.999212,1,1,0,0,1.88849e-06,0,0,0
Thermo-projected neural CDE,20260518,372.346,248.226,0.992918,0.9998,1,1,0,0,4.75975e-08,0,0,0
Thermo-projected neural CDE,20260519,6640.41,188.802,0.972503,1.10912,1,1,0,0,0.00652907,0,0,0
Thermo-projected neural CDE,20260520,125175,608.595,0.993614,1.00112,1,1,0,0,5.42191e-05,0,0,0
Thermo-projected neural CDE,20260521,730.397,154.373,0.989168,0.998107,1,1,0,0,5.2075e-06,0,0,0
Non-recurrent GNO sequence,20260517,11918.6,85.9856,1.16065,1.00075,17.542,179.276,0,0,0.10082,0.000427901,208.061,1.16206
Non-recurrent GNO sequence,20260518,11516.6,199.133,1.32546,1.00152,49.6558,309.184,0,0,0.176291,0,0,0
Non-recurrent GNO sequence,20260519,3351.08,136.576,2.32112,1.00076,70.8806,329.757,0,0,0.513179,0.00132873,646.077,1.96062
Non-recurrent GNO sequence,20260520,5248.4,133.793,1.0477,1.00024,2.39886,11.3241,0,0,0.192416,2.273e-05,11.0521,1
Non-recurrent GNO sequence,20260521,8831.74,359.733,1.46722,0.999166,3.40892,684.59,0,0,0.187408,0.0014371,698.769,1.02105
Static DeepONet sequence,20260517,143.515,25.6778,1.46248,0.999527,159.944,148.066,0,0,0.135333,0.000304039,147.835,1
Static DeepONet sequence,20260518,94.471,16.2929,1.59983,1.00177,1.84186,544.644,0,0,0.134137,0.00112414,546.6,1.00401
Static DeepONet sequence,20260519,80.4629,17.9932,1.08497,0.999859,3.33106,6.37562,0,0,0.209818,0,0,0
Static DeepONet sequence,20260520,74.3656,16.3637,1.07641,1.00027,13.7094,16.9116,0,0,0.24751,0,0,0
Static DeepONet sequence,20260521,63.2988,16.4497,1.1861,0.998089,7.56829,98.7176,0,0,0.25368,0.000221333,107.62,1.09276
