Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
Thermo-hard HistoryGNO,Cyclic disp. rel. L2,99.6358,39.4584,75.6262,66.5295,133.235,66.7056,62.8816,159.907,5
Thermo-hard HistoryGNO,Cyclic history rel. L2,2.88063,0.0114089,2.88621,2.88488,2.88624,0.00135899,2.85789,2.88793,5
Thermo-hard HistoryGNO,History-increment rel. L2,1.02251,0.0399473,1.0028,1.0023,1.00356,0.00126553,1.00148,1.10239,5
Thermo-hard HistoryGNO,Eqp increment rel. L2,217.26,57.1158,216.217,185.345,270.166,84.8215,128.885,285.687,5
Thermo-hard HistoryGNO,Plastic-work inc. rel. L2,238.173,67.7564,236.687,199.126,301.748,102.622,134.13,319.173,5
Thermo-hard HistoryGNO,Reversal hist-inc. rel. L2,0,0,0,0,0,0,0,0,5
Thermo-hard HistoryGNO,Reversal yield-flag MAE,0,0,0,0,0,0,0,0,5
Thermo-hard HistoryGNO,Yield-surface RMS,0.000138814,0.000277305,1.63206e-07,1.60313e-07,1.94292e-07,3.39795e-08,1.27181e-07,0.000693423,5
Thermo-hard HistoryGNO,Plastic-work violation abs.,0,0,0,0,0,0,0,0,5
Thermo-hard HistoryGNO,Plastic-work violation target-norm.,0,0,0,0,0,0,0,0,5
Thermo-hard HistoryGNO,Plastic-work violation pred-norm.,0,0,0,0,0,0,0,0,5
HistoryGNO data-only,Cyclic disp. rel. L2,102.099,45.5624,79.8325,74.5549,134.515,59.96,47.8566,173.738,5
HistoryGNO data-only,Cyclic history rel. L2,6.57538,0.607291,6.39701,6.38275,7.21292,0.830168,5.62569,7.25855,5
HistoryGNO data-only,History-increment rel. L2,2.85802,0.242866,2.80361,2.71307,2.85251,0.139442,2.60693,3.31395,5
HistoryGNO data-only,Eqp increment rel. L2,36330.3,10032.9,32156.2,28101.2,43922.1,15821,25527.4,51944.8,5
HistoryGNO data-only,Plastic-work inc. rel. L2,280765,70763.5,312907,271451,328524,57072.5,147632,343312,5
HistoryGNO data-only,Reversal hist-inc. rel. L2,0,0,0,0,0,0,0,0,5
HistoryGNO data-only,Reversal yield-flag MAE,0,0,0,0,0,0,0,0,5
HistoryGNO data-only,Yield-surface RMS,0.428166,0.0631996,0.422633,0.388344,0.43781,0.0494659,0.352151,0.539895,5
HistoryGNO data-only,Plastic-work violation abs.,0.822177,0.74213,0.424239,0.169014,1.50944,1.34043,0.101241,1.90695,5
HistoryGNO data-only,Plastic-work violation target-norm.,399772,360851,206280,82180.7,733946,651766,49227.3,927227,5
HistoryGNO data-only,Plastic-work violation pred-norm.,1.88715,1.95402,0.659237,0.239376,3.41581,3.17644,0.149844,4.97146,5
HANO-window recent-history NO,Cyclic disp. rel. L2,535.879,299.986,670.363,267.667,672.623,404.956,121.316,947.428,5
HANO-window recent-history NO,Cyclic history rel. L2,5.54681,2.60071,6.87063,3.77104,7.27048,3.49944,1.36604,8.45586,5
HANO-window recent-history NO,History-increment rel. L2,1.04475,0.0443369,1.03026,1.02049,1.03758,0.0170957,1.00476,1.13066,5
HANO-window recent-history NO,Eqp increment rel. L2,4980.38,3041.34,4687.85,3287.45,5628.45,2341,1067.43,10230.7,5
HANO-window recent-history NO,Plastic-work inc. rel. L2,6235.23,3866.71,5331.93,2402.11,10164.5,7762.35,1976,11301.7,5
HANO-window recent-history NO,Reversal hist-inc. rel. L2,0,0,0,0,0,0,0,0,5
HANO-window recent-history NO,Reversal yield-flag MAE,0,0,0,0,0,0,0,0,5
HANO-window recent-history NO,Yield-surface RMS,0.475323,0.583907,0.205787,0.0842286,0.484616,0.400387,0.005087,1.5969,5
HANO-window recent-history NO,Plastic-work violation abs.,0.0285287,0.0333545,0.0123851,0.00919542,0.0283914,0.019196,0,0.0926716,5
HANO-window recent-history NO,Plastic-work violation target-norm.,13871.7,16218.2,6022.1,4471.15,13805,9333.8,0,45060.3,5
HANO-window recent-history NO,Plastic-work violation pred-norm.,2.01262,1.53786,2.589,0.43987,3.04728,2.60741,0,3.98698,5
INCDE Euler neural CDE,Cyclic disp. rel. L2,286.662,164.509,226.882,188.769,254.666,65.8969,154.395,608.595,5
INCDE Euler neural CDE,Cyclic history rel. L2,1.10209,0.0399259,1.08339,1.08231,1.14767,0.0653574,1.04791,1.14917,5
INCDE Euler neural CDE,History-increment rel. L2,1.01929,0.0298208,1.00477,1.00043,1.021,0.0205611,0.994024,1.0762,5
INCDE Euler neural CDE,Eqp increment rel. L2,1064.2,579.024,1072.89,718.926,1655.1,936.174,170.386,1703.72,5
INCDE Euler neural CDE,Plastic-work inc. rel. L2,7788.77,4386.29,7606.42,6576.82,10137.2,3560.34,651.197,13972.3,5
INCDE Euler neural CDE,Reversal hist-inc. rel. L2,0,0,0,0,0,0,0,0,5
INCDE Euler neural CDE,Reversal yield-flag MAE,0,0,0,0,0,0,0,0,5
INCDE Euler neural CDE,Yield-surface RMS,0.192619,0.028317,0.197406,0.184412,0.210417,0.0260056,0.143603,0.227255,5
INCDE Euler neural CDE,Plastic-work violation abs.,0,0,0,0,0,0,0,0,5
INCDE Euler neural CDE,Plastic-work violation target-norm.,0,0,0,0,0,0,0,0,5
INCDE Euler neural CDE,Plastic-work violation pred-norm.,0,0,0,0,0,0,0,0,5
Thermo-projected neural CDE,Cyclic disp. rel. L2,285.346,164.789,226.734,188.802,248.226,59.4245,154.373,608.595,5
Thermo-projected neural CDE,Cyclic history rel. L2,0.987591,0.00773902,0.989753,0.989168,0.992918,0.00374997,0.972503,0.993614,5
Thermo-projected neural CDE,History-increment rel. L2,1.02147,0.0438329,0.9998,0.999212,1.00112,0.00191003,0.998107,1.10912,5
Thermo-projected neural CDE,Eqp increment rel. L2,1,0,1,1,1,0,1,1,5
Thermo-projected neural CDE,Plastic-work inc. rel. L2,1,0,1,1,1,0,1,1,5
Thermo-projected neural CDE,Reversal hist-inc. rel. L2,0,0,0,0,0,0,0,0,5
Thermo-projected neural CDE,Reversal yield-flag MAE,0,0,0,0,0,0,0,0,5
Thermo-projected neural CDE,Yield-surface RMS,0.00131809,0.00260557,5.2075e-06,1.88849e-06,5.42191e-05,5.23306e-05,4.75975e-08,0.00652907,5
Thermo-projected neural CDE,Plastic-work violation abs.,0,0,0,0,0,0,0,0,5
Thermo-projected neural CDE,Plastic-work violation target-norm.,0,0,0,0,0,0,0,0,5
Thermo-projected neural CDE,Plastic-work violation pred-norm.,0,0,0,0,0,0,0,0,5
Non-recurrent GNO sequence,Cyclic disp. rel. L2,183.044,95.3761,136.576,133.793,199.133,65.3398,85.9856,359.733,5
Non-recurrent GNO sequence,Cyclic history rel. L2,1.46443,0.451481,1.32546,1.16065,1.46722,0.30657,1.0477,2.32112,5
Non-recurrent GNO sequence,History-increment rel. L2,1.00049,0.000778245,1.00075,1.00024,1.00076,0.000522614,0.999166,1.00152,5
Non-recurrent GNO sequence,Eqp increment rel. L2,28.7772,27.108,17.542,3.40892,49.6558,46.2469,2.39886,70.8806,5
Non-recurrent GNO sequence,Plastic-work inc. rel. L2,302.826,222.148,309.184,179.276,329.757,150.481,11.3241,684.59,5
Non-recurrent GNO sequence,Reversal hist-inc. rel. L2,0,0,0,0,0,0,0,0,5
