Model,Seed,Train final loss,Cyclic disp. rel. L2,Cyclic history rel. L2,History-increment rel. L2,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.
Thermo-hard HistoryGNO,20260517,46.2572,50.9498,2.36447,2.20841,154.784,164.528,0,0,0.00261537,0,0,0
Thermo-hard HistoryGNO,20260518,126.375,100.413,2.20698,2.36803,78.9642,80.6587,0,0,0.00299204,0,0,0
Thermo-hard HistoryGNO,20260519,41.1531,68.0948,2.79068,2.23917,312.064,343.142,0,0,0.00168347,0,0,0
Thermo-hard HistoryGNO,20260520,33.4792,54.1663,2.58241,1.4944,237.064,261.045,0,0,0.00225513,0,0,0
Thermo-hard HistoryGNO,20260521,31.7503,28.2028,2.70906,1.42842,100.654,104.062,0,0,0.0023239,0,0,0
HistoryGNO data-only,20260517,80.2013,95.5484,5.23158,2.29195,35923.2,149411,0,0,0.41731,0.971385,472323,3.16123
HistoryGNO data-only,20260518,90.5577,140.145,6.21159,2.68549,28533.2,308124,0,0,0.444591,0.262282,127531,0.413895
HistoryGNO data-only,20260519,17.5617,54.1517,5.63211,2.57386,36762,224458,0,0,0.576262,0.87702,426439,1.89986
HistoryGNO data-only,20260520,30.7994,53.4236,5.82415,2.3296,26433,241834,0,0,0.336298,0.26001,126426,0.52278
HistoryGNO data-only,20260521,24.4373,44.7542,6.95639,2.7655,27644.9,329868,0,0,0.42067,0.171297,83290.6,0.252497
HANO-window recent-history NO,20260517,115107,405.405,6.71762,1.00037,354.93,907.643,0,0,2.08457,0,0,0
HANO-window recent-history NO,20260518,1.66734e+06,345.69,4.72665,1.00445,1574.63,4296.48,0,0,0.0392067,0,0,0
HANO-window recent-history NO,20260519,404719,224.895,10.6232,1.01717,1516.15,901.968,0,0,0.846051,0.00332708,1617.75,1.79313
HANO-window recent-history NO,20260520,1.57246e+06,269.544,1.97577,0.998953,1616.46,2343.35,0,0,0.353254,0.00099455,483.586,0.206345
HANO-window recent-history NO,20260521,1.30693e+06,255.774,11.8415,1.02028,2228.43,2763.85,0,0,0.0367155,0.00376408,1830.23,0.662149
INCDE Euler neural CDE,20260517,306.406,333.577,1.11245,0.989206,152.366,2058.33,0,0,0.212428,0,0,0
INCDE Euler neural CDE,20260518,401.87,155.618,1.10473,1.01077,435.985,2896.35,0,0,0.226202,0,0,0
INCDE Euler neural CDE,20260519,661.985,121.007,1.11306,0.982146,202.027,1468.09,0,0,0.215307,0,0,0
INCDE Euler neural CDE,20260520,3229.65,156.796,1.14079,0.978369,121,385.93,0,0,0.22894,0,0,0
INCDE Euler neural CDE,20260521,223.325,134.233,1.10586,0.990255,355.961,2808.77,0,0,0.218785,0,0,0
Thermo-projected neural CDE,20260517,306.58,333.95,0.989456,0.998884,1,1,0,0,2.59682e-06,0,0,0
Thermo-projected neural CDE,20260518,402.527,155.342,0.992123,0.999774,1,1,0,0,8.16907e-08,0,0,0
Thermo-projected neural CDE,20260519,667.004,122.895,0.965316,1.07534,1,1,0,0,0.00663308,0,0,0
Thermo-projected neural CDE,20260520,3230.35,156.796,0.996003,0.999265,1,1,0,0,0.000330152,0,0,0
Thermo-projected neural CDE,20260521,223.987,134.332,0.990056,0.997762,1,1,0,0,3.20885e-05,0,0,0
Non-recurrent GNO sequence,20260517,335.322,119.616,1.12058,1.00055,4.77897,17.7511,0,0,0.200724,0,0,0
Non-recurrent GNO sequence,20260518,406.124,88.4689,1.1093,1.00157,12.48,50.5567,0,0,0.219901,0,0,0
Non-recurrent GNO sequence,20260519,388.471,57.2262,1.12526,1.00095,5.36206,74.1183,0,0,0.226798,0.000169503,82.4186,1.11551
Non-recurrent GNO sequence,20260520,281.031,209.909,1.12336,0.999926,1.21543,1.01689,0,0,0.214777,8.92723e-08,0.0434075,0.144723
Non-recurrent GNO sequence,20260521,414.594,189.314,1.1144,0.9989,19.5411,304.37,0,0,0.224965,0.000625495,304.139,1
Static DeepONet sequence,20260517,18.4014,8.74672,1.10901,0.999494,39.7819,125.045,0,0,0.204294,0.000256672,124.803,1
Static DeepONet sequence,20260518,7.58183,5.16805,1.09698,1.0016,0.990356,187.244,0,0,0.194117,0.000385454,187.422,1.0022
Static DeepONet sequence,20260519,12.9936,7.11298,1.12177,0.999954,5.15591,1.70025,0,0,0.227617,0,0,0
Static DeepONet sequence,20260520,14.6061,6.50922,1.1202,1.00031,7.5063,12.495,0,0,0.282033,2.51454e-05,12.2266,1
Static DeepONet sequence,20260521,12.6105,6.71965,1.13181,0.998648,2.36573,23.0447,0,0,0.220204,5.19402e-05,25.2552,1.10796
