geometry,load_path,split,samples,nodes,elements,load_steps,fields,has_final_tangent,has_tangent_sequence,newton_residual_rms,reference_energy_mean,size_mb,path
curved_hole_18x14,cyclic,test,1,241,403,4,2,True,False,0.003435684280748562,-0.0005039723896263362,2.0730457305908203,05_data_pipeline\processed\level4_large_complex_j2_evidence\curved_hole_18x14\cyclic\test.npz
curved_hole_18x14,cyclic,train,1,239,400,4,2,True,False,0.00393676366061031,-0.0005893722636087675,2.0415401458740234,05_data_pipeline\processed\level4_large_complex_j2_evidence\curved_hole_18x14\cyclic\train.npz
curved_hole_18x14,monotonic,test,1,241,403,4,2,True,False,0.0023137955961952525,-0.00031353351453351606,2.073057174682617,05_data_pipeline\processed\level4_large_complex_j2_evidence\curved_hole_18x14\monotonic\test.npz
curved_hole_18x14,monotonic,train,1,239,400,4,2,True,False,0.002432564846054237,-0.00041203771410009066,2.0415515899658203,05_data_pipeline\processed\level4_large_complex_j2_evidence\curved_hole_18x14\monotonic\train.npz
curved_hole_18x14,unload_reload,test,1,241,403,4,2,True,False,0.002565655378222896,-0.00045848500544613623,2.0730724334716797,05_data_pipeline\processed\level4_large_complex_j2_evidence\curved_hole_18x14\unload_reload\test.npz
curved_hole_18x14,unload_reload,train,1,239,400,4,2,True,False,0.0031607305381641786,-0.0007832320045020918,2.041566848754883,05_data_pipeline\processed\level4_large_complex_j2_evidence\curved_hole_18x14\unload_reload\train.npz
curved_hole_20x15,cyclic,test,1,286,484,4,2,True,False,0.002906337621416708,-0.0004966933388004419,2.854806900024414,05_data_pipeline\processed\level4_large_complex_j2_evidence\curved_hole_20x15\cyclic\test.npz
curved_hole_20x15,cyclic,train,1,285,482,4,2,True,False,0.002533563695277566,-0.0003468064010350361,2.8359737396240234,05_data_pipeline\processed\level4_large_complex_j2_evidence\curved_hole_20x15\cyclic\train.npz
curved_hole_20x15,monotonic,test,1,286,484,4,2,True,False,0.001991653110007599,-0.00032823593927272,2.854818344116211,05_data_pipeline\processed\level4_large_complex_j2_evidence\curved_hole_20x15\monotonic\test.npz
curved_hole_20x15,monotonic,train,1,285,482,4,2,True,False,0.001571088056706122,-0.00021781407767013406,2.8359851837158203,05_data_pipeline\processed\level4_large_complex_j2_evidence\curved_hole_20x15\monotonic\train.npz
curved_hole_20x15,unload_reload,test,1,286,484,4,2,True,False,0.0022205506784311003,-0.0004906937146983377,2.8548336029052734,05_data_pipeline\processed\level4_large_complex_j2_evidence\curved_hole_20x15\unload_reload\test.npz
curved_hole_20x15,unload_reload,train,1,285,482,4,2,True,False,0.0019435151461350412,-0.00035828930401617337,2.836000442504883,05_data_pipeline\processed\level4_large_complex_j2_evidence\curved_hole_20x15\unload_reload\train.npz
multi_hole_18x14,cyclic,test,1,242,399,4,2,True,False,0.0029260769726572175,-0.00037770670595206016,2.085561752319336,05_data_pipeline\processed\level4_large_complex_j2_evidence\multi_hole_18x14\cyclic\test.npz
multi_hole_18x14,cyclic,train,1,243,401,4,2,True,False,0.004096462287009301,-0.0008419707650524441,2.101778030395508,05_data_pipeline\processed\level4_large_complex_j2_evidence\multi_hole_18x14\cyclic\train.npz
multi_hole_18x14,monotonic,test,1,242,399,4,2,True,False,0.0016944922176357906,-0.0001891751234459886,2.085573196411133,05_data_pipeline\processed\level4_large_complex_j2_evidence\multi_hole_18x14\monotonic\test.npz
multi_hole_18x14,monotonic,train,1,243,401,4,2,True,False,0.0025780053744619874,-0.0007079231290247423,2.1017894744873047,05_data_pipeline\processed\level4_large_complex_j2_evidence\multi_hole_18x14\monotonic\train.npz
multi_hole_18x14,unload_reload,test,1,242,399,4,2,True,False,0.0021092886063027476,-0.00033071554274621405,2.0855884552001953,05_data_pipeline\processed\level4_large_complex_j2_evidence\multi_hole_18x14\unload_reload\test.npz
multi_hole_18x14,unload_reload,train,1,243,401,4,2,True,False,0.0035758123686197075,-0.001471035924259457,2.101804733276367,05_data_pipeline\processed\level4_large_complex_j2_evidence\multi_hole_18x14\unload_reload\train.npz
multi_hole_20x15,cyclic,test,1,288,481,4,2,True,False,0.002392511953952503,-0.0002602788964836162,2.888418197631836,05_data_pipeline\processed\level4_large_complex_j2_evidence\multi_hole_20x15\cyclic\test.npz
multi_hole_20x15,cyclic,train,1,288,480,4,2,True,False,0.0034700115437480412,-0.0006049904309186034,2.8878116607666016,05_data_pipeline\processed\level4_large_complex_j2_evidence\multi_hole_20x15\cyclic\train.npz
multi_hole_20x15,monotonic,test,1,288,481,4,2,True,False,0.001395560873957701,-0.0001459839423919346,2.888429641723633,05_data_pipeline\processed\level4_large_complex_j2_evidence\multi_hole_20x15\monotonic\test.npz
multi_hole_20x15,monotonic,train,1,288,480,4,2,True,False,0.0019748815215312517,-0.00038634931776666804,2.8878231048583984,05_data_pipeline\processed\level4_large_complex_j2_evidence\multi_hole_20x15\monotonic\train.npz
multi_hole_20x15,unload_reload,test,1,288,481,4,2,True,False,0.0017095278503971325,-0.0002282094408993054,2.8884449005126953,05_data_pipeline\processed\level4_large_complex_j2_evidence\multi_hole_20x15\unload_reload\test.npz
multi_hole_20x15,unload_reload,train,1,288,480,4,2,True,False,0.002412173730004165,-0.0005651951141227016,2.887838363647461,05_data_pipeline\processed\level4_large_complex_j2_evidence\multi_hole_20x15\unload_reload\train.npz
notch_18x14,cyclic,test,1,242,412,4,2,True,False,0.0025729149925811353,-0.0002709108960816871,2.093416213989258,05_data_pipeline\processed\level4_large_complex_j2_evidence\notch_18x14\cyclic\test.npz
notch_18x14,cyclic,train,1,242,412,4,2,True,False,0.0019230525243199754,-0.00014582030578511946,2.0934200286865234,05_data_pipeline\processed\level4_large_complex_j2_evidence\notch_18x14\cyclic\train.npz
notch_18x14,monotonic,test,1,242,412,4,2,True,False,0.001870747541279407,-0.0002477683409563888,2.0934276580810547,05_data_pipeline\processed\level4_large_complex_j2_evidence\notch_18x14\monotonic\test.npz
notch_18x14,monotonic,train,1,242,412,4,2,True,False,0.0012276782776955023,-0.00010407435023464651,2.0934314727783203,05_data_pipeline\processed\level4_large_complex_j2_evidence\notch_18x14\monotonic\train.npz
notch_18x14,unload_reload,test,1,242,412,4,2,True,False,0.002334896738980081,-0.00031777688237528913,2.093442916870117,05_data_pipeline\processed\level4_large_complex_j2_evidence\notch_18x14\unload_reload\test.npz
notch_18x14,unload_reload,train,1,242,412,4,2,True,False,0.0014318067969274842,-0.00014046840094525157,2.093446731567383,05_data_pipeline\processed\level4_large_complex_j2_evidence\notch_18x14\unload_reload\train.npz
notch_20x15,cyclic,test,1,285,489,4,2,True,False,0.002601980289428917,-0.00044304684512457693,2.840188980102539,05_data_pipeline\processed\level4_large_complex_j2_evidence\notch_20x15\cyclic\test.npz
notch_20x15,cyclic,train,1,288,493,4,2,True,False,0.002284680911139952,-0.00039466113181889584,2.8956661224365234,05_data_pipeline\processed\level4_large_complex_j2_evidence\notch_20x15\cyclic\train.npz
notch_20x15,monotonic,test,1,285,489,4,2,True,False,0.0018673564499406216,-0.00040497529427528905,2.840200424194336,05_data_pipeline\processed\level4_large_complex_j2_evidence\notch_20x15\monotonic\test.npz
notch_20x15,monotonic,train,1,288,493,4,2,True,False,0.0016882838534771612,-0.00034947472930229044,2.8956775665283203,05_data_pipeline\processed\level4_large_complex_j2_evidence\notch_20x15\monotonic\train.npz
notch_20x15,unload_reload,test,1,285,489,4,2,True,False,0.002304085651692519,-0.0005886563368875151,2.8402156829833984,05_data_pipeline\processed\level4_large_complex_j2_evidence\notch_20x15\unload_reload\test.npz
notch_20x15,unload_reload,train,1,288,493,4,2,True,False,0.002029920839943632,-0.0004967082623257815,2.895692825317383,05_data_pipeline\processed\level4_large_complex_j2_evidence\notch_20x15\unload_reload\train.npz
