Model,Metric,Rule,Lower,Upper,Outlier count,Outlier seeds,Mean,Std,Median,IQR,Min,Max
QP-thermo-hard HistoryGNO,Cyclic history rel. L2,1.5*IQR,1.06313,1.0829,1,20260517=1.05208,1.07011,0.00931558,1.07468,0.00494277,1.05208,1.07778
QP-thermo-hard HistoryGNO,History-increment rel. L2,1.5*IQR,0.996028,1.00251,1,20260517=0.995081,0.99872,0.00192022,0.999824,0.00162083,0.995081,1.00015
QP-thermo-hard HistoryGNO,QP history rel. L2,1.5*IQR,1.74385,1.78004,1,20260517=1.73329,1.75851,0.0132369,1.76574,0.00904787,1.73329,1.76962
QP-thermo-hard HistoryGNO,QP history-inc. rel. L2,1.5*IQR,0.999152,1.0008,1,20260517=0.996533,0.999318,0.00140316,0.999885,0.000411093,0.996533,1.00022
QP-thermo-hard HistoryGNO,Eqp increment rel. L2,1.5*IQR,1.92121,5.91064,1,20260521=6.15926,4.17729,1.10162,3.91718,0.997358,2.97814,6.15926
QP-thermo-hard HistoryGNO,Plastic-work inc. rel. L2,1.5*IQR,1.87136,6.32188,1,20260521=6.65156,4.39433,1.24847,4.07395,1.11263,3.05292,6.65156
QP-thermo-hard HistoryGNO,Reversal hist-inc. rel. L2,1.5*IQR,0.998792,1.00267,1,20260517=1.00584,1.00159,0.0021767,1.00078,0.000970006,0.999859,1.00584
QP-thermo-hard HistoryGNO,Reversal yield-flag MAE,1.5*IQR,0.408306,0.411717,1,20260517=0.413731,0.410553,0.00163346,0.409722,0.000852793,0.409288,0.413731
QP-thermo-hard HistoryGNO,Yield-surface RMS,1.5*IQR,-1.3507e-05,4.4475e-05,1,20260517=4.75868e-05,1.78065e-05,1.65359e-05,1.01665e-05,1.44955e-05,3.11008e-07,4.75868e-05
QP-thermo-hard HistoryGNO,FEM residual rel. RMS,1.5*IQR,-23.9428,211.853,1,20260520=288.459,123.127,91.9342,123.308,58.949,15.9569,288.459
QP-thermo-hard HistoryGNO,FEM energy rel. err.,1.5*IQR,-4128.9,11915.7,1,20260520=26741.8,7508.38,9799.59,2923.49,4011.15,89.8361,26741.8
