Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
QP-thermo-hard HistoryGNO,Cyclic disp. rel. L2,14.3718,4.4272,12.7228,12.0055,12.8061,0.800631,11.1765,23.148,5
QP-thermo-hard HistoryGNO,Cyclic history rel. L2,1.36067,0.0170451,1.36896,1.36889,1.369,0.000109553,1.32659,1.36994,5
QP-thermo-hard HistoryGNO,History-increment rel. L2,0.999687,0.000785399,1.00007,1.00006,1.00007,1.60933e-05,0.998117,1.00012,5
QP-thermo-hard HistoryGNO,QP history rel. L2,2.0713,0.0213971,2.08173,2.08158,2.08182,0.000242949,2.02851,2.08285,5
QP-thermo-hard HistoryGNO,QP history-inc. rel. L2,1,0.000258999,1.00011,1.00011,1.00011,8.34465e-07,0.999491,1.0002,5
QP-thermo-hard HistoryGNO,Eqp increment rel. L2,7.65343,1.67206,6.88923,6.88416,6.93476,0.0505953,6.57149,10.9875,5
QP-thermo-hard HistoryGNO,Plastic-work inc. rel. L2,8.53677,2.0805,7.68666,7.45522,7.77832,0.323098,7.0929,12.6708,5
QP-thermo-hard HistoryGNO,Reversal hist-inc. rel. L2,1.00195,0.00403068,0.999939,0.999937,0.999945,7.39098e-06,0.999937,1.01002,5
QP-thermo-hard HistoryGNO,Reversal yield-flag MAE,0.55523,9.78828e-05,0.555278,0.555278,0.555278,0,0.555034,0.555279,5
QP-thermo-hard HistoryGNO,Yield-surface RMS,9.55927e-06,1.9005e-05,5.12309e-08,4.9706e-08,7.69339e-08,2.72278e-08,4.92718e-08,4.75692e-05,5
QP-thermo-hard HistoryGNO,Plastic-work violation abs.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,Plastic-work violation target-norm.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,Plastic-work violation pred-norm.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,FEM residual rel. RMS,52.1584,30.1753,45.5406,35.4187,45.7186,10.2999,23.7944,110.32,5
QP-thermo-hard HistoryGNO,FEM energy rel. err.,605.647,553.025,410.678,247.786,603.528,355.742,105.589,1660.65,5
