Case,Protocol,Model,Seeds,Cyclic disp rel L2,Cyclic history rel L2,Reversal hist-inc rel L2,Yield-surface RMS,Plastic-work violation target-norm,FEM residual rel RMS,FEM energy rel err
notch_14x11,strict,hgo_qp_thermo_hard,5,55.62 +/- 21.67,1.428 +/- 0.003901,0.9998 +/- 0.0006301,3.954e-06 +/- 7.723e-06,0 +/- 0,73.54 +/- 63.36,4774 +/- 5944
notch_14x11,curriculum,hgo_qp_thermo_hard,5,56.88 +/- 20.33,1.428 +/- 0.001816,0.9999 +/- 0.0002556,2.379e-06 +/- 3.768e-06,0 +/- 0,72.12 +/- 59.34,4535 +/- 5456
notch_14x11,upper_bound,hgo_qp_thermo_hard,5,12.85 +/- 2.577,1.416 +/- 0.02445,0.9991 +/- 0.00169,8.322e-06 +/- 1.392e-05,0 +/- 0,40.85 +/- 19.92,814.3 +/- 615
notch_16x12,strict,hgo_qp_thermo_hard,5,75.49 +/- 19.81,2.202 +/- 0.01274,0.9997 +/- 0.0009489,9.537e-06 +/- 1.483e-05,0 +/- 0,172.3 +/- 113.8,1.469e+04 +/- 1.56e+04
notch_16x12,curriculum,hgo_qp_thermo_hard,5,82.53 +/- 19.2,2.141 +/- 0.129,0.9925 +/- 0.01482,0.0008264 +/- 0.001639,0 +/- 0,157.4 +/- 91.41,1.221e+04 +/- 1.138e+04
notch_16x12,upper_bound,hgo_qp_thermo_hard,5,42.05 +/- 26.02,1.971 +/- 0.288,0.999 +/- 0.001873,0.03832 +/- 0.04708,0 +/- 0,89.27 +/- 36.82,3295 +/- 1951
notch_18x14,strict,hgo_qp_thermo_hard,5,69.2 +/- 31.38,1.457 +/- 0.1625,1 +/- 9.16e-05,0.02972 +/- 0.05944,0 +/- 0,78.45 +/- 42.05,3866 +/- 4536
notch_18x14,curriculum,hgo_qp_thermo_hard,5,68.89 +/- 31.06,1.457 +/- 0.1625,1 +/- 9.755e-05,0.02945 +/- 0.0589,0 +/- 0,77.65 +/- 43.11,3891 +/- 4703
notch_18x14,upper_bound,hgo_qp_thermo_hard,5,14.04 +/- 5.867,1.538 +/- 0.0003316,1 +/- 1.492e-05,1.214e-07 +/- 6.85e-08,0 +/- 0,36.41 +/- 17.34,1043 +/- 651.9
notch_20x15,strict,hgo_qp_thermo_hard,5,119.2 +/- 32.1,1.854 +/- 0.05681,0.9932 +/- 0.01215,3.01e-05 +/- 3.534e-05,0 +/- 0,192.8 +/- 131.8,1.601e+04 +/- 1.965e+04
notch_20x15,curriculum,hgo_qp_thermo_hard,5,117.3 +/- 29.47,1.851 +/- 0.07096,0.9918 +/- 0.01602,1.298e-05 +/- 1.422e-05,0 +/- 0,185.2 +/- 120.3,1.423e+04 +/- 1.624e+04
notch_20x15,upper_bound,hgo_qp_thermo_hard,5,52.49 +/- 24.43,1.863 +/- 0.03295,0.9972 +/- 0.003426,2.038e-05 +/- 2.331e-05,0 +/- 0,108.1 +/- 70.71,3977 +/- 3796
