Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
QP-thermo-hard HistoryGNO,Cyclic disp. rel. L2,40.0122,12.3842,41.9258,30.7098,47.82,17.1102,22.2584,57.3468,5
QP-thermo-hard HistoryGNO,Cyclic history rel. L2,0.949904,0.000149623,0.949964,0.949784,0.949966,0.000181496,0.94969,0.950115,5
QP-thermo-hard HistoryGNO,History-increment rel. L2,1.00008,1.21852e-05,1.00007,1.00007,1.00009,2.32458e-05,1.00007,1.0001,5
QP-thermo-hard HistoryGNO,QP history rel. L2,1.64843,0.000164267,1.64845,1.64832,1.64852,0.000190854,1.64819,1.64867,5
QP-thermo-hard HistoryGNO,QP history-inc. rel. L2,1.00015,2.65673e-05,1.00015,1.00013,1.00018,5.16176e-05,1.00012,1.00019,5
QP-thermo-hard HistoryGNO,Eqp increment rel. L2,4.91891,0.549809,4.83437,4.35664,5.34784,0.991195,4.32769,5.72801,5
QP-thermo-hard HistoryGNO,Plastic-work inc. rel. L2,5.2939,0.644168,5.19897,4.63688,5.79531,1.15843,4.5972,6.24114,5
QP-thermo-hard HistoryGNO,Reversal hist-inc. rel. L2,1.00019,5.11757e-05,1.00019,1.00017,1.00023,6.03199e-05,1.00011,1.00026,5
QP-thermo-hard HistoryGNO,Reversal yield-flag MAE,0.357872,2.37074e-05,0.35786,0.35786,0.357862,2.38419e-06,0.35786,0.357919,5
QP-thermo-hard HistoryGNO,Yield-surface RMS,2.36368e-07,3.64525e-07,4.65264e-08,4.63262e-08,7.80445e-08,3.17182e-08,4.59418e-08,9.65001e-07,5
QP-thermo-hard HistoryGNO,Plastic-work violation abs.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,Plastic-work violation target-norm.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,Plastic-work violation pred-norm.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,FEM residual rel. RMS,55.9019,21.9512,58.2762,36.9124,63.0727,26.1602,29.423,91.8252,5
QP-thermo-hard HistoryGNO,FEM energy rel. err.,2220.83,1758.58,1539.48,1465.69,2071.65,605.961,449.593,5577.76,5
