Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
QP-thermo-hard HistoryGNO,Cyclic disp. rel. L2,23.294,16.5101,17.7463,13.4594,18.2644,4.805,11.1193,55.8807,5
QP-thermo-hard HistoryGNO,Cyclic history rel. L2,1.09371,0.0674458,1.13189,1.10839,1.13385,0.0254546,0.960218,1.13422,5
QP-thermo-hard HistoryGNO,History-increment rel. L2,1.01139,0.0197844,1.00013,1.00011,1.00594,0.00583529,1.00008,1.0507,5
QP-thermo-hard HistoryGNO,QP history rel. L2,1.81377,0.10124,1.87244,1.83225,1.87489,0.0426424,1.61393,1.87535,5
QP-thermo-hard HistoryGNO,QP history-inc. rel. L2,1.0252,0.0467615,1.00022,1.00021,1.00679,0.00658894,1.00018,1.11858,5
QP-thermo-hard HistoryGNO,Eqp increment rel. L2,4.69964,0.710237,4.78193,4.37055,5.08894,0.71839,3.5688,5.68796,5
QP-thermo-hard HistoryGNO,Plastic-work inc. rel. L2,5.0474,0.805286,5.10417,4.68906,5.57642,0.887358,3.74938,6.11795,5
QP-thermo-hard HistoryGNO,Reversal hist-inc. rel. L2,1.02439,0.0518457,1.00022,0.999843,1.0003,0.000452757,0.993625,1.12796,5
QP-thermo-hard HistoryGNO,Reversal yield-flag MAE,0.469778,0.0137771,0.461926,0.461677,0.466539,0.00486144,0.461667,0.497082,5
QP-thermo-hard HistoryGNO,Yield-surface RMS,0.00735013,0.0146711,7.70612e-06,4.64333e-07,5.01274e-05,4.9663e-05,6.45379e-08,0.0366923,5
QP-thermo-hard HistoryGNO,Plastic-work violation abs.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,Plastic-work violation target-norm.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,Plastic-work violation pred-norm.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,FEM residual rel. RMS,24.0129,8.35003,23.9697,18.2427,25.6784,7.4358,13.7591,38.4144,5
QP-thermo-hard HistoryGNO,FEM energy rel. err.,669.637,322.092,614.222,408.094,813.215,405.121,302.678,1209.98,5
