Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
QP-thermo-hard HistoryGNO,Cyclic disp. rel. L2,54.3714,25.6015,52.6399,41.5895,53.2904,11.7009,23.516,100.821,5
QP-thermo-hard HistoryGNO,Cyclic history rel. L2,1.5811,0.155904,1.65833,1.65822,1.65919,0.000971556,1.2693,1.66046,5
QP-thermo-hard HistoryGNO,History-increment rel. L2,0.994393,0.0115883,1.00014,1.00013,1.00019,6.9499e-05,0.971217,1.00029,5
QP-thermo-hard HistoryGNO,QP history rel. L2,2.47458,0.144456,2.54588,2.54574,2.54703,0.00129271,2.18567,2.54857,5
QP-thermo-hard HistoryGNO,QP history-inc. rel. L2,1.04629,0.0918479,1.00038,1.00026,1.00057,0.000315666,1.00026,1.22999,5
QP-thermo-hard HistoryGNO,Eqp increment rel. L2,13.9006,5.36812,11.992,11.8937,16.3831,4.48937,6.57901,22.6553,5
QP-thermo-hard HistoryGNO,Plastic-work inc. rel. L2,15.622,6.60895,13.0429,13.0046,18.4543,5.44976,6.9535,26.6548,5
QP-thermo-hard HistoryGNO,Reversal hist-inc. rel. L2,0.97951,0.0412073,1.00007,1.00007,1.00012,4.69685e-05,0.897096,1.0002,5
QP-thermo-hard HistoryGNO,Reversal yield-flag MAE,0.730447,0.0706332,0.765766,0.765758,0.765766,8.16584e-06,0.589181,0.765766,5
QP-thermo-hard HistoryGNO,Yield-surface RMS,0.0194162,0.0388321,6.06454e-08,6.00338e-08,3.80678e-07,3.20644e-07,5.78799e-08,0.0970804,5
QP-thermo-hard HistoryGNO,Plastic-work violation abs.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,Plastic-work violation target-norm.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,Plastic-work violation pred-norm.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,FEM residual rel. RMS,113.695,87.5727,85.9161,56.9036,102.094,45.1907,40.1482,283.413,5
QP-thermo-hard HistoryGNO,FEM energy rel. err.,5992.66,6402.23,3658.59,1953.71,5562.13,3608.42,454.279,18334.6,5
