Model,Metric,Rule,Lower,Upper,Outlier count,Outlier seeds,Mean,Std,Median,IQR,Min,Max
QP-thermo-hard HistoryGNO,Cyclic history rel. L2,1.5*IQR,1.42672,1.43057,2,20260520=1.42521; 20260521=1.43068,1.42846,0.00181591,1.42912,0.000962496,1.42521,1.43068
QP-thermo-hard HistoryGNO,History-increment rel. L2,1.5*IQR,0.999917,1.00016,1,20260520=0.999868,1.00003,9.47201e-05,1.00007,6.18696e-05,0.999868,1.00015
QP-thermo-hard HistoryGNO,QP history rel. L2,1.5*IQR,2.29735,2.30246,1,20260520=2.2941,2.29938,0.00282678,2.30054,0.00127912,2.2941,2.30243
QP-thermo-hard HistoryGNO,QP history-inc. rel. L2,1.5*IQR,0.999869,1.00031,1,20260521=1.00032,1.00013,0.000113591,1.00013,0.000110984,0.999998,1.00032
QP-thermo-hard HistoryGNO,Eqp increment rel. L2,1.5*IQR,-0.0723159,11.6026,1,20260521=14.0051,7.26596,3.61945,6.86983,2.91872,3.92463,14.0051
QP-thermo-hard HistoryGNO,Plastic-work inc. rel. L2,1.5*IQR,-0.391145,12.1764,1,20260521=15.4136,7.63183,4.13839,7.03413,3.14188,3.92617,15.4136
QP-thermo-hard HistoryGNO,Reversal hist-inc. rel. L2,1.5*IQR,0.999824,1.00019,1,20260520=0.999421,0.999922,0.000255609,1.00005,9.07183e-05,0.999421,1.00013
QP-thermo-hard HistoryGNO,Reversal yield-flag MAE,1.5*IQR,0.730719,0.730967,1,20260520=0.730303,0.730747,0.000223217,0.730872,6.2108e-05,0.730303,0.730874
QP-thermo-hard HistoryGNO,Yield-surface RMS,1.5*IQR,-2.72734e-06,4.71062e-06,1,20260520=9.77757e-06,2.37948e-06,3.7682e-06,8.5028e-08,1.85949e-06,5.1505e-08,9.77757e-06
QP-thermo-hard HistoryGNO,FEM residual rel. RMS,1.5*IQR,6.25557,91.4277,1,20260520=188.876,72.1164,59.3445,47.04,21.293,26.9826,188.876
QP-thermo-hard HistoryGNO,FEM energy rel. err.,1.5*IQR,-3959.38,9394.56,1,20260520=15063.7,4535.44,5455.83,2101.41,3338.49,76.86,15063.7
