Model,Metric,Rule,Lower,Upper,Outlier count,Outlier seeds,Mean,Std,Median,IQR,Min,Max
QP-thermo-hard HistoryGNO,Cyclic history rel. L2,1.5*IQR,1.42471,1.43133,1,20260520=1.36759,1.41645,0.0244503,1.42841,0.00165486,1.36759,1.43021
QP-thermo-hard HistoryGNO,History-increment rel. L2,1.5*IQR,0.999994,1.00009,2,20260520=0.998616; 20260521=1.00013,0.999772,0.000578863,1.00003,2.37226e-05,0.998616,1.00013
QP-thermo-hard HistoryGNO,QP history rel. L2,1.5*IQR,2.29388,2.30402,1,20260520=2.20333,2.28053,0.0386224,2.29959,0.00253367,2.20333,2.30183
QP-thermo-hard HistoryGNO,QP history-inc. rel. L2,1.5*IQR,0.999814,1.00054,1,20260520=1.00646,1.0014,0.00253117,1.0001,0.000181437,1.00007,1.00646
QP-thermo-hard HistoryGNO,Eqp increment rel. L2,1.5*IQR,2.58768,7.72016,1,20260521=11.9329,6.26332,2.91422,5.2731,1.28312,3.80276,11.9329
QP-thermo-hard HistoryGNO,Plastic-work inc. rel. L2,1.5*IQR,2.4941,7.9575,1,20260521=12.8622,6.48214,3.27189,5.34018,1.36585,3.75674,12.8622
QP-thermo-hard HistoryGNO,Reversal hist-inc. rel. L2,1.5*IQR,0.999476,1.00037,1,20260520=0.995773,0.999147,0.00168984,1.00001,0.000224411,0.995773,1.0001
QP-thermo-hard HistoryGNO,Reversal yield-flag MAE,1.5*IQR,0.73035,0.731185,1,20260520=0.727182,0.730091,0.00145671,0.730862,0.000208735,0.727182,0.730874
QP-thermo-hard HistoryGNO,Yield-surface RMS,1.5*IQR,-7.33461e-06,1.27339e-05,1,20260520=3.58808e-05,8.32233e-06,1.39167e-05,2.69427e-07,5.01714e-06,6.20282e-08,3.58808e-05
QP-thermo-hard HistoryGNO,FEM energy rel. err.,1.5*IQR,-560.509,1806.92,1,20260520=1868.25,814.269,615.05,869.945,591.857,86.7417,1868.25
