Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
QP-thermo-hard HistoryGNO,Cyclic disp. rel. L2,68.8923,31.0608,62.0597,39.413,99.9471,60.5341,33.2461,109.796,5
QP-thermo-hard HistoryGNO,Cyclic history rel. L2,1.45653,0.162462,1.53768,1.53679,1.53789,0.00110519,1.13161,1.53868,5
QP-thermo-hard HistoryGNO,History-increment rel. L2,1.00888,0.0176467,1.00006,1.00005,1.0001,5.34058e-05,1.00001,1.04417,5
QP-thermo-hard HistoryGNO,QP history rel. L2,2.35208,0.16963,2.43679,2.43561,2.43711,0.00149488,2.01282,2.43805,5
QP-thermo-hard HistoryGNO,QP history-inc. rel. L2,1.0365,0.0727814,1.00012,1.0001,1.00021,0.000108957,1.00002,1.18207,5
QP-thermo-hard HistoryGNO,Eqp increment rel. L2,8.38318,3.82238,8.07395,5.0755,9.35559,4.28009,4.34006,15.0708,5
QP-thermo-hard HistoryGNO,Plastic-work inc. rel. L2,8.6053,4.10886,8.1845,5.04644,9.56271,4.51627,4.36803,15.8648,5
QP-thermo-hard HistoryGNO,Reversal hist-inc. rel. L2,0.999977,9.75455e-05,1.00003,0.9999,1.00004,0.000143945,0.999826,1.00008,5
QP-thermo-hard HistoryGNO,Reversal yield-flag MAE,0.72785,0.0701237,0.762941,0.762817,0.762945,0.000128269,0.587603,0.762945,5
QP-thermo-hard HistoryGNO,Yield-surface RMS,0.0294487,0.0588966,1.13905e-07,6.48778e-08,1.36848e-06,1.30361e-06,6.48237e-08,0.147242,5
QP-thermo-hard HistoryGNO,Plastic-work violation abs.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,Plastic-work violation target-norm.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,Plastic-work violation pred-norm.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,FEM residual rel. RMS,77.6489,43.1061,64.3863,57.9027,76.9008,18.9981,30.6738,158.381,5
QP-thermo-hard HistoryGNO,FEM energy rel. err.,3890.96,4702.57,1245.4,930.021,3720.49,2790.47,530.89,13028,5
