geometry,load_path,split,samples,nodes,elements,load_steps,fields,has_final_tangent,has_tangent_sequence,has_qp_history,has_qp_plastic_strain,q_points,newton_residual_rms,reference_energy_mean,size_mb,path
curved_hole_14x11,cyclic,test,1,533,237,8,2,False,False,True,True,3,0.001396124087939745,-0.00027979226343353167,0.9756526947021484,05_data_pipeline\processed\level4_formal_complex_j2_t6_8step_qp_9case\curved_hole_14x11\cyclic\test.npz
curved_hole_14x11,cyclic,train,2,532,236,8,2,False,False,True,True,3,0.0014277143097597318,-0.00028879277500002895,1.9216785430908203,05_data_pipeline\processed\level4_formal_complex_j2_t6_8step_qp_9case\curved_hole_14x11\cyclic\train.npz
curved_hole_14x11,monotonic,test,1,533,237,8,2,False,False,True,True,3,0.0013294064004431866,-0.0002799316305288516,0.9756641387939453,05_data_pipeline\processed\level4_formal_complex_j2_t6_8step_qp_9case\curved_hole_14x11\monotonic\test.npz
curved_hole_14x11,monotonic,train,2,532,236,8,2,False,False,True,True,3,0.001317531600194198,-0.00031282513961684844,1.9216899871826172,05_data_pipeline\processed\level4_formal_complex_j2_t6_8step_qp_9case\curved_hole_14x11\monotonic\train.npz
curved_hole_14x11,nonproportional,test,1,533,237,8,2,False,False,True,True,3,0.0017494441166189807,-0.00044130510679034167,0.9756870269775391,05_data_pipeline\processed\level4_formal_complex_j2_t6_8step_qp_9case\curved_hole_14x11\nonproportional\test.npz
curved_hole_14x11,nonproportional,train,2,532,236,8,2,False,False,True,True,3,0.0017372618687712064,-0.00042160218779337366,1.921712875366211,05_data_pipeline\processed\level4_formal_complex_j2_t6_8step_qp_9case\curved_hole_14x11\nonproportional\train.npz
curved_hole_14x11,unload_reload,test,1,533,237,8,2,False,False,True,True,3,0.0014601321619613417,-0.0003372851121703095,0.9756793975830078,05_data_pipeline\processed\level4_formal_complex_j2_t6_8step_qp_9case\curved_hole_14x11\unload_reload\test.npz
curved_hole_14x11,unload_reload,train,2,532,236,8,2,False,False,True,True,3,0.001445208151825825,-0.0003230364719163296,1.9217052459716797,05_data_pipeline\processed\level4_formal_complex_j2_t6_8step_qp_9case\curved_hole_14x11\unload_reload\train.npz
curved_hole_16x12,cyclic,test,1,665,299,8,2,False,False,True,True,3,0.0009702950728818875,-0.0001438159062053648,1.2259883880615234,05_data_pipeline\processed\level4_formal_complex_j2_t6_8step_qp_9case\curved_hole_16x12\cyclic\test.npz
curved_hole_16x12,cyclic,train,2,668,300,8,2,False,False,True,True,3,0.0007209319282695943,-0.00015197374158292036,2.4351978302001953,05_data_pipeline\processed\level4_formal_complex_j2_t6_8step_qp_9case\curved_hole_16x12\cyclic\train.npz
