Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
Thermo-hard HistoryGNO,Cyclic disp. rel. L2,128.953,0,128.953,128.953,128.953,0,128.953,128.953,1
Thermo-hard HistoryGNO,Cyclic history rel. L2,2.9023,0,2.9023,2.9023,2.9023,0,2.9023,2.9023,1
Thermo-hard HistoryGNO,History-increment rel. L2,1.01346,0,1.01346,1.01346,1.01346,0,1.01346,1.01346,1
Thermo-hard HistoryGNO,Eqp increment rel. L2,788.72,0,788.72,788.72,788.72,0,788.72,788.72,1
Thermo-hard HistoryGNO,Plastic-work inc. rel. L2,1107.69,0,1107.69,1107.69,1107.69,0,1107.69,1107.69,1
Thermo-hard HistoryGNO,Reversal hist-inc. rel. L2,0,0,0,0,0,0,0,0,1
Thermo-hard HistoryGNO,Reversal yield-flag MAE,0,0,0,0,0,0,0,0,1
Thermo-hard HistoryGNO,Yield-surface RMS,4.51535e-07,0,4.51535e-07,4.51535e-07,4.51535e-07,0,4.51535e-07,4.51535e-07,1
Thermo-hard HistoryGNO,Plastic-work violation abs.,0,0,0,0,0,0,0,0,1
Thermo-hard HistoryGNO,Plastic-work violation target-norm.,0,0,0,0,0,0,0,0,1
Thermo-hard HistoryGNO,Plastic-work violation pred-norm.,0,0,0,0,0,0,0,0,1
HANO-window recent-history NO,Cyclic disp. rel. L2,6526.61,0,6526.61,6526.61,6526.61,0,6526.61,6526.61,1
HANO-window recent-history NO,Cyclic history rel. L2,4.62298,0,4.62298,4.62298,4.62298,0,4.62298,4.62298,1
HANO-window recent-history NO,History-increment rel. L2,2.15838,0,2.15838,2.15838,2.15838,0,2.15838,2.15838,1
HANO-window recent-history NO,Eqp increment rel. L2,13483.1,0,13483.1,13483.1,13483.1,0,13483.1,13483.1,1
HANO-window recent-history NO,Plastic-work inc. rel. L2,271643,0,271643,271643,271643,0,271643,271643,1
HANO-window recent-history NO,Reversal hist-inc. rel. L2,0,0,0,0,0,0,0,0,1
HANO-window recent-history NO,Reversal yield-flag MAE,0,0,0,0,0,0,0,0,1
HANO-window recent-history NO,Yield-surface RMS,0.544162,0,0.544162,0.544162,0.544162,0,0.544162,0.544162,1
HANO-window recent-history NO,Plastic-work violation abs.,0,0,0,0,0,0,0,0,1
HANO-window recent-history NO,Plastic-work violation target-norm.,0,0,0,0,0,0,0,0,1
HANO-window recent-history NO,Plastic-work violation pred-norm.,0,0,0,0,0,0,0,0,1
INCDE Euler neural CDE,Cyclic disp. rel. L2,7912.01,0,7912.01,7912.01,7912.01,0,7912.01,7912.01,1
INCDE Euler neural CDE,Cyclic history rel. L2,4.08796,0,4.08796,4.08796,4.08796,0,4.08796,4.08796,1
INCDE Euler neural CDE,History-increment rel. L2,2.01326,0,2.01326,2.01326,2.01326,0,2.01326,2.01326,1
INCDE Euler neural CDE,Eqp increment rel. L2,23015.6,0,23015.6,23015.6,23015.6,0,23015.6,23015.6,1
INCDE Euler neural CDE,Plastic-work inc. rel. L2,195955,0,195955,195955,195955,0,195955,195955,1
INCDE Euler neural CDE,Reversal hist-inc. rel. L2,0,0,0,0,0,0,0,0,1
INCDE Euler neural CDE,Reversal yield-flag MAE,0,0,0,0,0,0,0,0,1
INCDE Euler neural CDE,Yield-surface RMS,0.414414,0,0.414414,0.414414,0.414414,0,0.414414,0.414414,1
INCDE Euler neural CDE,Plastic-work violation abs.,0.108433,0,0.108433,0.108433,0.108433,0,0.108433,0.108433,1
INCDE Euler neural CDE,Plastic-work violation target-norm.,52724.3,0,52724.3,52724.3,52724.3,0,52724.3,52724.3,1
INCDE Euler neural CDE,Plastic-work violation pred-norm.,0.269063,0,0.269063,0.269063,0.269063,0,0.269063,0.269063,1
