Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
Faithful HANO strain-stress spectral-window NO,Cyclic disp. rel. L2,228.227,92.7368,211.991,171.967,212.772,40.8052,139.037,405.365,5
Faithful HANO strain-stress spectral-window NO,Cyclic history rel. L2,1.96581,0.708395,1.85316,1.41948,2.33003,0.910547,1.10773,3.11863,5
Faithful HANO strain-stress spectral-window NO,History-increment rel. L2,1.00781,0.00589585,1.00536,1.00511,1.01222,0.00710595,0.999805,1.01658,5
Faithful HANO strain-stress spectral-window NO,Eqp increment rel. L2,176.678,107.765,133.388,109.397,267.315,157.918,39.5875,333.703,5
Faithful HANO strain-stress spectral-window NO,Plastic-work inc. rel. L2,120.901,95.5526,86.6363,26.1896,232.298,206.108,22.5844,236.797,5
Faithful HANO strain-stress spectral-window NO,Reversal hist-inc. rel. L2,1.01109,0.00447102,1.01247,1.00907,1.01377,0.00470114,1.00356,1.01658,5
Faithful HANO strain-stress spectral-window NO,Reversal yield-flag MAE,0.482993,0.0418404,0.452447,0.449629,0.524759,0.0751292,0.445498,0.542631,5
Faithful HANO strain-stress spectral-window NO,Yield-surface RMS,0.317438,0.260577,0.260955,0.24171,0.278547,0.0368371,0.00648663,0.79949,5
Faithful HANO strain-stress spectral-window NO,Plastic-work violation abs.,0.00958871,0.0096474,0.0033545,0.00254782,0.0175854,0.0150375,0,0.0244559,5
Faithful HANO strain-stress spectral-window NO,Plastic-work violation target-norm.,713.04,717.404,249.449,189.462,1307.69,1118.23,0,1818.6,5
Faithful HANO strain-stress spectral-window NO,Plastic-work violation pred-norm.,13.7481,18.2717,7.66974,0.814488,10.9003,10.0858,0,49.3561,5
Faithful HANO strain-stress spectral-window NO,HANO strain rel. L2,84.1893,39.0899,86.8654,76.6819,112.855,36.1735,15.3915,129.152,5
Faithful HANO strain-stress spectral-window NO,HANO stress rel. L2,17.5857,5.37075,16.6093,14.4544,17.6516,3.19722,11.6917,27.5216,5
Faithful HANO strain-stress spectral-window NO,FEM residual rel. RMS,2197.4,987.325,2508.92,1668.03,2806.02,1138,578.979,3425.03,5
Faithful HANO strain-stress spectral-window NO,FEM energy rel. err.,1.06896e+06,767354,1.02997e+06,492794,1.54591e+06,1.05312e+06,48636.7,2.22746e+06,5
