Case,Family,Nodes,Elements,Steps,Seeds,Source,Displacement rel. L2,History rel. L2,History-inc. rel. L2,HANO strain rel. L2,HANO stress rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation target-norm.,FEM residual rel. RMS,FEM energy rel. err.
curved_hole_14x11,curved_hole,532--533,236--237,8,5,level4_t6_faithful_hano_12case_curved_hole_14x11,130.2 +/- 34.16,1.75 +/- 0.6892,1.009 +/- 0.008841,46.93 +/- 35.7,13.58 +/- 2.637,1.008 +/- 0.003575,0.5253 +/- 0.06399,0.3313 +/- 0.2812,287.9 +/- 214,1048 +/- 934.7,5.256e+05 +/- 7.501e+05
curved_hole_16x12,curved_hole,665--668,299--300,8,5,level4_t6_faithful_hano_12case_curved_hole_16x12,614.6 +/- 280,2.034 +/- 0.8993,1.008 +/- 0.00558,75.22 +/- 57.26,19.35 +/- 4.935,1.011 +/- 0.007484,0.5169 +/- 0.05562,0.7148 +/- 0.3803,150.1 +/- 118,1739 +/- 1368,1.695e+06 +/- 2.241e+06
curved_hole_18x14,curved_hole,880--881,400--401,8,5,level4_t6_faithful_hano_12case_curved_hole_18x14,228.2 +/- 92.74,1.966 +/- 0.7084,1.008 +/- 0.005896,84.19 +/- 39.09,17.59 +/- 5.371,1.011 +/- 0.004471,0.483 +/- 0.04184,0.3174 +/- 0.2606,713 +/- 717.4,2197 +/- 987.3,1.069e+06 +/- 7.674e+05
curved_hole_20x15,curved_hole,1055--1059,483--485,8,5,level4_t6_faithful_hano_12case_curved_hole_20x15,148.9 +/- 55.32,2.048 +/- 0.8385,1.01 +/- 0.004647,83.23 +/- 41.5,16.16 +/- 4.495,1.029 +/- 0.01901,0.5155 +/- 0.0448,0.3869 +/- 0.2802,543.2 +/- 444.2,1373 +/- 598.1,1.438e+06 +/- 8.876e+05
multi_hole_14x11,multi_hole,530--532,231--233,8,5,level4_t6_faithful_hano_12case_multi_hole_14x11,219.3 +/- 112.3,1.94 +/- 0.7712,1.008 +/- 0.007189,60.56 +/- 55.92,12.62 +/- 2.434,1.01 +/- 0.00357,0.5128 +/- 0.0322,0.3479 +/- 0.2897,93.84 +/- 83.99,1444 +/- 1680,2.012e+06 +/- 3.573e+06
multi_hole_16x12,multi_hole,672--674,299--299,8,5,level4_t6_faithful_hano_12case_multi_hole_16x12,163.4 +/- 58.14,1.65 +/- 0.5389,1.009 +/- 0.004967,58.26 +/- 46.05,17.94 +/- 4.726,1.029 +/- 0.02196,0.5276 +/- 0.09158,0.5204 +/- 0.2793,248.8 +/- 179.4,1188 +/- 1232,1.498e+06 +/- 2.429e+06
multi_hole_18x14,multi_hole,885--887,400--400,8,5,level4_t6_faithful_hano_12case_multi_hole_18x14,183.6 +/- 67.25,1.739 +/- 0.5764,1.007 +/- 0.005571,75.12 +/- 41.93,11.87 +/- 3.814,1.027 +/- 0.01364,0.5125 +/- 0.02816,0.3195 +/- 0.2606,487.9 +/- 554.3,1343 +/- 700.7,1.763e+06 +/- 1.845e+06
multi_hole_20x15,multi_hole,1048--1056,477--481,8,5,level4_t6_faithful_hano_12case_multi_hole_20x15,173.4 +/- 75.33,1.944 +/- 0.6047,1.015 +/- 0.01046,60.46 +/- 27.67,12.86 +/- 3.972,1.019 +/- 0.01429,0.4008 +/- 0.1699,0.2674 +/- 0.2432,3449 +/- 3586,1756 +/- 732.3,1.191e+06 +/- 9.434e+05
notch_14x11,notch,543--545,244--246,8,5,level4_t6_faithful_hano_12case_notch_14x11,230.4 +/- 116.6,1.997 +/- 0.711,1.004 +/- 0.003085,69.84 +/- 61.7,13.27 +/- 3.937,1.003 +/- 0.0018,0.4244 +/- 0.1744,0.312 +/- 0.2747,595.2 +/- 632.1,2331 +/- 2727,3.773e+06 +/- 6.591e+06
notch_16x12,notch,673--673,306--306,8,5,level4_t6_faithful_hano_12case_notch_16x12,257.3 +/- 83.66,2.66 +/- 1.039,1.005 +/- 0.004013,94.44 +/- 94.9,14.23 +/- 1.353,1.004 +/- 0.002297,0.3706 +/- 0.2622,0.2423 +/- 0.2376,256.4 +/- 208,3235 +/- 4056,6.847e+06 +/- 1.246e+07
notch_18x14,notch,895--895,412--412,8,5,level4_t6_faithful_hano_12case_notch_18x14,286 +/- 93.6,1.751 +/- 0.4793,1.003 +/- 0.002572,62.55 +/- 39.27,12.1 +/- 3.03,1.003 +/- 0.002958,0.4035 +/- 0.1889,0.2731 +/- 0.241,545.2 +/- 633.5,1927 +/- 1472,1.942e+06 +/- 2.268e+06
notch_20x15,notch,1063--1064,492--493,8,5,level4_t6_faithful_hano_12case_notch_20x15,265.1 +/- 119.5,2.668 +/- 1.179,1.009 +/- 0.006379,64.29 +/- 52.06,16.57 +/- 3.045,1.005 +/- 0.00507,0.4124 +/- 0.2409,0.408 +/- 0.2811,212.5 +/- 154.1,2096 +/- 1972,1.816e+06 +/- 2.785e+06
