Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
Faithful HANO strain-stress spectral-window NO,Cyclic disp. rel. L2,219.265,112.312,204.699,188.392,253.171,64.7795,50.8347,399.227,5
Faithful HANO strain-stress spectral-window NO,Cyclic history rel. L2,1.94011,0.771201,1.79439,1.3517,2.75658,1.40488,0.914994,2.88287,5
Faithful HANO strain-stress spectral-window NO,History-increment rel. L2,1.00812,0.00718851,1.0083,1.00408,1.01319,0.00911069,0.997124,1.01789,5
Faithful HANO strain-stress spectral-window NO,Eqp increment rel. L2,57.2902,30.4881,60.3736,32.4175,62.2489,29.8314,21.8122,109.599,5
Faithful HANO strain-stress spectral-window NO,Plastic-work inc. rel. L2,22.6514,19.1251,17.4435,4.11704,39.8634,35.7464,2.0353,49.7978,5
Faithful HANO strain-stress spectral-window NO,Reversal hist-inc. rel. L2,1.00993,0.00356955,1.00843,1.00792,1.01221,0.00428605,1.00546,1.01561,5
Faithful HANO strain-stress spectral-window NO,Reversal yield-flag MAE,0.512841,0.0322022,0.532178,0.484663,0.539328,0.0546646,0.464271,0.543766,5
Faithful HANO strain-stress spectral-window NO,Yield-surface RMS,0.347863,0.289679,0.327621,0.124847,0.433509,0.308661,0.00853603,0.8448,5
Faithful HANO strain-stress spectral-window NO,Plastic-work violation abs.,0.00251383,0.00225001,0.00270552,0.000282952,0.00299661,0.00271366,0.000221615,0.00636245,5
Faithful HANO strain-stress spectral-window NO,Plastic-work violation target-norm.,93.839,83.9909,100.995,10.5624,111.861,101.299,8.27269,237.504,5
Faithful HANO strain-stress spectral-window NO,Plastic-work violation pred-norm.,16.0016,19.5711,4.73565,0.594165,23.1026,22.5084,0.205724,51.3697,5
Faithful HANO strain-stress spectral-window NO,HANO strain rel. L2,60.564,55.9163,37.3725,30.6717,54.3828,23.7112,11.433,168.96,5
Faithful HANO strain-stress spectral-window NO,HANO stress rel. L2,12.6225,2.4336,11.0688,11.0025,13.9163,2.91382,10.3118,16.813,5
Faithful HANO strain-stress spectral-window NO,FEM residual rel. RMS,1444.2,1679.95,649.718,599.407,828.225,228.818,353.302,4790.36,5
Faithful HANO strain-stress spectral-window NO,FEM energy rel. err.,2.01204e+06,3.57329e+06,242033,238337,358780,120443,64906.9,9.15615e+06,5
