Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
Faithful HANO strain-stress spectral-window NO,Cyclic disp. rel. L2,257.296,83.6602,209.658,192.956,284.747,91.7914,189.422,409.696,5
Faithful HANO strain-stress spectral-window NO,Cyclic history rel. L2,2.66047,1.03942,2.30559,1.96467,2.57854,0.613872,1.78737,4.66618,5
Faithful HANO strain-stress spectral-window NO,History-increment rel. L2,1.00532,0.0040134,1.00308,1.00302,1.00989,0.00687015,1.00033,1.01026,5
Faithful HANO strain-stress spectral-window NO,Eqp increment rel. L2,144.58,78.7236,141.376,65.7288,218.003,152.274,50.5825,247.21,5
Faithful HANO strain-stress spectral-window NO,Plastic-work inc. rel. L2,47.1219,44.7418,28.6227,7.99887,74.3589,66.36,3.43835,121.191,5
Faithful HANO strain-stress spectral-window NO,Reversal hist-inc. rel. L2,1.00369,0.002297,1.00286,1.00189,1.00433,0.0024389,1.0015,1.00785,5
Faithful HANO strain-stress spectral-window NO,Reversal yield-flag MAE,0.37065,0.262219,0.179539,0.153731,0.680374,0.526643,0.137441,0.702163,5
Faithful HANO strain-stress spectral-window NO,Yield-surface RMS,0.24233,0.237599,0.168787,0.142724,0.198287,0.0555634,0.00349914,0.698354,5
Faithful HANO strain-stress spectral-window NO,Plastic-work violation abs.,0.00239078,0.00193925,0.00220416,0.000563494,0.00450719,0.0039437,1.73208e-07,0.00467888,5
Faithful HANO strain-stress spectral-window NO,Plastic-work violation target-norm.,256.403,207.977,236.389,60.4327,483.38,422.947,0.0185759,501.793,5
Faithful HANO strain-stress spectral-window NO,Plastic-work violation pred-norm.,34.5798,52.611,4.13316,2.0977,28.9842,26.8865,0.000249096,137.684,5
Faithful HANO strain-stress spectral-window NO,HANO strain rel. L2,94.4432,94.8987,51.5893,45.9099,76.57,30.6601,17.6416,280.505,5
Faithful HANO strain-stress spectral-window NO,HANO stress rel. L2,14.2258,1.35311,14.1335,13.4108,15.0395,1.62879,12.2958,16.2493,5
Faithful HANO strain-stress spectral-window NO,FEM residual rel. RMS,3235.23,4055.69,1471.33,1108.1,1607.07,498.974,669.167,11320.5,5
Faithful HANO strain-stress spectral-window NO,FEM energy rel. err.,6.84694e+06,1.24633e+07,869765,543531,902830,359298,151011,3.17676e+07,5
