Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
QP-thermo-hard HistoryGNO,Cyclic disp. rel. L2,1882.26,0,1882.26,1882.26,1882.26,0,1882.26,1882.26,1
QP-thermo-hard HistoryGNO,Cyclic history rel. L2,1.67123,0,1.67123,1.67123,1.67123,0,1.67123,1.67123,1
QP-thermo-hard HistoryGNO,History-increment rel. L2,1.00136,0,1.00136,1.00136,1.00136,0,1.00136,1.00136,1
QP-thermo-hard HistoryGNO,QP history rel. L2,2.56281,0,2.56281,2.56281,2.56281,0,2.56281,2.56281,1
QP-thermo-hard HistoryGNO,QP history-inc. rel. L2,1.00283,0,1.00283,1.00283,1.00283,0,1.00283,1.00283,1
QP-thermo-hard HistoryGNO,Eqp increment rel. L2,66.0142,0,66.0142,66.0142,66.0142,0,66.0142,66.0142,1
QP-thermo-hard HistoryGNO,Plastic-work inc. rel. L2,104.454,0,104.454,104.454,104.454,0,104.454,104.454,1
QP-thermo-hard HistoryGNO,Reversal hist-inc. rel. L2,1.00124,0,1.00124,1.00124,1.00124,0,1.00124,1.00124,1
QP-thermo-hard HistoryGNO,Reversal yield-flag MAE,0.765766,0,0.765766,0.765766,0.765766,0,0.765766,0.765766,1
QP-thermo-hard HistoryGNO,Yield-surface RMS,5.72931e-08,0,5.72931e-08,5.72931e-08,5.72931e-08,0,5.72931e-08,5.72931e-08,1
QP-thermo-hard HistoryGNO,Plastic-work violation abs.,0,0,0,0,0,0,0,0,1
QP-thermo-hard HistoryGNO,Plastic-work violation target-norm.,0,0,0,0,0,0,0,0,1
QP-thermo-hard HistoryGNO,Plastic-work violation pred-norm.,0,0,0,0,0,0,0,0,1
QP-thermo-hard HistoryGNO,FEM residual rel. RMS,454.824,0,454.824,454.824,454.824,0,454.824,454.824,1
QP-thermo-hard HistoryGNO,FEM energy rel. err.,114610,0,114610,114610,114610,0,114610,114610,1
