Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
QP-thermo-hard HistoryGNO,Cyclic disp. rel. L2,1228.99,0,1228.99,1228.99,1228.99,0,1228.99,1228.99,1
QP-thermo-hard HistoryGNO,Cyclic history rel. L2,1.67476,0,1.67476,1.67476,1.67476,0,1.67476,1.67476,1
QP-thermo-hard HistoryGNO,History-increment rel. L2,1.00174,0,1.00174,1.00174,1.00174,0,1.00174,1.00174,1
QP-thermo-hard HistoryGNO,QP history rel. L2,2.56754,0,2.56754,2.56754,2.56754,0,2.56754,2.56754,1
QP-thermo-hard HistoryGNO,QP history-inc. rel. L2,1.00361,0,1.00361,1.00361,1.00361,0,1.00361,1.00361,1
QP-thermo-hard HistoryGNO,Eqp increment rel. L2,77.0724,0,77.0724,77.0724,77.0724,0,77.0724,77.0724,1
QP-thermo-hard HistoryGNO,Plastic-work inc. rel. L2,129.783,0,129.783,129.783,129.783,0,129.783,129.783,1
QP-thermo-hard HistoryGNO,Reversal hist-inc. rel. L2,1.00165,0,1.00165,1.00165,1.00165,0,1.00165,1.00165,1
QP-thermo-hard HistoryGNO,Reversal yield-flag MAE,0.765766,0,0.765766,0.765766,0.765766,0,0.765766,0.765766,1
QP-thermo-hard HistoryGNO,Yield-surface RMS,5.75191e-08,0,5.75191e-08,5.75191e-08,5.75191e-08,0,5.75191e-08,5.75191e-08,1
QP-thermo-hard HistoryGNO,Plastic-work violation abs.,0,0,0,0,0,0,0,0,1
QP-thermo-hard HistoryGNO,Plastic-work violation target-norm.,0,0,0,0,0,0,0,0,1
QP-thermo-hard HistoryGNO,Plastic-work violation pred-norm.,0,0,0,0,0,0,0,0,1
QP-thermo-hard HistoryGNO,FEM residual rel. RMS,336.019,0,336.019,336.019,336.019,0,336.019,336.019,1
QP-thermo-hard HistoryGNO,FEM energy rel. err.,40555.1,0,40555.1,40555.1,40555.1,0,40555.1,40555.1,1
