Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
QP-thermo-hard HistoryGNO,Cyclic disp. rel. L2,75.0897,20.2375,71.1334,70.684,92.4322,21.7482,41.6891,99.51,5
QP-thermo-hard HistoryGNO,Cyclic history rel. L2,1.17057,0.00707024,1.17351,1.16641,1.177,0.0105815,1.15878,1.17718,5
QP-thermo-hard HistoryGNO,History-increment rel. L2,0.99922,0.000869673,0.999584,0.99864,0.999962,0.00132161,0.997812,1.0001,5
QP-thermo-hard HistoryGNO,QP history rel. L2,1.94291,0.0126619,1.94857,1.93765,1.95362,0.0159734,1.92053,1.95415,5
QP-thermo-hard HistoryGNO,QP history-inc. rel. L2,0.999785,0.000503189,1.0001,0.999656,1.00014,0.000479996,0.998852,1.00018,5
QP-thermo-hard HistoryGNO,Eqp increment rel. L2,3.84634,0.688219,3.95715,3.34928,4.54296,1.19368,2.80362,4.5787,5
QP-thermo-hard HistoryGNO,Plastic-work inc. rel. L2,3.99259,0.757891,4.22674,3.42321,4.70138,1.27816,2.82581,4.78582,5
QP-thermo-hard HistoryGNO,Reversal hist-inc. rel. L2,1.00056,0.00116424,0.99989,0.99988,1.00034,0.000454903,0.99985,1.00286,5
QP-thermo-hard HistoryGNO,Reversal yield-flag MAE,0.45643,0.000497048,0.456198,0.456006,0.456658,0.000651985,0.455988,0.457299,5
QP-thermo-hard HistoryGNO,Yield-surface RMS,1.51392e-05,1.40965e-05,1.10867e-05,1.76741e-06,2.67545e-05,2.49871e-05,6.40648e-08,3.60235e-05,5
QP-thermo-hard HistoryGNO,Plastic-work violation abs.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,Plastic-work violation target-norm.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,Plastic-work violation pred-norm.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,FEM residual rel. RMS,82.1138,66.3069,55.1482,30.514,101.886,71.3722,20.7523,202.269,5
QP-thermo-hard HistoryGNO,FEM energy rel. err.,5233.55,7658.37,1507.01,1184.21,2783.62,1599.4,230.056,20462.9,5
