Model,Metric,Rule,Lower,Upper,Outlier count,Outlier seeds,Mean,Std,Median,IQR,Min,Max
QP-thermo-hard HistoryGNO,Cyclic history rel. L2,1.5*IQR,1.42744,1.43087,2,20260520=1.42019; 20260521=1.43122,1.42782,0.00390089,1.42938,0.0008564,1.42019,1.43122
QP-thermo-hard HistoryGNO,History-increment rel. L2,1.5*IQR,0.999967,1.00018,2,20260520=0.999676; 20260521=1.00019,1.00002,0.000177273,1.00008,5.20945e-05,0.999676,1.00019
QP-thermo-hard HistoryGNO,QP history rel. L2,1.5*IQR,2.29833,2.30283,2,20260520=2.28546; 20260521=2.30313,2.29812,0.00641575,2.30088,0.00112414,2.28546,2.30313
QP-thermo-hard HistoryGNO,QP history-inc. rel. L2,1.5*IQR,0.999924,1.00036,1,20260521=1.0004,1.00016,0.000146353,1.00016,0.00010848,0.999951,1.0004
QP-thermo-hard HistoryGNO,Eqp increment rel. L2,1.5*IQR,-1.61193,15.9643,1,20260521=16.4625,8.65536,4.34499,8.18794,4.39406,4.27405,16.4625
QP-thermo-hard HistoryGNO,Plastic-work inc. rel. L2,1.5*IQR,-2.3013,17.1899,1,20260521=18.5262,9.24946,5.0824,8.49613,4.87281,4.3363,18.5262
QP-thermo-hard HistoryGNO,Reversal hist-inc. rel. L2,1.5*IQR,0.999963,1.00014,2,20260520=0.998509; 20260521=1.00016,0.999766,0.000630056,1.00006,4.43459e-05,0.998509,1.00016
QP-thermo-hard HistoryGNO,Reversal yield-flag MAE,1.5*IQR,0.730863,0.730881,1,20260520=0.729411,0.730581,0.000584688,0.730874,4.41074e-06,0.729411,0.730874
QP-thermo-hard HistoryGNO,Yield-surface RMS,1.5*IQR,-1.43666e-07,3.92547e-07,1,20260520=1.94003e-05,3.95331e-06,7.72367e-06,6.02472e-08,1.34053e-07,5.71222e-08,1.94003e-05
QP-thermo-hard HistoryGNO,FEM residual rel. RMS,1.5*IQR,7.22167,90.5673,1,20260520=198.167,73.5436,63.3608,47.5594,20.8364,24.2028,198.167
QP-thermo-hard HistoryGNO,FEM energy rel. err.,1.5*IQR,-3803.32,9185.45,1,20260520=16322.5,4773.65,5943.82,2097.51,3247.19,66.1264,16322.5
