Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
QP-thermo-hard HistoryGNO,Cyclic disp. rel. L2,49.8719,22.8538,46.6481,26.544,73.5181,46.9741,23.9976,78.6516,5
QP-thermo-hard HistoryGNO,Cyclic history rel. L2,0.95715,0.123378,1.0555,0.837347,1.05711,0.219763,0.778234,1.05755,5
QP-thermo-hard HistoryGNO,History-increment rel. L2,1.01338,0.0267144,1.00008,1.00005,1.00011,5.04255e-05,0.999861,1.06681,5
QP-thermo-hard HistoryGNO,QP history rel. L2,1.70573,0.145582,1.813,1.63341,1.81553,0.182114,1.45074,1.81599,5
QP-thermo-hard HistoryGNO,QP history-inc. rel. L2,1.04623,0.0922513,1.00015,1.00014,1.0002,5.94854e-05,0.99993,1.23073,5
QP-thermo-hard HistoryGNO,Eqp increment rel. L2,5.11614,1.59967,4.75872,4.21805,5.79936,1.58131,3.03269,7.77186,5
QP-thermo-hard HistoryGNO,Plastic-work inc. rel. L2,5.53317,1.82171,5.07828,4.55261,6.24151,1.68891,3.18946,8.60398,5
QP-thermo-hard HistoryGNO,Reversal hist-inc. rel. L2,1.00018,0.000441834,1.00014,1.00005,1.0002,0.000155091,0.999583,1.00095,5
QP-thermo-hard HistoryGNO,Reversal yield-flag MAE,0.455467,0.0198077,0.439533,0.439176,0.479726,0.0405503,0.439175,0.479726,5
QP-thermo-hard HistoryGNO,Yield-surface RMS,0.0590018,0.0758688,6.75387e-06,4.85979e-08,0.11094,0.11094,4.59553e-08,0.184062,5
QP-thermo-hard HistoryGNO,Plastic-work violation abs.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,Plastic-work violation target-norm.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,Plastic-work violation pred-norm.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,FEM residual rel. RMS,53.7801,26.2964,46.6898,39.4272,48.5054,9.0782,29.6125,104.666,5
QP-thermo-hard HistoryGNO,FEM energy rel. err.,2307.78,1767.28,1619.25,1018.67,2855.05,1836.38,557.398,5488.52,5
