Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
QP-thermo-hard HistoryGNO,Cyclic disp. rel. L2,76.1149,34.7193,72.6695,39.9873,102.541,62.5535,38.3865,126.99,5
QP-thermo-hard HistoryGNO,Cyclic history rel. L2,1.07111,0.12325,1.13364,1.12886,1.13398,0.00512159,0.824645,1.13443,5
QP-thermo-hard HistoryGNO,History-increment rel. L2,0.999619,0.00105472,1.00009,1.00007,1.00012,4.14848e-05,0.997515,1.0003,5
QP-thermo-hard HistoryGNO,QP history rel. L2,1.79657,0.153513,1.87467,1.86776,1.87519,0.00742769,1.48959,1.87562,5
QP-thermo-hard HistoryGNO,QP history-inc. rel. L2,0.999842,0.00103641,1.00016,1.00014,1.00021,7.30753e-05,0.997838,1.00085,5
QP-thermo-hard HistoryGNO,Eqp increment rel. L2,4.47723,1.12506,4.1573,3.91481,5.05955,1.14474,2.96502,6.28949,5
QP-thermo-hard HistoryGNO,Plastic-work inc. rel. L2,4.78169,1.25224,4.41135,4.11982,5.43661,1.3168,3.13114,6.80951,5
QP-thermo-hard HistoryGNO,Reversal hist-inc. rel. L2,1.00004,0.000336425,1.00019,1.00008,1.00022,0.000136495,0.99939,1.00033,5
QP-thermo-hard HistoryGNO,Reversal yield-flag MAE,0.466931,0.010151,0.461679,0.461674,0.462412,0.000737756,0.461667,0.487225,5
QP-thermo-hard HistoryGNO,Yield-surface RMS,0.0334214,0.0668339,4.692e-07,4.11154e-07,1.67867e-05,1.63755e-05,6.72944e-08,0.167089,5
QP-thermo-hard HistoryGNO,Plastic-work violation abs.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,Plastic-work violation target-norm.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,Plastic-work violation pred-norm.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,FEM residual rel. RMS,61.356,50.6997,38.5184,33.757,41.136,7.37897,30.8665,162.502,5
QP-thermo-hard HistoryGNO,FEM energy rel. err.,5750.49,8257.78,1749.64,1061.2,3040.97,1979.77,711.582,22189.1,5
