Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
QP-thermo-hard HistoryGNO,Cyclic disp. rel. L2,105.766,27.223,100.536,97.9994,127.457,29.4572,61.9883,140.849,5
QP-thermo-hard HistoryGNO,Cyclic history rel. L2,1.33379,0.00528876,1.33678,1.32852,1.33721,0.00869465,1.32649,1.33996,5
QP-thermo-hard HistoryGNO,History-increment rel. L2,0.999938,0.000126341,0.9999,0.999823,1.00002,0.000200391,0.999804,1.00014,5
QP-thermo-hard HistoryGNO,QP history rel. L2,2.15168,0.00847678,2.15632,2.14166,2.15765,0.0159957,2.14136,2.16143,5
QP-thermo-hard HistoryGNO,QP history-inc. rel. L2,1.00013,0.000129928,1.00014,1.00007,1.00018,0.00011611,0.999944,1.00034,5
QP-thermo-hard HistoryGNO,Eqp increment rel. L2,4.17204,0.67437,4.02309,3.84651,4.20901,0.3625,3.37871,5.40288,5
QP-thermo-hard HistoryGNO,Plastic-work inc. rel. L2,4.12524,0.710782,3.95584,3.82019,4.15036,0.330168,3.27689,5.42292,5
QP-thermo-hard HistoryGNO,Reversal hist-inc. rel. L2,0.99911,0.000763891,0.999511,0.998438,0.999588,0.00114983,0.997992,1.00002,5
QP-thermo-hard HistoryGNO,Reversal yield-flag MAE,0.716445,0.000395957,0.716557,0.716146,0.716645,0.000499904,0.715872,0.717004,5
QP-thermo-hard HistoryGNO,Yield-surface RMS,1.53469e-05,1.08124e-05,9.97618e-06,8.3326e-06,2.66913e-05,1.83587e-05,2.13308e-06,2.96014e-05,5
QP-thermo-hard HistoryGNO,Plastic-work violation abs.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,Plastic-work violation target-norm.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,Plastic-work violation pred-norm.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,FEM residual rel. RMS,97.0385,67.4664,68.1152,52.2899,123.085,70.7951,25.7012,216.001,5
QP-thermo-hard HistoryGNO,FEM energy rel. err.,6745.39,8742.81,2939.29,2212.37,4167.68,1955.31,352.32,24055.3,5
