case,load_path,metric,mean,std
strict,cyclic,displacement_loss,462.6426086425781,0.0
strict,cyclic,displacement_relative_l2,21.50912857055664,0.0
strict,cyclic,eq_plastic_strain_increment_relative_l2,11884391424.0,0.0
strict,cyclic,eq_plastic_strain_relative_l2,1.2275303602218628,0.0
strict,cyclic,final_displacement_relative_l2,31.414936065673828,0.0
strict,cyclic,final_eq_plastic_strain_relative_l2,1.7539609670639038,0.0
strict,cyclic,final_history_relative_l2,32.08861541748047,0.0
strict,cyclic,final_plastic_multiplier_increment_relative_l2,12101312512.0,0.0
strict,cyclic,final_plastic_work_relative_l2,1.9413431882858276,0.0
strict,cyclic,final_von_mises_relative_l2,4.2673020362854,0.0
strict,cyclic,final_yield_flag_mae,1.0,0.0
strict,cyclic,history_increment_relative_l2,1.0020908117294312,0.0
strict,cyclic,history_loss,1.9608663320541382,0.0
strict,cyclic,history_relative_l2,1.4003093242645264,0.0
strict,cyclic,loss_elastic_overstress,6.485547640383213e-14,0.0
strict,cyclic,loss_plastic_work_lower_bound,0.0,0.0
strict,cyclic,loss_yield_surface,1.3430488004281121e-13,0.0
strict,cyclic,plastic_multiplier_increment_relative_l2,1.4207208156585693,0.0
strict,cyclic,plastic_work_increment_relative_l2,1552926208.0,0.0
strict,cyclic,plastic_work_relative_l2,1.3220075368881226,0.0
strict,cyclic,predicted_elastic_overstress_relative_violation,0.0,0.0
strict,cyclic,predicted_eq_plastic_strain_monotonic_violation,0.0,0.0
strict,cyclic,predicted_max_eq_plastic_strain,0.033544912934303284,0.0
strict,cyclic,predicted_mean_plastic_work,0.0023544507566839457,0.0
strict,cyclic,predicted_negative_plastic_multiplier_violation,0.0,0.0
strict,cyclic,predicted_plastic_work_lower_bound_absolute_violation,0.0,0.0
strict,cyclic,predicted_plastic_work_lower_bound_relative_violation,0.0,0.0
strict,cyclic,predicted_plastic_work_lower_bound_target_normalized_violation,0.0,0.0
strict,cyclic,predicted_plastic_work_monotonic_violation,0.0,0.0
strict,cyclic,predicted_yield_flag_bounds_violation,0.0,0.0
strict,cyclic,predicted_yield_surface_relative_rms,4.923386427435616e-07,0.0
strict,cyclic,reversal_eqp_increment_relative_l2,0.0,0.0
strict,cyclic,reversal_fraction,0.0,0.0
strict,cyclic,reversal_history_increment_relative_l2,0.0,0.0
strict,cyclic,reversal_plastic_work_increment_relative_l2,0.0,0.0
strict,cyclic,reversal_yield_flag_mae,0.0,0.0
strict,cyclic,target_elastic_overstress_relative_violation,0.0,0.0
strict,cyclic,target_eq_plastic_strain_monotonic_violation,0.0,0.0
strict,cyclic,target_max_eq_plastic_strain,0.019142281264066696,0.0
strict,cyclic,target_mean_plastic_work,0.001123173744417727,0.0
strict,cyclic,target_negative_plastic_multiplier_violation,0.0,0.0
strict,cyclic,target_path_newton_residual_relative,1.0741608142852783,0.0
strict,cyclic,target_path_newton_residual_rms,0.01986587792634964,0.0
strict,cyclic,target_plastic_work_lower_bound_absolute_violation,0.0,0.0
strict,cyclic,target_plastic_work_lower_bound_relative_violation,0.0,0.0
strict,cyclic,target_plastic_work_lower_bound_target_normalized_violation,0.0,0.0
strict,cyclic,target_plastic_work_monotonic_violation,0.0,0.0
strict,cyclic,target_yield_flag_bounds_violation,0.0,0.0
strict,cyclic,target_yield_surface_relative_rms,1.3143009347516e-08,0.0
strict,cyclic,total_loss,1.4365033654986473e+19,0.0
strict,cyclic,von_mises_relative_l2,0.742100715637207,0.0
strict,cyclic,yield_flag_mae,0.6666666865348816,0.0
strict,monotonic,displacement_loss,32.123870849609375,0.0
strict,monotonic,displacement_relative_l2,5.667792320251465,0.0
strict,monotonic,eq_plastic_strain_increment_relative_l2,0.798509955406189,0.0
strict,monotonic,eq_plastic_strain_relative_l2,0.7449058890342712,0.0
strict,monotonic,final_displacement_relative_l2,5.142446041107178,0.0
