Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
True differentiable J2 QP-HistoryGNO,Cyclic disp. rel. L2,97.588,40.3028,80.9752,68.1064,134.672,66.5655,49.3647,154.822,5
True differentiable J2 QP-HistoryGNO,Cyclic history rel. L2,0.997292,0.0334177,1.01941,0.988934,1.02092,0.0319886,0.935196,1.022,5
True differentiable J2 QP-HistoryGNO,History-increment rel. L2,1.2667,0.121979,1.21008,1.20841,1.27307,0.0646672,1.14509,1.49683,5
True differentiable J2 QP-HistoryGNO,QP history rel. L2,1.47528,0.179782,1.49658,1.36501,1.62921,0.264194,1.19462,1.69099,5
True differentiable J2 QP-HistoryGNO,QP history-inc. rel. L2,1.65642,0.202815,1.60054,1.59703,1.78357,0.186541,1.34816,1.95278,5
True differentiable J2 QP-HistoryGNO,QP eqp rel. L2,2.92157,1.62273,2.61187,1.48378,4.22589,2.74211,0.997981,5.28835,5
True differentiable J2 QP-HistoryGNO,QP plastic-work rel. L2,3.0857,1.7856,2.74989,1.49007,4.44511,2.95504,0.997751,5.74568,5
True differentiable J2 QP-HistoryGNO,QP von-Mises rel. L2,0.728997,0.0546308,0.699729,0.69047,0.770219,0.0797497,0.669727,0.814842,5
True differentiable J2 QP-HistoryGNO,QP reversal scalar-inc. rel. L2,1.5121,0.329943,1.42251,1.41005,1.48324,0.0731921,1.12197,2.12271,5
True differentiable J2 QP-HistoryGNO,QP reversal eqp-inc. rel. L2,1.54392,0.482762,1.67778,1.04364,1.69374,0.650095,0.999834,2.30459,5
True differentiable J2 QP-HistoryGNO,QP reversal work-inc. rel. L2,1.60296,0.546297,1.73967,1.04358,1.7486,0.705014,0.999511,2.48344,5
True differentiable J2 QP-HistoryGNO,QP reversal yield MAE,0.481259,0.25129,0.440629,0.264664,0.653791,0.389127,0.181688,0.865522,5
True differentiable J2 QP-HistoryGNO,QP inactive false plasticity,0.356785,0.0952443,0.366389,0.319511,0.436609,0.117098,0.196275,0.465139,5
True differentiable J2 QP-HistoryGNO,True-J2 consistency rel. RMS,0.288823,0.145068,0.235117,0.181343,0.396788,0.215445,0.11831,0.512556,5
True differentiable J2 QP-HistoryGNO,True-J2 active consistency rel. RMS,5.20321e-08,1.99834e-08,6.08776e-08,3.59707e-08,6.52562e-08,2.92855e-08,2.19397e-08,7.61161e-08,5
True differentiable J2 QP-HistoryGNO,True-J2 negative dgamma,0,0,0,0,0,0,0,0,5
True differentiable J2 QP-HistoryGNO,True-J2 active QP frac.,0.547117,0.256077,0.512482,0.445499,0.766526,0.321027,0.141702,0.869374,5
True differentiable J2 QP-HistoryGNO,Eqp increment rel. L2,3.67273,2.13054,3.48329,1.82859,5.12996,3.30137,1.04804,6.87379,5
True differentiable J2 QP-HistoryGNO,Plastic-work inc. rel. L2,3.92041,2.4104,3.61614,1.85064,5.40083,3.55019,1.04437,7.69007,5
True differentiable J2 QP-HistoryGNO,Reversal hist-inc. rel. L2,1.6312,0.461303,1.48506,1.42662,1.52136,0.0947403,1.19716,2.52582,5
True differentiable J2 QP-HistoryGNO,Reversal yield-flag MAE,0.494984,0.0666781,0.457103,0.448195,0.548054,0.0998593,0.423347,0.598218,5
True differentiable J2 QP-HistoryGNO,Yield-surface RMS,0.0392438,0.009626,0.0444008,0.0319843,0.0462445,0.0142602,0.0240865,0.0495029,5
True differentiable J2 QP-HistoryGNO,Plastic-work violation abs.,7.6025e-08,1.28255e-07,1.15554e-08,1.10676e-09,3.62588e-08,3.5152e-08,0,3.31204e-07,5
True differentiable J2 QP-HistoryGNO,Plastic-work violation target-norm.,0.00376314,0.00634846,0.000571977,5.47831e-05,0.00179476,0.00173998,0,0.0163942,5
True differentiable J2 QP-HistoryGNO,Plastic-work violation pred-norm.,0.000676183,0.00115052,0.000150168,3.21357e-05,0.000227183,0.000195047,0,0.00297143,5
True differentiable J2 QP-HistoryGNO,FEM residual rel. RMS,19.6253,9.19232,18.5222,12.6534,29.1837,16.5303,7.04707,30.7201,5
True differentiable J2 QP-HistoryGNO,FEM energy rel. err.,329.306,293.2,287.322,124.503,311.547,187.045,42.7595,880.396,5
True differentiable J2 QP-HistoryGNO,FEM tangent-solver rel. RMS,196.715,81.3649,168.134,134.554,285.737,151.182,96.3482,298.804,5
True differentiable J2 QP-HistoryGNO,Newton initial residual rel. RMS,18.4538,8.65546,16.8014,12.1621,28.2051,16.0431,6.6978,28.4025,5
True differentiable J2 QP-HistoryGNO,Newton final residual rel. RMS,9.76865e-09,9.52197e-09,2.56336e-09,2.53103e-09,1.76257e-08,1.50947e-08,1.53724e-09,2.45859e-08,5
True differentiable J2 QP-HistoryGNO,Newton residual ratio,6.71285e-10,6.60522e-10,2.13551e-10,1.52826e-10,1.18895e-09,1.03612e-09,8.50692e-11,1.71604e-09,5
True differentiable J2 QP-HistoryGNO,Newton residual decrease frac.,1,0,1,1,1,0,1,1,5
True differentiable J2 QP-HistoryGNO,Newton step decrease frac.,0.997061,0.000739227,0.997212,0.996428,0.997674,0.0012458,0.996013,0.997975,5
True differentiable J2 QP-HistoryGNO,Newton step 1 residual ratio,2.00306e-05,9.76611e-06,2.25457e-05,9.92772e-06,3.01052e-05,2.01774e-05,7.30024e-06,3.02742e-05,5
True differentiable J2 QP-HistoryGNO,Newton step 2 residual ratio,1.03426e-07,7.99724e-08,6.74627e-08,3.10604e-08,1.86099e-07,1.55038e-07,2.06409e-08,2.11868e-07,5
True differentiable J2 QP-HistoryGNO,Newton step 3 residual ratio,6.71285e-10,6.60522e-10,2.13551e-10,1.52826e-10,1.18895e-09,1.03612e-09,8.50692e-11,1.71604e-09,5
True differentiable J2 QP-HistoryGNO,Newton step 1 decrease frac.,0.99998,9.78279e-06,0.999977,0.99997,0.99999,2.0206e-05,0.99997,0.999993,5
True differentiable J2 QP-HistoryGNO,Newton step 2 decrease frac.,1,1.06624e-07,1,1,1,2.38419e-07,1,1,5
True differentiable J2 QP-HistoryGNO,Newton step 3 decrease frac.,1,0,1,1,1,0,1,1,5
True differentiable J2 QP-HistoryGNO,Newton correction rel. norm,1.76777,1.19477,1.15294,0.910308,1.83955,0.929238,0.880861,4.0552,5
