Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
True differentiable J2 QP-HistoryGNO,Cyclic disp. rel. L2,114.382,49.7177,109.504,107.865,123.083,15.2171,37.5827,193.875,5
True differentiable J2 QP-HistoryGNO,Cyclic history rel. L2,1.00123,0.00750225,0.998395,0.99475,1.00615,0.0114008,0.993502,1.01337,5
True differentiable J2 QP-HistoryGNO,History-increment rel. L2,1.2478,0.137577,1.27719,1.23119,1.32656,0.0953748,0.998179,1.40586,5
True differentiable J2 QP-HistoryGNO,QP history rel. L2,1.4794,0.244576,1.5654,1.55784,1.63179,0.0739543,0.99531,1.64665,5
True differentiable J2 QP-HistoryGNO,QP history-inc. rel. L2,1.61979,0.3066,1.72449,1.70909,1.74985,0.0407542,1.02092,1.89461,5
True differentiable J2 QP-HistoryGNO,QP eqp rel. L2,2.63436,1.06718,2.96562,1.92303,3.20648,1.28344,1.00001,4.07666,5
True differentiable J2 QP-HistoryGNO,QP plastic-work rel. L2,2.73238,1.15319,3.07763,1.94758,3.29186,1.34428,1.00001,4.34484,5
True differentiable J2 QP-HistoryGNO,QP von-Mises rel. L2,0.71791,0.0697937,0.738479,0.719138,0.763977,0.0448393,0.58522,0.782736,5
True differentiable J2 QP-HistoryGNO,QP reversal scalar-inc. rel. L2,1.55095,0.316919,1.56431,1.51851,1.60514,0.0866261,1.03469,2.03209,5
True differentiable J2 QP-HistoryGNO,QP reversal eqp-inc. rel. L2,1.49861,0.398651,1.49213,1.12123,1.85582,0.734589,0.99997,2.02389,5
True differentiable J2 QP-HistoryGNO,QP reversal work-inc. rel. L2,1.53826,0.436198,1.51761,1.12518,1.92916,0.803972,0.999972,2.11941,5
True differentiable J2 QP-HistoryGNO,QP reversal yield MAE,0.446066,0.271757,0.297568,0.266094,0.509299,0.243205,0.207439,0.949928,5
True differentiable J2 QP-HistoryGNO,QP inactive false plasticity,0.341981,0.157471,0.398707,0.397061,0.440311,0.0432501,0.0295656,0.444261,5
True differentiable J2 QP-HistoryGNO,True-J2 consistency rel. RMS,0.280277,0.164836,0.217422,0.151907,0.29565,0.143742,0.144903,0.591504,5
True differentiable J2 QP-HistoryGNO,True-J2 active consistency rel. RMS,4.59225e-08,2.49929e-08,5.62513e-08,4.09017e-08,6.08589e-08,1.99573e-08,0,7.16005e-08,5
True differentiable J2 QP-HistoryGNO,True-J2 negative dgamma,0,0,0,0,0,0,0,0,5
True differentiable J2 QP-HistoryGNO,True-J2 active QP frac.,0.566631,0.291707,0.636955,0.61199,0.781821,0.169831,0.00281294,0.799578,5
True differentiable J2 QP-HistoryGNO,Eqp increment rel. L2,3.64853,1.82038,4.27704,2.28871,4.44482,2.15611,0.999892,6.23221,5
True differentiable J2 QP-HistoryGNO,Plastic-work inc. rel. L2,3.84488,2.03209,4.43843,2.33215,4.53785,2.2057,0.999901,6.91606,5
True differentiable J2 QP-HistoryGNO,Reversal hist-inc. rel. L2,1.68328,0.41906,1.65267,1.54485,1.9645,0.419647,1.00566,2.2487,5
True differentiable J2 QP-HistoryGNO,Reversal yield-flag MAE,0.489076,0.0582092,0.490389,0.43835,0.502578,0.0642288,0.424754,0.589311,5
True differentiable J2 QP-HistoryGNO,Yield-surface RMS,0.0325614,0.0153595,0.0356681,0.032823,0.0374857,0.00466269,0.00484378,0.0519864,5
True differentiable J2 QP-HistoryGNO,Plastic-work violation abs.,3.40452e-08,4.31113e-08,1.91363e-08,5.8605e-09,2.71066e-08,2.12461e-08,0,1.18123e-07,5
