Model,Metric,Rule,Lower,Upper,Outlier count,Outlier seeds,Mean,Std,Median,IQR,Min,Max
True differentiable J2 QP-HistoryGNO,Cyclic disp. rel. L2,1.5*IQR,36.1493,62.5155,1,20260519=80.2839,54.5512,13.2579,50.3334,6.59155,43.4739,80.2839
True differentiable J2 QP-HistoryGNO,Cyclic history rel. L2,1.5*IQR,0.941762,1.07627,1,20260518=0.940028,1.00105,0.0338391,1.01152,0.0336281,0.940028,1.03569
True differentiable J2 QP-HistoryGNO,QP history rel. L2,1.5*IQR,1.15856,1.94232,1,20260520=1.09773,1.48028,0.211669,1.50315,0.195938,1.09773,1.69963
True differentiable J2 QP-HistoryGNO,QP inactive false plasticity,1.5*IQR,0.229619,0.575067,1,20260520=0.142888,0.356516,0.114765,0.368259,0.086362,0.142888,0.466747
True differentiable J2 QP-HistoryGNO,True-J2 active QP frac.,1.5*IQR,0.129395,1.18143,1,20260520=0.0982771,0.565541,0.269833,0.545534,0.26301,0.0982771,0.873066
True differentiable J2 QP-HistoryGNO,Plastic-work violation abs.,1.5*IQR,-2.07327e-08,4.40378e-08,1,20260521=3.21486e-07,7.28073e-08,1.24597e-07,1.92459e-08,1.61926e-08,0,3.21486e-07
True differentiable J2 QP-HistoryGNO,Plastic-work violation target-norm.,1.5*IQR,-0.00102624,0.00217981,1,20260521=0.0159131,0.00360387,0.00616737,0.000952647,0.000801513,0,0.0159131
True differentiable J2 QP-HistoryGNO,Plastic-work violation pred-norm.,1.5*IQR,-0.000156907,0.000529907,1,20260521=0.00236124,0.000589017,0.000891012,0.000210844,0.000171703,0,0.00236124
True differentiable J2 QP-HistoryGNO,FEM residual rel. RMS,1.5*IQR,1.1413,31.1611,1,20260521=33.5109,17.6102,9.49387,17.4882,7.50494,4.74941,33.5109
True differentiable J2 QP-HistoryGNO,FEM energy rel. err.,1.5*IQR,-73.3035,470.771,1,20260521=601.16,254.628,193.679,247.758,136.019,26.7535,601.16
True differentiable J2 QP-HistoryGNO,FEM tangent-solver rel. RMS,1.5*IQR,58.5596,130.612,1,20260519=151.425,100.627,27.8494,93.7743,18.0131,68.7632,151.425
True differentiable J2 QP-HistoryGNO,Newton initial residual rel. RMS,1.5*IQR,0.324622,31.075,1,20260521=32.4713,16.9178,9.23553,16.1041,7.6876,4.61396,32.4713
True differentiable J2 QP-HistoryGNO,Newton final residual rel. RMS,1.5*IQR,0.000239461,0.000326787,2,20260517=0.000639649; 20260520=0.000208646,0.000341112,0.00015241,0.000291018,2.18315e-05,0.000208646,0.000639649
True differentiable J2 QP-HistoryGNO,Newton correction rel. norm,1.5*IQR,0.854954,2.90233,1,20260517=3.8871,2.10946,0.942309,1.74831,0.511843,1.15461,3.8871
