Model,Metric,Rule,Lower,Upper,Outlier count,Outlier seeds,Mean,Std,Median,IQR,Min,Max
True differentiable J2 QP-HistoryGNO,History-increment rel. L2,1.5*IQR,1.026,1.3617,1,20260520=0.999983,1.18564,0.107023,1.22118,0.0839257,0.999983,1.31936
True differentiable J2 QP-HistoryGNO,QP eqp rel. L2,1.5*IQR,0.15084,3.04698,1,20260517=3.07788,1.7644,0.731299,1.54629,0.724036,1,3.07788
True differentiable J2 QP-HistoryGNO,QP plastic-work rel. L2,1.5*IQR,0.163837,3.02925,1,20260517=3.10469,1.76644,0.741149,1.5344,0.716353,1,3.10469
True differentiable J2 QP-HistoryGNO,QP reversal eqp-inc. rel. L2,1.5*IQR,0.837794,1.27034,1,20260517=1.70209,1.155,0.27784,1.00322,0.108137,0.961579,1.70209
True differentiable J2 QP-HistoryGNO,QP reversal work-inc. rel. L2,1.5*IQR,0.856374,1.23938,1,20260517=1.73435,1.15904,0.29093,1.00022,0.0957508,0.964882,1.73435
True differentiable J2 QP-HistoryGNO,QP inactive false plasticity,1.5*IQR,0.0393301,0.628958,1,20260520=0,0.30454,0.166204,0.39072,0.147407,0,0.463693
True differentiable J2 QP-HistoryGNO,True-J2 consistency rel. RMS,1.5*IQR,-0.123081,0.683707,1,20260520=0.891542,0.36373,0.27962,0.263687,0.201697,0.102797,0.891542
True differentiable J2 QP-HistoryGNO,True-J2 active consistency rel. RMS,1.5*IQR,3.2786e-08,6.16164e-08,2,20260517=6.27071e-08; 20260520=0,4.04601e-08,2.13129e-08,4.5191e-08,7.2076e-09,0,6.27071e-08
True differentiable J2 QP-HistoryGNO,Reversal yield-flag MAE,1.5*IQR,0.428812,0.61544,1,20260517=0.424242,0.52102,0.0567592,0.544012,0.0466571,0.424242,0.592593
True differentiable J2 QP-HistoryGNO,Yield-surface RMS,1.5*IQR,0.00894807,0.0662195,1,20260520=0,0.0329791,0.0174315,0.0434036,0.0143178,0,0.0463244
True differentiable J2 QP-HistoryGNO,Newton final residual rel. RMS,1.5*IQR,3.39445e-06,0.000413968,1,20260517=0.000760409,0.000281015,0.000254176,0.00021723,0.000102643,1.00739e-05,0.000760409
True differentiable J2 QP-HistoryGNO,Newton residual ratio,1.5*IQR,-1.41861e-05,5.18019e-05,1,20260517=5.65159e-05,2.61051e-05,1.70018e-05,2.69386e-05,1.6497e-05,9.45536e-06,5.65159e-05
True differentiable J2 QP-HistoryGNO,Newton residual decrease frac.,1.5*IQR,0.999948,1.00001,1,20260517=0.999943,0.999974,1.69955e-05,0.999973,1.65105e-05,0.999943,0.999991
True differentiable J2 QP-HistoryGNO,Newton step decrease frac.,1.5*IQR,0.999948,1.00001,1,20260517=0.999943,0.999974,1.69955e-05,0.999973,1.65105e-05,0.999943,0.999991
True differentiable J2 QP-HistoryGNO,Newton step 1 residual ratio,1.5*IQR,-1.41861e-05,5.18019e-05,1,20260517=5.65159e-05,2.61051e-05,1.70018e-05,2.69386e-05,1.6497e-05,9.45536e-06,5.65159e-05
True differentiable J2 QP-HistoryGNO,Newton step 1 decrease frac.,1.5*IQR,0.999948,1.00001,1,20260517=0.999943,0.999974,1.69955e-05,0.999973,1.65105e-05,0.999943,0.999991
True differentiable J2 QP-HistoryGNO,Newton correction rel. norm,1.5*IQR,-0.207422,2.52839,1,20260517=3.91064,1.48324,1.30567,1.14089,0.683952,0.0437275,3.91064
