Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
True differentiable J2 QP-HistoryGNO,Cyclic disp. rel. L2,60.8123,41.1927,32.0691,29.7322,110.256,80.5238,20.2118,111.792,5
True differentiable J2 QP-HistoryGNO,Cyclic history rel. L2,1.0389,0.0330146,1.04208,1.00567,1.06736,0.0616878,0.997717,1.08167,5
True differentiable J2 QP-HistoryGNO,History-increment rel. L2,1.18564,0.107023,1.22118,1.15189,1.23581,0.0839257,0.999983,1.31936,5
True differentiable J2 QP-HistoryGNO,QP history rel. L2,1.51121,0.300784,1.68019,1.36076,1.68418,0.323419,0.995397,1.83553,5
True differentiable J2 QP-HistoryGNO,QP history-inc. rel. L2,1.53998,0.312136,1.60378,1.43196,1.76455,0.332585,0.999968,1.89965,5
True differentiable J2 QP-HistoryGNO,QP eqp rel. L2,1.7644,0.731299,1.54629,1.23689,1.96093,0.724036,1,3.07788,5
True differentiable J2 QP-HistoryGNO,QP plastic-work rel. L2,1.76644,0.741149,1.5344,1.23837,1.95472,0.716353,1,3.10469,5
True differentiable J2 QP-HistoryGNO,QP von-Mises rel. L2,0.759449,0.0708233,0.737991,0.727681,0.803362,0.0756807,0.660091,0.868122,5
True differentiable J2 QP-HistoryGNO,QP reversal scalar-inc. rel. L2,1.46339,0.291046,1.48766,1.33674,1.61955,0.282808,1,1.87302,5
True differentiable J2 QP-HistoryGNO,QP reversal eqp-inc. rel. L2,1.155,0.27784,1.00322,1,1.10814,0.108137,0.961579,1.70209,5
True differentiable J2 QP-HistoryGNO,QP reversal work-inc. rel. L2,1.15904,0.29093,1.00022,1,1.09575,0.0957508,0.964882,1.73435,5
True differentiable J2 QP-HistoryGNO,QP reversal yield MAE,0.501887,0.253632,0.404088,0.341195,0.704403,0.363208,0.180818,0.878931,5
True differentiable J2 QP-HistoryGNO,QP inactive false plasticity,0.30454,0.166204,0.39072,0.260441,0.407847,0.147407,0,0.463693,5
True differentiable J2 QP-HistoryGNO,True-J2 consistency rel. RMS,0.36373,0.27962,0.263687,0.179464,0.381161,0.201697,0.102797,0.891542,5
True differentiable J2 QP-HistoryGNO,True-J2 active consistency rel. RMS,4.04601e-08,2.13129e-08,4.5191e-08,4.35974e-08,5.0805e-08,7.2076e-09,0,6.27071e-08,5
True differentiable J2 QP-HistoryGNO,True-J2 negative dgamma,0,0,0,0,0,0,0,0,5
True differentiable J2 QP-HistoryGNO,True-J2 active QP frac.,0.48355,0.310316,0.617424,0.263348,0.671356,0.408009,0,0.86562,5
True differentiable J2 QP-HistoryGNO,Eqp increment rel. L2,2.07712,0.807221,2.13253,1.46835,2.44802,0.979669,1,3.33673,5
True differentiable J2 QP-HistoryGNO,Plastic-work inc. rel. L2,2.07798,0.831072,2.10049,1.46208,2.40631,0.944228,1,3.42101,5
True differentiable J2 QP-HistoryGNO,Reversal hist-inc. rel. L2,1.59164,0.350226,1.6741,1.42456,1.92808,0.503516,1.00006,1.93138,5
True differentiable J2 QP-HistoryGNO,Reversal yield-flag MAE,0.52102,0.0567592,0.544012,0.498797,0.545455,0.0466571,0.424242,0.592593,5
True differentiable J2 QP-HistoryGNO,Yield-surface RMS,0.0329791,0.0174315,0.0434036,0.0304248,0.0447427,0.0143178,0,0.0463244,5
True differentiable J2 QP-HistoryGNO,Plastic-work violation abs.,3.91989e-08,4.02327e-08,1.98862e-08,1.00466e-09,8.26004e-08,8.15958e-08,0,9.2503e-08,5
True differentiable J2 QP-HistoryGNO,Plastic-work violation target-norm.,0.00146326,0.00150185,0.000742333,3.75031e-05,0.0030834,0.0030459,0,0.00345305,5
True differentiable J2 QP-HistoryGNO,Plastic-work violation pred-norm.,0.000634076,0.000682027,0.000209432,3.24226e-05,0.0014254,0.00139298,0,0.00150313,5
True differentiable J2 QP-HistoryGNO,FEM residual rel. RMS,11.5683,6.76847,9.5685,9.2536,18.9319,9.67834,1.07614,19.0111,5
True differentiable J2 QP-HistoryGNO,FEM energy rel. err.,103.358,73.7686,96.9749,58.6097,132.112,73.5021,4.79972,224.293,5
True differentiable J2 QP-HistoryGNO,FEM tangent-solver rel. RMS,112.546,79.5317,60.2443,48.2874,205.452,157.165,35.3489,213.397,5
True differentiable J2 QP-HistoryGNO,Newton initial residual rel. RMS,11.046,6.49629,9.35106,8.44578,17.8686,9.42284,1.07506,18.4896,5
