Model,Metric,Rule,Lower,Upper,Outlier count,Outlier seeds,Mean,Std,Median,IQR,Min,Max
True differentiable J2 QP-HistoryGNO,Cyclic disp. rel. L2,1.5*IQR,21.2771,179.751,1,20260520=10.2154,91.0445,43.5511,116.038,39.6186,10.2154,127.94
True differentiable J2 QP-HistoryGNO,QP reversal eqp-inc. rel. L2,1.5*IQR,0.874667,1.18432,1,20260517=1.28078,1.05962,0.11622,1,0.0774121,0.958342,1.28078
True differentiable J2 QP-HistoryGNO,QP reversal work-inc. rel. L2,1.5*IQR,0.891898,1.15241,1,20260517=1.29147,1.05915,0.120138,1,0.0651276,0.959961,1.29147
True differentiable J2 QP-HistoryGNO,True-J2 consistency rel. RMS,1.5*IQR,-0.15018,0.737331,1,20260520=0.860831,0.380959,0.256394,0.305801,0.221878,0.151011,0.860831
True differentiable J2 QP-HistoryGNO,True-J2 active consistency rel. RMS,1.5*IQR,1.93473e-08,6.36753e-08,1,20260520=0,3.6907e-08,1.95733e-08,4.50099e-08,1.1082e-08,0,5.65026e-08
True differentiable J2 QP-HistoryGNO,Yield-surface RMS,1.5*IQR,0.00465574,0.0708166,1,20260520=0,0.0327513,0.0175731,0.0405753,0.0165402,0,0.0477086
True differentiable J2 QP-HistoryGNO,FEM tangent-solver rel. RMS,1.5*IQR,31.9434,347.362,1,20260520=19.6296,172.82,82.922,225.731,78.8547,19.6296,239.436
True differentiable J2 QP-HistoryGNO,Newton final residual rel. RMS,1.5*IQR,-8.36023e-06,0.00036464,1,20260517=0.000717879,0.000258444,0.000240004,0.000195732,9.32502e-05,2.23275e-05,0.000717879
True differentiable J2 QP-HistoryGNO,Newton residual ratio,1.5*IQR,1.22467e-05,4.53297e-05,2,20260517=4.99713e-05; 20260518=9.17114e-06,2.96191e-05,1.31985e-05,3.13765e-05,8.27074e-06,9.17114e-06,4.99713e-05
True differentiable J2 QP-HistoryGNO,Newton residual decrease frac.,1.5*IQR,0.999955,0.999988,2,20260517=0.99995; 20260518=0.999991,0.99997,1.31856e-05,0.999969,8.22544e-06,0.99995,0.999991
True differentiable J2 QP-HistoryGNO,Newton step decrease frac.,1.5*IQR,0.999955,0.999988,2,20260517=0.99995; 20260518=0.999991,0.99997,1.31856e-05,0.999969,8.22544e-06,0.99995,0.999991
True differentiable J2 QP-HistoryGNO,Newton step 1 residual ratio,1.5*IQR,1.22467e-05,4.53297e-05,2,20260517=4.99713e-05; 20260518=9.17114e-06,2.96191e-05,1.31985e-05,3.13765e-05,8.27074e-06,9.17114e-06,4.99713e-05
True differentiable J2 QP-HistoryGNO,Newton step 1 decrease frac.,1.5*IQR,0.999955,0.999988,2,20260517=0.99995; 20260518=0.999991,0.99997,1.31856e-05,0.999969,8.22544e-06,0.99995,0.999991
True differentiable J2 QP-HistoryGNO,Newton correction rel. norm,1.5*IQR,0.118027,1.63621,2,20260517=3.64296; 20260520=0.085582,1.29736,1.22323,1.00401,0.379547,0.085582,3.64296
