Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
True differentiable J2 QP-HistoryGNO,Cyclic disp. rel. L2,91.0445,43.5511,116.038,80.705,120.324,39.6186,10.2154,127.94,5
True differentiable J2 QP-HistoryGNO,Cyclic history rel. L2,1.0101,0.0426022,1.01194,0.996988,1.03601,0.0390249,0.93905,1.06649,5
True differentiable J2 QP-HistoryGNO,History-increment rel. L2,1.19853,0.125957,1.20348,1.12917,1.31551,0.186341,0.999876,1.34462,5
True differentiable J2 QP-HistoryGNO,QP history rel. L2,1.44178,0.292392,1.5125,1.22768,1.71207,0.484394,0.993936,1.76272,5
True differentiable J2 QP-HistoryGNO,QP history-inc. rel. L2,1.57535,0.362447,1.71471,1.33627,1.81054,0.474266,0.99978,2.01542,5
True differentiable J2 QP-HistoryGNO,QP eqp rel. L2,1.5498,0.493675,1.47665,1.0926,1.84645,0.75385,1,2.33332,5
True differentiable J2 QP-HistoryGNO,QP plastic-work rel. L2,1.54458,0.488625,1.46723,1.09592,1.8382,0.742281,1,2.32157,5
True differentiable J2 QP-HistoryGNO,QP von-Mises rel. L2,0.729578,0.0667782,0.746076,0.6869,0.765266,0.0783661,0.627653,0.821994,5
True differentiable J2 QP-HistoryGNO,QP reversal scalar-inc. rel. L2,1.4876,0.353197,1.5311,1.21466,1.68406,0.469398,1,2.00818,5
True differentiable J2 QP-HistoryGNO,QP reversal eqp-inc. rel. L2,1.05962,0.11622,1,0.990785,1.0682,0.0774121,0.958342,1.28078,5
True differentiable J2 QP-HistoryGNO,QP reversal work-inc. rel. L2,1.05915,0.120138,1,0.989589,1.05472,0.0651276,0.959961,1.29147,5
True differentiable J2 QP-HistoryGNO,QP reversal yield MAE,0.544654,0.257755,0.437107,0.349057,0.820755,0.471698,0.237421,0.878931,5
True differentiable J2 QP-HistoryGNO,QP inactive false plasticity,0.278111,0.162635,0.343837,0.195439,0.415109,0.21967,0,0.436169,5
