Ablation,Ablation id,Solver mode,Newton damping,Newton steps,Line search,Regularization,Model,Load path,Metric,Metric label,Mean,Std,Median,IQR,Seeds,Source
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,cyclic,displacement_relative_l2,rollout disp rel L2,60.8123,41.1927,32.0691,80.5238,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,cyclic,final_displacement_relative_l2,final disp rel L2,286.365,205.712,155.839,405.007,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,cyclic,qp_history_relative_l2,QP history rel L2,1.51121,0.300784,1.68019,0.323419,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,cyclic,qp_history_increment_relative_l2,QP history-inc rel L2,1.53998,0.312136,1.60378,0.332585,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,cyclic,qp_reversal_eqp_increment_relative_l2,QP reversal eqp-inc rel L2,1.155,0.27784,1.00322,0.108137,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,cyclic,qp_reversal_plastic_work_increment_relative_l2,QP reversal work-inc rel L2,1.15904,0.29093,1.00022,0.0957508,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,cyclic,qp_reversal_yield_flag_mae,QP reversal yield MAE,0.501887,0.253632,0.404088,0.363208,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,cyclic,fem_residual_relative_rms,FEM residual rel RMS,11.5683,6.76847,9.5685,9.67834,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,cyclic,fem_energy_relative_error,FEM energy rel err,103.358,73.7686,96.9749,73.5021,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,cyclic,fem_solver_linearized_residual_relative_rms,FEM tangent-solver rel RMS,112.546,79.5317,60.2443,157.165,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
