Model,Metric,Rule,Lower,Upper,Outlier count,Outlier seeds,Mean,Std,Median,IQR,Min,Max
True differentiable J2 QP-HistoryGNO,QP history-inc. rel. L2,1.5*IQR,1.13963,1.7013,1,20260520=1.00013,1.34931,0.191043,1.3548,0.140418,1.00013,1.55068
True differentiable J2 QP-HistoryGNO,QP von-Mises rel. L2,1.5*IQR,0.602078,0.872263,1,20260519=0.585081,0.724573,0.0764723,0.763665,0.0675461,0.585081,0.799775
True differentiable J2 QP-HistoryGNO,QP reversal eqp-inc. rel. L2,1.5*IQR,0.735799,1.44148,1,20260518=1.52798,1.15989,0.195492,1.09421,0.176421,1,1.52798
True differentiable J2 QP-HistoryGNO,QP reversal work-inc. rel. L2,1.5*IQR,0.762367,1.39695,1,20260518=1.49589,1.14838,0.18364,1.08667,0.158647,1,1.49589
True differentiable J2 QP-HistoryGNO,True-J2 consistency rel. RMS,1.5*IQR,-0.164194,0.727043,1,20260520=0.802896,0.351107,0.243422,0.261304,0.222809,0.128484,0.802896
True differentiable J2 QP-HistoryGNO,Eqp increment rel. L2,1.5*IQR,-0.40396,3.41205,1,20260518=3.5163,1.885,0.915416,1.90062,0.954002,1,3.5163
True differentiable J2 QP-HistoryGNO,Plastic-work inc. rel. L2,1.5*IQR,-0.31166,3.24846,1,20260518=3.4252,1.84168,0.882127,1.84637,0.89003,1,3.4252
True differentiable J2 QP-HistoryGNO,Newton final residual rel. RMS,1.5*IQR,-1.80832e-09,8.17443e-09,1,20260518=1.85143e-08,5.7019e-09,6.50957e-09,2.73314e-09,2.49569e-09,8.95945e-10,1.85143e-08
True differentiable J2 QP-HistoryGNO,Newton residual ratio,1.5*IQR,-1.10139e-10,9.43863e-10,1,20260518=2.12366e-09,7.17603e-10,7.10022e-10,3.62225e-10,2.635e-10,2.68411e-10,2.12366e-09
True differentiable J2 QP-HistoryGNO,Newton step decrease frac.,1.5*IQR,0.994698,0.999351,1,20260520=0.988962,0.99571,0.00341245,0.997566,0.00116324,0.988962,0.997973
True differentiable J2 QP-HistoryGNO,Newton step 2 residual ratio,1.5*IQR,-5.27456e-08,2.79925e-07,1,20260518=3.75643e-07,1.4146e-07,1.25722e-07,9.25819e-08,8.31676e-08,1.18957e-08,3.75643e-07
True differentiable J2 QP-HistoryGNO,Newton step 3 residual ratio,1.5*IQR,-1.10139e-10,9.43863e-10,1,20260518=2.12366e-09,7.17603e-10,7.10022e-10,3.62225e-10,2.635e-10,2.68411e-10,2.12366e-09
