Model,Metric,Rule,Lower,Upper,Outlier count,Outlier seeds,Mean,Std,Median,IQR,Min,Max
True differentiable J2 QP-HistoryGNO,Cyclic disp. rel. L2,1.5*IQR,-21.6219,213.337,1,20260518=323.094,133.171,100.682,117.103,58.7397,33.9456,323.094
True differentiable J2 QP-HistoryGNO,History-increment rel. L2,1.5*IQR,0.983024,1.20782,1,20260519=1.20991,1.09865,0.0689073,1.09247,0.056198,1.00004,1.20991
True differentiable J2 QP-HistoryGNO,QP history-inc. rel. L2,1.5*IQR,1.19227,1.67832,1,20260520=1.00008,1.38132,0.204719,1.43533,0.121511,1.00008,1.6006
True differentiable J2 QP-HistoryGNO,QP reversal scalar-inc. rel. L2,1.5*IQR,0.90901,1.15165,2,20260517=0.75; 20260521=1.16231,1.00536,0.138042,1.05384,0.0606601,0.75,1.16231
True differentiable J2 QP-HistoryGNO,QP reversal eqp-inc. rel. L2,1.5*IQR,0.817209,1.30465,1,20260518=1.34204,1.09274,0.133297,1.00173,0.12186,0.998092,1.34204
True differentiable J2 QP-HistoryGNO,QP reversal work-inc. rel. L2,1.5*IQR,0.833238,1.27794,1,20260518=1.3216,1.08649,0.125214,1.0015,0.111175,0.998161,1.3216
True differentiable J2 QP-HistoryGNO,QP reversal yield MAE,1.5*IQR,0.348732,0.631341,1,20260518=0.34058,0.483696,0.083357,0.509058,0.0706522,0.34058,0.588768
True differentiable J2 QP-HistoryGNO,QP inactive false plasticity,1.5*IQR,0.0210449,0.632271,1,20260520=0,0.271673,0.155093,0.264018,0.152807,0,0.441031
True differentiable J2 QP-HistoryGNO,True-J2 consistency rel. RMS,1.5*IQR,-0.112914,0.681021,1,20260520=0.792713,0.363882,0.231638,0.317939,0.198484,0.140655,0.792713
True differentiable J2 QP-HistoryGNO,True-J2 active consistency rel. RMS,1.5*IQR,6.07523e-11,5.3564e-08,1,20260520=0,2.49968e-08,1.49142e-08,2.66507e-08,1.33758e-08,0,4.47084e-08
True differentiable J2 QP-HistoryGNO,Reversal hist-inc. rel. L2,1.5*IQR,1.01394,1.20071,1,20260520=1,1.09819,0.0537392,1.12497,0.0466942,1,1.15134
True differentiable J2 QP-HistoryGNO,Plastic-work violation abs.,1.5*IQR,-1.40784e-08,2.53213e-08,1,20260518=3.29151e-08,9.05244e-09,1.25428e-08,1.10413e-09,9.84993e-09,0,3.29151e-08
True differentiable J2 QP-HistoryGNO,Plastic-work violation target-norm.,1.5*IQR,-0.000865779,0.00155719,1,20260518=0.00202418,0.000556699,0.000771343,6.79008e-05,0.000605742,0,0.00202418
True differentiable J2 QP-HistoryGNO,Plastic-work violation pred-norm.,1.5*IQR,-0.000249074,0.000639564,1,20260518=0.000677728,0.000242531,0.000239579,0.000144438,0.000222159,0,0.000677728
True differentiable J2 QP-HistoryGNO,FEM tangent-solver rel. RMS,1.5*IQR,-57.9212,542.726,1,20260518=808.315,333.796,251.534,289.528,150.162,86.3334,808.315
True differentiable J2 QP-HistoryGNO,Newton residual ratio,1.5*IQR,9.20291e-06,4.04007e-05,2,20260517=0.000126102; 20260520=8.49622e-06,4.16534e-05,4.27521e-05,2.40653e-05,7.79944e-06,8.49622e-06,0.000126102
True differentiable J2 QP-HistoryGNO,Newton residual decrease frac.,1.5*IQR,0.999959,0.999991,2,20260517=0.999874; 20260520=0.999992,0.999958,4.27665e-05,0.999976,7.86781e-06,0.999874,0.999992
True differentiable J2 QP-HistoryGNO,Newton step decrease frac.,1.5*IQR,0.999959,0.999991,2,20260517=0.999874; 20260520=0.999992,0.999958,4.27665e-05,0.999976,7.86781e-06,0.999874,0.999992
True differentiable J2 QP-HistoryGNO,Newton step 1 residual ratio,1.5*IQR,9.20291e-06,4.04007e-05,2,20260517=0.000126102; 20260520=8.49622e-06,4.16534e-05,4.27521e-05,2.40653e-05,7.79944e-06,8.49622e-06,0.000126102
True differentiable J2 QP-HistoryGNO,Newton step 1 decrease frac.,1.5*IQR,0.999959,0.999991,2,20260517=0.999874; 20260520=0.999992,0.999958,4.27665e-05,0.999976,7.86781e-06,0.999874,0.999992
