Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
True differentiable J2 QP-HistoryGNO,Cyclic disp. rel. L2,137.525,47.5321,117.343,102.296,162.12,59.8244,87.4805,218.387,5
True differentiable J2 QP-HistoryGNO,Cyclic history rel. L2,1.09823,0.103138,1.07886,1.00103,1.13953,0.138497,0.996531,1.27519,5
True differentiable J2 QP-HistoryGNO,History-increment rel. L2,1.10113,0.0576204,1.12352,1.08536,1.12378,0.0384169,1.00015,1.17283,5
True differentiable J2 QP-HistoryGNO,QP history rel. L2,1.53664,0.419453,1.72184,1.10915,1.75949,0.650334,0.992822,2.0999,5
True differentiable J2 QP-HistoryGNO,QP history-inc. rel. L2,1.37193,0.221855,1.47155,1.25739,1.4936,0.236203,1.00031,1.6368,5
True differentiable J2 QP-HistoryGNO,QP eqp rel. L2,1.37503,0.371282,1.26933,1,1.71138,0.711382,0.992305,1.90212,5
True differentiable J2 QP-HistoryGNO,QP plastic-work rel. L2,1.348,0.345827,1.24696,1,1.65637,0.656373,0.993081,1.84359,5
True differentiable J2 QP-HistoryGNO,QP von-Mises rel. L2,0.71315,0.0859235,0.742114,0.71582,0.752616,0.0367959,0.551143,0.804058,5
True differentiable J2 QP-HistoryGNO,QP reversal scalar-inc. rel. L2,1.01902,0.0984049,1,0.94054,1.03311,0.092566,0.922476,1.19896,5
True differentiable J2 QP-HistoryGNO,QP reversal eqp-inc. rel. L2,1.07461,0.0695078,1.0642,1.00006,1.14457,0.144517,1,1.16421,5
True differentiable J2 QP-HistoryGNO,QP reversal work-inc. rel. L2,1.06728,0.0630093,1.05632,1.00004,1.1328,0.132752,1,1.14722,5
True differentiable J2 QP-HistoryGNO,QP reversal yield MAE,0.439855,0.0881292,0.400362,0.367754,0.525362,0.157609,0.342391,0.563406,5
True differentiable J2 QP-HistoryGNO,QP inactive false plasticity,0.254774,0.165771,0.337535,0.12659,0.359313,0.232723,0,0.450431,5
True differentiable J2 QP-HistoryGNO,True-J2 consistency rel. RMS,0.379707,0.233948,0.315286,0.273864,0.453385,0.179521,0.0757133,0.780289,5
True differentiable J2 QP-HistoryGNO,True-J2 active consistency rel. RMS,2.34858e-08,1.3279e-08,2.92779e-08,1.82587e-08,3.31403e-08,1.48816e-08,0,3.67521e-08,5
True differentiable J2 QP-HistoryGNO,True-J2 negative dgamma,0,0,0,0,0,0,0,0,5
True differentiable J2 QP-HistoryGNO,True-J2 active QP frac.,0.368169,0.297309,0.462773,0.0686475,0.507172,0.438525,0,0.802254,5
True differentiable J2 QP-HistoryGNO,Eqp increment rel. L2,1.61429,0.54736,1.59515,1.01565,2.19208,1.17643,1,2.26857,5
True differentiable J2 QP-HistoryGNO,Plastic-work inc. rel. L2,1.57922,0.520177,1.54627,1.01357,2.13118,1.11761,1,2.2051,5
True differentiable J2 QP-HistoryGNO,Reversal hist-inc. rel. L2,1.06898,0.08482,1.06444,1.00004,1.12264,0.122604,0.960315,1.19747,5
True differentiable J2 QP-HistoryGNO,Reversal yield-flag MAE,0.395902,0.108197,0.358834,0.320128,0.458106,0.137978,0.269126,0.573315,5
True differentiable J2 QP-HistoryGNO,Yield-surface RMS,0.0266423,0.0215567,0.0204859,0.0113506,0.0410555,0.029705,0,0.0603196,5
True differentiable J2 QP-HistoryGNO,Plastic-work violation abs.,8.94145e-10,8.411e-10,6.91585e-10,6.08491e-11,1.59467e-09,1.53382e-09,0,2.12362e-09,5
True differentiable J2 QP-HistoryGNO,Plastic-work violation target-norm.,5.49873e-05,5.17252e-05,4.25305e-05,3.74204e-06,9.80678e-05,9.43257e-05,0,0.000130596,5
True differentiable J2 QP-HistoryGNO,Plastic-work violation pred-norm.,3.7459e-05,3.53313e-05,2.05083e-05,1.64894e-05,4.99468e-05,3.34574e-05,0,0.00010035,5
True differentiable J2 QP-HistoryGNO,FEM residual rel. RMS,9.27224,4.29826,11.2623,5.80903,11.3899,5.58087,2.9613,14.9387,5
True differentiable J2 QP-HistoryGNO,FEM energy rel. err.,142.716,80.0032,159.346,106.608,177.53,70.9227,14.4412,255.657,5
True differentiable J2 QP-HistoryGNO,FEM tangent-solver rel. RMS,345.441,118.256,288.603,258.192,419.727,161.535,220.459,540.223,5
True differentiable J2 QP-HistoryGNO,Newton initial residual rel. RMS,8.88586,4.08799,10.5785,5.78812,10.684,4.89589,2.86754,14.5111,5
True differentiable J2 QP-HistoryGNO,Newton final residual rel. RMS,0.000374592,0.000312371,0.000263038,0.000177378,0.000487968,0.00031059,2.25127e-05,0.000922064,5
True differentiable J2 QP-HistoryGNO,Newton residual ratio,4.38019e-05,3.77118e-05,2.99685e-05,2.62914e-05,3.81088e-05,1.18173e-05,8.03111e-06,0.00011661,5
True differentiable J2 QP-HistoryGNO,Newton residual decrease frac.,0.999956,3.76985e-05,0.99997,0.999962,0.999974,1.18613e-05,0.999883,0.999992,5
True differentiable J2 QP-HistoryGNO,Newton step decrease frac.,0.999956,3.76985e-05,0.99997,0.999962,0.999974,1.18613e-05,0.999883,0.999992,5
True differentiable J2 QP-HistoryGNO,Newton step 1 residual ratio,4.38019e-05,3.77118e-05,2.99685e-05,2.62914e-05,3.81088e-05,1.18173e-05,8.03111e-06,0.00011661,5
True differentiable J2 QP-HistoryGNO,Newton step 1 decrease frac.,0.999956,3.76985e-05,0.99997,0.999962,0.999974,1.18613e-05,0.999883,0.999992,5
True differentiable J2 QP-HistoryGNO,Newton correction rel. norm,2.46418,2.06891,1.97309,0.865188,3.35654,2.49136,0.139807,5.98626,5
True differentiable J2 QP-HistoryGNO,Newton accepted damping,1,0,1,1,1,0,1,1,5
True differentiable J2 QP-HistoryGNO,Newton convergence rate,1,0,1,1,1,0,1,1,5
True differentiable J2 QP-HistoryGNO,Newton failure rate,0,0,0,0,0,0,0,0,5
