Ablation,Model,Load path,Metric,No-solver mean,Ablation mean,Mean improvement,Mean improvement %,Mean improved,No-solver median,Ablation median,Median improvement,Median improvement %,Median improved
Tangent-linearized solver loss,hgo_qp_true_j2,cyclic,displacement_relative_l2,133.171,132.931,0.24,0.180219,yes,117.103,111.841,5.262,4.49348,yes
Tangent-linearized solver loss,hgo_qp_true_j2,cyclic,final_displacement_relative_l2,901.625,887.368,14.257,1.58126,yes,791.036,747.017,44.019,5.56473,yes
Tangent-linearized solver loss,hgo_qp_true_j2,cyclic,qp_history_relative_l2,1.56931,1.64518,-0.07587,-4.83461,no,1.44659,1.95064,-0.50405,-34.844,no
Tangent-linearized solver loss,hgo_qp_true_j2,cyclic,qp_history_increment_relative_l2,1.38132,1.18721,0.19411,14.0525,yes,1.43533,1.09743,0.3379,23.5416,yes
Tangent-linearized solver loss,hgo_qp_true_j2,cyclic,qp_reversal_eqp_increment_relative_l2,1.09274,1.09613,-0.00339,-0.310229,no,1.00173,1.026,-0.02427,-2.42281,no
Tangent-linearized solver loss,hgo_qp_true_j2,cyclic,qp_reversal_plastic_work_increment_relative_l2,1.08649,1.08753,-0.00104,-0.0957211,no,1.0015,1.02328,-0.02178,-2.17474,no
Tangent-linearized solver loss,hgo_qp_true_j2,cyclic,qp_reversal_yield_flag_mae,0.483696,0.456884,0.026812,5.54315,yes,0.509058,0.476449,0.032609,6.40575,yes
Tangent-linearized solver loss,hgo_qp_true_j2,cyclic,fem_residual_relative_rms,10.18,10.195,-0.015,-0.147348,no,8.51417,12.4502,-3.93603,-46.2292,no
Tangent-linearized solver loss,hgo_qp_true_j2,cyclic,fem_energy_relative_error,159.589,162.958,-3.369,-2.11105,no,67.5485,186.538,-118.99,-176.154,no
Tangent-linearized solver loss,hgo_qp_true_j2,cyclic,fem_solver_linearized_residual_relative_rms,333.796,3.38007,330.416,98.9874,yes,289.528,3.65792,285.87,98.7366,yes
Tangent-linearized solver loss,hgo_qp_true_j2,monotonic,displacement_relative_l2,150.115,149.962,0.153,0.101922,yes,132.005,125.88,6.125,4.63998,yes
Tangent-linearized solver loss,hgo_qp_true_j2,monotonic,final_displacement_relative_l2,195.608,192.523,3.085,1.57713,yes,171.835,161.38,10.455,6.08433,yes
Tangent-linearized solver loss,hgo_qp_true_j2,monotonic,qp_history_relative_l2,1.89193,1.94718,-0.05525,-2.9203,no,1.81272,2.43857,-0.62585,-34.5255,no
Tangent-linearized solver loss,hgo_qp_true_j2,monotonic,qp_history_increment_relative_l2,2.29735,1.65514,0.64221,27.9544,yes,2.54097,1.36254,1.17843,46.3772,yes
Tangent-linearized solver loss,hgo_qp_true_j2,monotonic,qp_reversal_eqp_increment_relative_l2,0,0,0,,no,0,0,0,,no
Tangent-linearized solver loss,hgo_qp_true_j2,monotonic,qp_reversal_plastic_work_increment_relative_l2,0,0,0,,no,0,0,0,,no
Tangent-linearized solver loss,hgo_qp_true_j2,monotonic,qp_reversal_yield_flag_mae,0,0,0,,no,0,0,0,,no
Tangent-linearized solver loss,hgo_qp_true_j2,monotonic,fem_residual_relative_rms,9.8043,9.82697,-0.02267,-0.231225,no,8.22466,11.8495,-3.62484,-44.0728,no
Tangent-linearized solver loss,hgo_qp_true_j2,monotonic,fem_energy_relative_error,67.808,33.2476,34.5604,50.968,yes,36.803,24.1061,12.6969,34.4996,yes
Tangent-linearized solver loss,hgo_qp_true_j2,monotonic,fem_solver_linearized_residual_relative_rms,136.492,2.35313,134.139,98.276,yes,117.312,3.22477,114.087,97.2511,yes
Tangent-linearized solver loss,hgo_qp_true_j2,nonproportional,displacement_relative_l2,118.553,118.302,0.251,0.21172,yes,104.369,99.278,5.091,4.87789,yes
Tangent-linearized solver loss,hgo_qp_true_j2,nonproportional,final_displacement_relative_l2,161.242,158.606,2.636,1.63481,yes,141.735,132.876,8.859,6.2504,yes
Tangent-linearized solver loss,hgo_qp_true_j2,nonproportional,qp_history_relative_l2,1.42269,1.46371,-0.04102,-2.88327,no,1.38718,1.70379,-0.31661,-22.824,no
Tangent-linearized solver loss,hgo_qp_true_j2,nonproportional,qp_history_increment_relative_l2,2.06285,1.53854,0.52431,25.4168,yes,2.18047,1.28958,0.89089,40.8577,yes
Tangent-linearized solver loss,hgo_qp_true_j2,nonproportional,qp_reversal_eqp_increment_relative_l2,0,0,0,,no,0,0,0,,no
Tangent-linearized solver loss,hgo_qp_true_j2,nonproportional,qp_reversal_plastic_work_increment_relative_l2,0,0,0,,no,0,0,0,,no
Tangent-linearized solver loss,hgo_qp_true_j2,nonproportional,qp_reversal_yield_flag_mae,0,0,0,,no,0,0,0,,no
