Model,Load path,Seeds,Disp. rel. L2,History rel. L2,History-increment rel. L2,QP history rel. L2,QP history-inc. rel. L2,QP eqp rel. L2,QP plastic-work rel. L2,QP von-Mises rel. L2,QP reversal scalar-inc. rel. L2,QP reversal eqp-inc. rel. L2,QP reversal work-inc. rel. L2,QP reversal yield MAE,QP inactive false plasticity,True-J2 consistency rel. RMS,True-J2 active consistency rel. RMS,True-J2 negative dgamma,True-J2 active QP frac.,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.,HANO strain rel. L2,HANO stress rel. L2,FEM residual rel. RMS,FEM energy rel. err.,FEM tangent-solver rel. RMS,Newton initial residual rel. RMS,Newton final residual rel. RMS,Newton residual ratio,Newton residual decrease frac.,Newton step decrease frac.,Newton step 1 residual ratio,Newton step 2 residual ratio,Newton step 3 residual ratio,Newton step 1 decrease frac.,Newton step 2 decrease frac.,Newton step 3 decrease frac.,Newton correction rel. norm,Newton accepted damping,Newton convergence rate,Newton failure rate
Faithful HANO strain-stress spectral-window NO,monotonic,1,3540.6843 +/- 0.0000,4.2871 +/- 0.0000,2.0213 +/- 0.0000,,,,,,,,,,,,,,,1285.7180 +/- 0.0000,37365.5938 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0511 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,82.4265 +/- 0.0000,3.0317 +/- 0.0000,272.5446 +/- 0.0000,210.3898 +/- 0.0000,272.5446 +/- 0.0000,,,,,,,,,,,,,,,
Faithful HANO strain-stress spectral-window NO,cyclic,1,2366.0835 +/- 0.0000,3.5408 +/- 0.0000,1.2957 +/- 0.0000,,,,,,,,,,,,,,,287.7480 +/- 0.0000,8131.1206 +/- 0.0000,1.1981 +/- 0.0000,0.4482 +/- 0.0000,0.0511 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,54.7561 +/- 0.0000,2.3542 +/- 0.0000,242.5565 +/- 0.0000,186375.8438 +/- 0.0000,242.5565 +/- 0.0000,,,,,,,,,,,,,,,
INCDE-style Euler neural CDE,monotonic,1,6437.3413 +/- 0.0000,21.2735 +/- 0.0000,13.4976 +/- 0.0000,,,,,,,,,,,,,,,9453.6699 +/- 0.0000,288514.6250 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.8504 +/- 0.0000,0.9395 +/- 0.0000,66633.9219 +/- 0.0000,0.2310 +/- 0.0000,,,137.3728 +/- 0.0000,29303.1934 +/- 0.0000,137.3728 +/- 0.0000,,,,,,,,,,,,,,,
INCDE-style Euler neural CDE,cyclic,1,4301.8525 +/- 0.0000,17.3827 +/- 0.0000,6.4091 +/- 0.0000,,,,,,,,,,,,,,,2118.5986 +/- 0.0000,62787.1211 +/- 0.0000,5.3838 +/- 0.0000,0.5486 +/- 0.0000,0.8504 +/- 0.0000,0.9410 +/- 0.0000,14524.0898 +/- 0.0000,0.2313 +/- 0.0000,,,121.0085 +/- 0.0000,3328300.0000 +/- 0.0000,121.0085 +/- 0.0000,,,,,,,,,,,,,,,
TINN-style thermo-projected neural CDE,monotonic,1,6437.3413 +/- 0.0000,1.5984 +/- 0.0000,0.9999 +/- 0.0000,,,,,,,,,,,,,,,10.2181 +/- 0.0000,10.5641 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,,,137.3728 +/- 0.0000,4220.8374 +/- 0.0000,137.3728 +/- 0.0000,,,,,,,,,,,,,,,
TINN-style thermo-projected neural CDE,cyclic,1,4301.8521 +/- 0.0000,1.1740 +/- 0.0000,1.0001 +/- 0.0000,,,,,,,,,,,,,,,2.1088 +/- 0.0000,2.1205 +/- 0.0000,1.0000 +/- 0.0000,0.5588 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,,,121.0074 +/- 0.0000,51625.2773 +/- 0.0000,121.0074 +/- 0.0000,,,,,,,,,,,,,,,
Non-recurrent GNO sequence,monotonic,1,461.4759 +/- 0.0000,5.7718 +/- 0.0000,1.0027 +/- 0.0000,,,,,,,,,,,,,,,3.7641 +/- 0.0000,194.1632 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.7145 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,,,678.1857 +/- 0.0000,12061.8730 +/- 0.0000,678.1857 +/- 0.0000,,,,,,,,,,,,,,,
Non-recurrent GNO sequence,cyclic,1,308.3791 +/- 0.0000,4.6994 +/- 0.0000,0.9993 +/- 0.0000,,,,,,,,,,,,,,,0.9671 +/- 0.0000,41.3479 +/- 0.0000,0.9993 +/- 0.0000,0.5300 +/- 0.0000,0.7145 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,,,604.2097 +/- 0.0000,277253.0312 +/- 0.0000,604.2097 +/- 0.0000,,,,,,,,,,,,,,,
Static FNO sequence,monotonic,1,642.2986 +/- 0.0000,8.0434 +/- 0.0000,1.0002 +/- 0.0000,,,,,,,,,,,,,,,13.9164 +/- 0.0000,2.5431 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.6544 +/- 0.0000,0.0000 +/- 0.0000,1.0513 +/- 0.0000,0.4079 +/- 0.0000,,,19.1989 +/- 0.0000,101639.2500 +/- 0.0000,19.1989 +/- 0.0000,,,,,,,,,,,,,,,
Static FNO sequence,cyclic,1,429.2169 +/- 0.0000,6.5464 +/- 0.0000,0.9999 +/- 0.0000,,,,,,,,,,,,,,,3.5628 +/- 0.0000,1.1731 +/- 0.0000,1.0000 +/- 0.0000,0.5587 +/- 0.0000,0.6544 +/- 0.0000,0.0000 +/- 0.0000,0.4419 +/- 0.0000,0.5985 +/- 0.0000,,,17.1742 +/- 0.0000,2290965.2500 +/- 0.0000,17.1742 +/- 0.0000,,,,,,,,,,,,,,,
Static DeepONet sequence,monotonic,1,239.4973 +/- 0.0000,4.0544 +/- 0.0000,0.9989 +/- 0.0000,,,,,,,,,,,,,,,2.8165 +/- 0.0000,80.3740 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.4094 +/- 0.0000,0.0023 +/- 0.0000,163.2432 +/- 0.0000,2.0432 +/- 0.0000,,,22236.3164 +/- 0.0000,7665506.5000 +/- 0.0000,22236.3164 +/- 0.0000,,,,,,,,,,,,,,,
Static DeepONet sequence,cyclic,1,160.0600 +/- 0.0000,3.3167 +/- 0.0000,1.0003 +/- 0.0000,,,,,,,,,,,,,,,0.9569 +/- 0.0000,17.8782 +/- 0.0000,1.0003 +/- 0.0000,0.4961 +/- 0.0000,0.4094 +/- 0.0000,0.0023 +/- 0.0000,36.1494 +/- 0.0000,2.0773 +/- 0.0000,,,19820.1465 +/- 0.0000,173191760.0000 +/- 0.0000,19820.1465 +/- 0.0000,,,,,,,,,,,,,,,
