Case,Protocol,Model,Load path,Metric,Mean,Std,Median,IQR,N
notch_16x12,strict,hgo_qp_dual_reversal_active,cyclic,qp_history_relative_l2,2.82021,0,2.82021,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,cyclic,qp_history_increment_relative_l2,0.999282,0,0.999282,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,cyclic,qp_eq_plastic_strain_relative_l2,0.984821,0,0.984821,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,cyclic,qp_plastic_work_relative_l2,0.985837,0,0.985837,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,cyclic,qp_reversal_plastic_scalar_increment_relative_l2,1.00616,0,1.00616,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,cyclic,qp_reversal_eqp_increment_relative_l2,0.992534,0,0.992534,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,cyclic,qp_reversal_plastic_work_increment_relative_l2,0.993228,0,0.993228,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,cyclic,qp_reversal_yield_flag_mae,0.555591,0,0.555591,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,cyclic,qp_inactive_false_plasticity,0.414346,0,0.414346,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,cyclic,fem_residual_relative_rms,792.997,0,792.997,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,cyclic,fem_energy_relative_error,760396,0,760396,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,monotonic,qp_history_relative_l2,3.30298,0,3.30298,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,monotonic,qp_history_increment_relative_l2,0.997165,0,0.997165,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,monotonic,qp_eq_plastic_strain_relative_l2,0.990959,0,0.990959,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,monotonic,qp_plastic_work_relative_l2,0.990779,0,0.990779,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,monotonic,qp_reversal_plastic_scalar_increment_relative_l2,0,0,0,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,monotonic,qp_reversal_eqp_increment_relative_l2,0,0,0,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,monotonic,qp_reversal_plastic_work_increment_relative_l2,0,0,0,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,monotonic,qp_reversal_yield_flag_mae,0,0,0,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,monotonic,qp_inactive_false_plasticity,0.414315,0,0.414315,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,monotonic,fem_residual_relative_rms,761.58,0,761.58,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,monotonic,fem_energy_relative_error,2776.16,0,2776.16,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,nonproportional,qp_history_relative_l2,2.4017,0,2.4017,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,nonproportional,qp_history_increment_relative_l2,0.99265,0,0.99265,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,nonproportional,qp_eq_plastic_strain_relative_l2,0.978357,0,0.978357,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,nonproportional,qp_plastic_work_relative_l2,0.978852,0,0.978852,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,nonproportional,qp_reversal_plastic_scalar_increment_relative_l2,0,0,0,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,nonproportional,qp_reversal_eqp_increment_relative_l2,0,0,0,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,nonproportional,qp_reversal_plastic_work_increment_relative_l2,0,0,0,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,nonproportional,qp_reversal_yield_flag_mae,0,0,0,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,nonproportional,qp_inactive_false_plasticity,0.414284,0,0.414284,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,nonproportional,fem_residual_relative_rms,612.299,0,612.299,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,nonproportional,fem_energy_relative_error,14379.2,0,14379.2,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,unload_reload,qp_history_relative_l2,2.28891,0,2.28891,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,unload_reload,qp_history_increment_relative_l2,0.999541,0,0.999541,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,unload_reload,qp_eq_plastic_strain_relative_l2,0.974315,0,0.974315,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,unload_reload,qp_plastic_work_relative_l2,0.97455,0,0.97455,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,unload_reload,qp_reversal_plastic_scalar_increment_relative_l2,0.99851,0,0.99851,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,unload_reload,qp_reversal_eqp_increment_relative_l2,0.871631,0,0.871631,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,unload_reload,qp_reversal_plastic_work_increment_relative_l2,0.875668,0,0.875668,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,unload_reload,qp_reversal_yield_flag_mae,0.170756,0,0.170756,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,unload_reload,qp_inactive_false_plasticity,0.414438,0,0.414438,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,unload_reload,fem_residual_relative_rms,712.578,0,712.578,0,1
notch_16x12,strict,hgo_qp_dual_reversal_active,unload_reload,fem_energy_relative_error,2669.09,0,2669.09,0,1
